Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,22.33,53.45,1.5,7.9,7.7,13.5,33.2,24.7,58.71,10.5,46.37,1,,51.18,6.25,0.74,0.61,144.25,1.78,125.99,57.06,66.46,1.56,0.5,,0.18,0.66,26.12,22.64,29.98,25.49,22.28,6.22,6.54,3.83,0.54,21.81,3.42,0.66,25.52,15.6,4.82,2.37,133.79,54.39,17.3,,21.75,,22.9,7.03,29.93,27.69,2.31,6.47,,0.89,1.86,,29.8,5.74,1.29,,,23.68,29.8,2.14,2.22,26.81,1.37,13.03,74.15,18.1,23.78,,16.15,,3.12,46.53,,,10,33913792728.0,Medical Specialties,Health Technology
AA,6.49,66.86,1.4,10.2,,,,,75.95,5.9,74.33,0.96,,69.95,1.36,0.44,0.55,41.8,1.55,79.98,58.53,26.31,10.94,0.65,,,0.96,,50.43,,9.29,6.01,1.08,1.1,,0.27,,,0.96,16.58,,,3.15,39.94,8.14,,,,,,1.93,,,,0.71,,,,,,,,,,22.73,,,1.84,2.02,0.92,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,61.43,,10.4,,,,,597.78,27,65.13,,,63.12,0.66,0.34,0.21,11.87,0.6,20.92,21.96,14.01,19.76,,,,,19.41,19.41,,10.39,6.2,0.69,0.72,5.15,,,,,6.09,,,4.04,16.44,20.23,1.4,,,,5.34,,,12.28,,0.15,,,,,,,0.36,,,3.84,,,,,0.5,,5.17,4.89,,,12.18,,40.38,8.86,,,8,8696254174.0,Airlines,Transportation
AAON,55.33,78.61,,26.3,8.1,29.5,31.8,,20.3,29.5,84.73,0.42,4.71,82.02,23.5,,,112.03,2.99,98.09,12.85,43.47,0.35,0.14,,0.14,0.28,37.88,31.05,89.82,,,,7.71,2.64,0.73,8.59,1.13,0.28,40.62,20.43,16.3,10.75,78.91,36.27,88.05,,15.61,,20.32,12.24,50.46,50.46,2.01,7.84,,2.74,7.92,,91.44,5.91,1.55,,59.28,41.34,64.55,2.02,8.24,15.56,1.7,19.5,39.13,29.71,25.86,,21.83,,0.48,102.78,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,33.72,3.6,,26,,,,,8.9,32.03,54.09,,34.46,1.71,0.09,0.12,39.47,1.23,263.29,213.8,27.04,11.12,1.52,,100,2.53,125.56,16.06,16.25,21.42,10.28,0.5,0.51,0.8,0.21,3.13,14.96,2.53,14.48,7.77,82.69,,147.33,39.48,0.41,,,,0.3,0.9,3947,3947,,0.2,,,,,6.7,19.93,0.19,,,4.33,14.27,,0.35,2.27,0.3,,0.91,0.64,,,0.32,,,5.27,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,23.84,53.06,2.9,1.3,5.7,20.9,23.2,14.6,102.85,15.7,52.2,0.59,27.21,52.82,10.17,0.47,0.61,231.3,0.95,11.42,91.36,22.13,0.75,1.52,,0.15,0.43,28.23,25.89,33.54,26.13,23.95,8.21,9.07,3.54,0.2,27.06,2.97,0.44,30.91,19.84,11.14,6.1,185.44,45.96,120.35,,26.44,,31.27,52.81,35.21,35.21,2.08,9.29,,1.45,1.63,,34.38,9.09,2.16,,,31.73,37.06,2.03,2.61,52.81,0.91,29.81,269.91,59,151.08,,35.41,,3.24,50.95,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,36.94,53.26,,,9.7,8.1,22.2,18.4,28.45,8.5,61.81,6.07,22.62,54.12,0.73,0.99,0.07,27.19,1.84,,145.05,6.23,6.69,1.44,,1.49,4.94,23.81,12.57,23.08,,,,7.23,4.2,0.4,31.33,8.42,4.95,38.3,8.16,,2.88,27.06,62.62,1.87,,15.39,,27.37,1.39,30.55,30.55,13.28,4.65,,2.65,1.29,11.92,14.91,1.38,0.6,,,10.15,20.41,,1.21,1.41,1.84,2.29,628.91,4.67,5.7,,4.27,,3.81,33.57,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,30.3,50.57,,,7.8,9.6,49.1,7.4,26.06,3.8,46.75,5.16,16.16,48.47,2.03,0.31,0.19,195.65,0.81,73.4,65.71,76.62,3.91,10.42,,0.57,3.16,41.84,22.14,22.52,14.72,14.33,6.85,7.28,2.39,0.05,32.33,5.14,3.19,16.24,20.13,7.1,4.99,146.79,62.76,5.48,,9.71,,24.95,50.95,65.22,18.29,1.18,6.31,,0.82,0.64,,19.51,,1.43,,,18.59,32.83,1.27,1.75,,0.71,3.83,192.43,9.41,53.28,,9.12,,2.91,42.44,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,50.61,,8.7,,,,,,,59.02,,,53.36,1.92,9.52,9.3,2.52,10.96,,,406.96,,0.07,,,,,,,,,8.29,4.99,,0.79,,,,,,,32.02,1.06,,,,,,,0.67,,,,22.12,,,,,,,,2.02,1.58,,,,,0.76,10.96,,,,,,,,0.71,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,42.72,,2.2,20.8,5.4,3.2,9.8,60.73,11,22.86,10.31,,36.06,3.7,0.44,4.44,2.34,1.11,97.74,188.94,24.71,0.13,0.04,,0.79,6.49,9.06,6.77,9.37,8.74,6.71,2.13,2.17,11.04,0.66,25.65,11.14,6.49,12.8,14.58,4.92,6.6,2.66,50.83,7.5,,17.86,,24.06,2.15,12.86,12.32,2.51,2.59,,,,,10.14,1.73,0.47,,,7.98,11.27,1.83,0.76,4.98,0.79,10.57,68.13,19.18,16.5,,16.25,,5.99,13,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
