Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,,44.54,,1.9,5,6.8,3.9,10.3,3.7,5.12,2.8,35.26,1.02,,40.63,5.18,,0.7,0.39,136.1,2.09,123.03,58.99,66.16,1.81,0.58,,0.18,0.7,25.03,21.6,29.48,23.31,20.74,5.9,6.22,4,0.5,21.09,3.57,0.74,24.45,15.3,8.61,5.95,135.68,54.3,15.5,,,19.8,,22.86,6.51,30.45,25.44,2.23,6.01,,0.82,1.42,,28.47,1,7.13,1.2,,,22.33,28.79,2.08,2.01,43.84,1.58,11.63,71.45,17.6,21.45,,14.54,,3.57,41.7,,,10,33913792728.0,Medical Specialties,Health Technology
AA,34.65,38.69,23.63,1.4,10.2,,,,,75.95,5.9,45.44,1.03,12.11,37.16,1.36,,0.38,0.45,38.61,1.41,78.33,59.38,26.65,4.45,0.56,,,1.04,876.63,17.29,,4.89,3.8,0.94,1.04,0.11,0.36,,,1.04,9.85,,,6.69,31.7,11.35,1.6,,,,,2.02,1.9,,,,0.66,,,,,,1.22,,,,,18.7,,,1.51,1.97,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,0.49,67.23,30.25,,10.4,,,,,597.78,27,69.14,,28.85,67.04,0.69,,0.33,0.22,17.35,0.57,21.4,22.29,13.62,16.51,,,,,17.61,17.61,,8.54,5.81,0.74,0.78,5.68,,,,,7.74,,12.14,4.01,16.43,20.34,1.4,,,0.51,,5.17,,52.27,15.87,,0.22,,,,,,1.06,,0.56,,,5.03,,,,,0.47,0.43,6.13,5.96,,,2.95,,24.39,15.02,,,8,8696254174.0,Airlines,Transportation
AAON,87.2,40.9,27.96,,26.3,8.1,29.5,31.8,,20.3,29.5,28.36,0.39,71.8,34.67,29,,,,123.44,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.26,41.6,33.56,98.53,,,,8.39,2.4,0.77,8.52,1.03,0.26,41.92,20.42,17.97,15.07,80.21,35.65,94.37,,,15.78,,20.14,12.56,54.28,54.28,2.16,8.51,,2.95,8.68,,100.01,1.54,6.16,1.66,,51.65,42.33,64.47,2.18,8.37,15.7,1.79,19.56,38.79,29.01,25.52,,21.87,,0.52,107.85,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,53.07,,3.6,,26,,,,,8.9,50.99,47.25,,51.6,1.9,,0.08,0.12,43.73,1.34,232.75,194.44,24.05,7.27,1.47,,1.28,2.29,28.74,11.35,27.19,30.13,13.61,0.7,0.48,3.48,0.21,1.77,8.36,2.29,25.66,4.01,,,97.34,40.02,2.38,,,0.36,,1.55,1.01,59.93,56.09,,0.21,,,,,11.95,0.45,2.02,0.19,,,6.28,85.12,,0.41,1.65,0.62,0.36,4.12,2.95,1.7,,1.76,,4.18,6.03,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,18.73,73.01,1.1,2.7,,4.9,6.2,6.4,8.6,,5.4,74.65,0.53,10.44,74.6,9.55,,0.37,0.61,258.2,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.39,31.56,28.87,35.74,29.5,27.15,9.36,9.94,3.17,0.16,27.83,2.82,0.39,34.92,18,11.41,6.91,188.82,46.21,,,,23.97,,31.51,67.76,41.99,37.82,2.38,10.07,,1.61,1.79,,36.19,1.37,10.79,2.24,,,33.29,38.77,2.44,2.85,67.71,0.83,26.93,278.63,59.87,140.28,,32.51,,2.99,55.42,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,23.97,35.39,2.78,,,9.7,8.1,22.2,18.4,28.45,8.5,31.74,6.36,29.94,31.83,0.76,,4.87,0.25,26.25,5.78,,148.94,6.31,7.97,1.8,,1.38,5.14,21.94,11.71,23.15,,,,6.86,4.56,0.35,29.66,8.53,5.14,52.67,9.2,,2.77,26.52,63.33,1.92,,,16.36,,28.14,1.34,26.88,26.88,11.69,4.34,,2.35,1.28,10.99,14.8,0.99,1.28,0.58,,,9.85,17.98,,1.16,1.36,5.78,2.43,683.81,4.81,6.24,,4.5,,,32.01,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,14.21,51.99,,,,7.8,9.6,1.7,7.4,21.19,3.8,67.87,5.67,2.44,57.86,1.83,,0.17,0.1,180.0,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.48,37.92,20.52,24.26,13.83,13.34,6.42,6.74,2.64,0.04,28.13,4.96,3.68,14.63,16.41,7.74,5.5,150.57,67.21,5.43,,,9.22,,26.13,52.72,61.94,16.59,1.07,5.75,,0.61,0.67,,20.43,1.2,,1.3,,,19.33,35.7,1.66,1.61,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.66,38.52,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,53.54,9.52,,8.7,,,,,,,62.26,,,55.3,1.87,,8.08,9.01,2.95,9.34,,,376.42,,0.07,,,,,,,,,8.29,8.1,,0.77,,,,,,,22.79,1.0,,,,,,,,0.8,,,,25.82,,,,,,2.95,,,2.66,2.03,,,,,0.88,9.34,,,,,,,,1.07,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,30.35,,,2.2,20.8,5.4,3.2,9.8,60.73,11,18.85,12.65,4.29,25.67,3.59,,0.59,6.19,1.9,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,5.94,8.87,6.65,8.51,8.01,6.14,1.95,2.13,11.27,0.67,25.25,10.73,5.94,10.56,16.19,3.83,6.6,2.75,50.98,7.91,,,16.92,,23.87,1.96,13.82,13.53,2.76,2.35,,,,,9.38,0.69,1.61,0.44,,,7.41,10.02,1.64,0.68,4.32,0.9,10.03,70.19,19.21,15.52,,15.33,,6.11,11.87,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
