Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
CZR,,36.27,,,,128.6,,,3159.57,24.1,31.71,,29.31,32.72,0.59,0.35,0.03,37.59,0.84,3.01,25.96,17.68,7.34,6.08,,,,15.05,9.41,,12.44,8.54,2.8,2.89,6.64,0.13,,,,28.06,20.49,,1.74,45.95,52.05,0.99,,,,20.84,1.9,,,,0.72,,,,,,,0.69,,,6.33,,,2.35,,0.82,,14.61,7.06,,,10.47,,2.14,,,,6,11382375260.999998,Casinos/Gaming,Consumer Services
D,29.11,48.32,,1.4,,,,,,0.3,52.31,3.28,11.42,48.42,0.73,0.16,0.04,57.8,0.74,83.61,41.7,55.04,6.23,1.56,,0.98,4.61,22,13.17,,19.87,12.23,6,6.23,4.55,0.28,,,4.61,17.11,,10.54,5.29,58.02,49,1.92,,16.95,,27.08,1.85,20.28,21.23,30.33,3.32,,,,,,1.44,0.84,,,8.42,,,134.42,2.2,0.58,2.39,6.1,4.77,8.99,,3.18,,9.28,17.95,,,9,40558385870.0,Electric Utilities,Utilities
DAC,22.69,60.99,1.7,45.3,,39.8,62.3,57.1,77.74,36.1,75.43,3.75,,66.53,2.89,3,0.71,85.37,3.93,20.17,21.02,5.67,0.95,0.2,,0.12,3.75,3.2,2.6,,,,,1.86,31.25,0.8,,,3.98,2.98,32.88,,,78.77,61.46,27.15,,56.16,,53.46,0.49,2.96,3.12,0.13,1.66,,,,,,0.26,1.63,,,2.77,4.03,0.12,0.29,0.49,3.78,14.61,18.32,15.77,17.95,,15.71,,0.85,7.23,,,7,1265117299.9999998,Marine Shipping,Transportation
DADA,,39.55,,,,17.2,34.4,41.4,,2.5,29.56,,,34.64,2.29,2,2002.09,1.4,3.59,0.5,0.41,20.31,,,,,,0.11,0.11,0.57,,0.01,,,909.09,0.77,,,,,,72.28,6.29,5.89,27.63,,,,,,0.54,,,,0.26,,,,,,,,1.87,0.72,,,,,0.71,3.58,,,,,,,,2.8,,,,,1133815046.0,Air Freight/Couriers,Transportation
DAN,,33.16,,,58.7,15.1,48.1,,,14.1,22.14,6.11,,29.9,1.82,0.15,0.14,7.96,1.49,63.77,67.31,51.89,4.16,2.02,,0.85,5.02,12.96,5.16,65.03,9.07,4.34,0.36,0.35,7.72,0.19,0.55,4.94,5.02,6.82,9.5,42.52,,15.01,8.7,2.22,,,,3.35,0.78,,16.94,,0.11,,,,,20.35,0.91,0.33,,,2.68,43,,0.61,1.09,0.86,,8.17,5.48,,,,,1.27,5.57,,,8,2201136311.0,Auto Parts: OEM,Producer Manufacturing
DAR,,58.82,0.6,17.4,,25.2,26.7,1.1,8.17,25.1,51.7,,,57.42,1.96,0.11,0.03,41.78,1.41,56.62,29.72,40.89,4.27,0.98,,,,20.7,10.53,23.51,11.77,7.94,1.86,1.86,4.83,0.43,7.91,7.04,,14.01,21.58,,,54.38,23.35,1.31,,4.42,,5.92,1.46,25.79,28.95,1.19,1.14,,0.93,1.25,,14.44,2.77,1.14,,,7.49,11.35,1.8,0.79,5.94,0.83,2.42,14.25,5.42,5.79,,3.58,,,18.41,,,10,9127674943.0,Food: Specialty/Candy,Consumer Non-Durables
DAVA,,48.88,,22.7,,,,,,13.5,38.51,,,47.24,3.86,0.39,0.28,26.74,1.9,,46.1,85.35,8.87,0.3,,,,61.92,61.92,37.5,23.23,19.25,2.14,1.81,1.61,0.65,4.82,2.97,,18.43,24.63,82.26,10.61,69.03,23.28,17.92,,0.94,,1.18,1.88,185.46,42.04,1.95,1.61,,,,,33.06,11.83,,,,28.49,,2.33,0.83,72.27,1.9,0.81,15.21,2.93,1.13,,0.7,,,,,,9,2961938754.0,Information Technology Services,Technology Services
DAWN,23.84,39.74,,,,,,,,,32.24,,,35.77,17.69,14.05,213.53,13.62,14.62,229.3,642.22,31.92,,0.01,,,,,,,,,5.39,7.92,,0.93,,,,,,45.29,,0.0,97.75,,,,,,2.45,,,,12.74,,,,,,,,2.68,2.56,,,,,2.55,14.55,,,,,,,,,,,,,1210675629.9999998,Pharmaceuticals: Major,Health Technology
DBD,86.67,44.31,21.5,,,,,,,,52.46,,3.74,44.75,1.68,0.2,0.24,42.8,1.45,80.05,64.81,65.37,3.43,1.03,,,,10.63,7.52,,,,,0.64,9.41,0.27,,,,8.67,,26.61,,0.0,24,1.2,,0.13,,5.17,1.51,329.23,18.52,,0.42,,,,,,,,,,,,,,,0.96,0.12,51.47,8.76,0.47,,0.61,,51.16,,,,2,1522300000.0,Electronic Equipment/Instruments,Electronic Technology
DBRG,,31.16,,,,124,,22,,11.2,24.99,0.32,19.23,26.46,,5.09,0.86,11.74,7.13,,24.31,9.39,0.82,0.17,,0.05,0.32,9.3,7.2,42.92,,17.8,7.65,3.36,10.75,0.56,7.82,3.41,0.32,28.96,23.92,,,17.68,57.62,15.73,,21.42,,31.21,1.72,16.08,13.53,0.43,2.49,,,,,33.78,1.39,,,,31.94,4.19,,0.56,3.2,7.13,4.56,586.91,7.96,10.29,,7.43,,175.86,,,,4,3139778053.0,Real Estate Investment Trusts,Finance
