Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
ABG,,67.11,,50.3,,28.2,37.8,,24,84.05,,13.7,74.15,2.72,0.01,0.01,249.61,1.06,41.41,16.44,4.01,5.01,1.53,,,,10.58,9.86,102.71,11.17,10.3,0.57,0.65,9.45,0.33,0.64,1.95,,8.45,30.63,,8.89,254.66,18.22,5.43,,3.68,,6.86,1.5,9.1,7.93,0.25,0.33,,0.25,4.52,,52.17,,1.14,,,16.16,135.45,0.32,0.55,,0.38,6.33,26.89,13.18,17.8,,9.59,,,13.71,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABM,15.8,60.08,2,8.4,5.9,40.8,24.6,,11.1,71.27,2.15,16.88,62.21,3.06,0.05,0.04,51.33,1.44,,,58.62,2.69,0.76,,0.28,1.76,11.22,8.78,13.11,11.28,9.11,0.54,0.55,8.91,0.37,4.23,10.78,1.77,13.98,26.59,,2.09,50.61,,4.81,,3.04,,4.88,1.75,13.44,16.35,1.02,0.4,,0.88,0.84,,9.65,,1.04,,,8.29,8.91,0.82,0.89,,1.44,5.04,65.99,10.75,13.69,,7.32,,2.64,26.19,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
ABNB,1.83,42.22,,38.3,,,,,8,26.82,,6.44,36.97,4.18,0.78,5.4,147.22,1.44,,31.15,7.78,0.93,0.26,,,,39.11,38.28,20.06,25.18,21.24,7.53,8.22,2.56,0.32,40.97,4.49,,33.76,,,11.92,168.73,82.86,20.56,,48.23,,15.86,11.87,19.71,19.71,,9.47,,,,,23.11,3.4,,,24.99,22.98,16.56,,,13.18,1.44,22.9,794.68,22.38,69.5,,64.25,,2.81,,,,2,92399740712.0,Other Consumer Services,Consumer Services
ABT,,51.01,0.7,6.3,12.3,6.8,21.3,,5.8,60.54,3.81,,53.68,5.01,0.47,0.46,102.96,1.6,135.43,83.91,57.68,1.4,0.38,,0.47,2.04,26.42,18.19,38.44,20.43,17.72,4.52,4.69,3.79,0.54,12.21,2.75,2.13,22.22,14.79,8.71,6.26,107.62,55.1,10.17,,13.96,,15.76,4.61,32.07,23.45,2.04,4.43,,0.86,1.89,,36.56,5.12,1.07,,,25.2,41.11,2.05,1.72,25.11,1.11,7.71,67.68,12.14,14.89,,10.32,,3.25,38.28,,,10,176555322492.0,Medical Specialties,Health Technology
ACA,10.73,61.86,,6.9,,13.2,4.1,,5.9,82.57,0.23,5.92,69.48,3.23,0.41,0.29,87.92,2.28,70.68,47.28,58.62,1.66,0.26,,0.07,0.23,22.92,12.68,46.11,,,1.75,1.97,4.36,0.65,4.27,2.36,0.23,25.8,22.79,,,68.79,18.95,6.11,,6.05,,7.6,1.8,30.11,32.21,1.59,1.83,,,,,42.59,2.33,,,,13.63,19.38,1.62,1.19,3.8,1.36,4.04,12.16,6.5,6.18,,4.91,,2.58,,,,9,3644941042.999999,Trucks/Construction/Farm Machinery,Producer Manufacturing
ACAD,,70.93,,,,38.8,40.9,46.1,16.4,86.32,,,77.93,2.04,1.42,7.89,18.03,2.04,155.25,99.1,38.89,9.83,0.13,,,,,415.79,39.61,27.88,45.58,2.69,3.1,,0.54,7.83,2.14,,37.59,,,18.1,33.04,92.27,,,,,,6.42,,,,3.66,,,,,46.95,,,37.56,10.48,46.95,1639.11,,,8.39,1.86,,,,,,0.28,,,,,,,4047377469.0,Pharmaceuticals: Major,Health Technology
ACHC,,50.17,,12.2,,,16.9,,10.9,60.47,,,53.14,2.14,0.16,0.04,65.18,1.27,18.65,504.43,43.97,9.27,0.69,,,,105.51,38,,13.67,10.86,2.54,2.72,0.95,0.52,,,,18.48,1.06,15.48,9.87,86.51,96.44,5.93,,,,17.7,2.08,,18.21,,1.98,,,,,,3.01,0.87,,,60.14,,,1.98,11.22,1.25,,3.32,1.65,,,3.15,,,224.76,,,7,6460318360.000001,Medical/Nursing Services,Health Services
ACHR,,76.1,,100.9,,,,,,87.08,,,81.45,,5.78,,,6.01,,,,,,,,,,,,,,269.97,,,,,,,,,16.47,,,,,,,,,4.24,,,,,,,,,,,,5.87,5.55,,,,,4.28,6.01,,,,,,,,,,,,,1649497955.0,Aerospace & Defense,Electronic Technology
ACI,,38.6,,18.8,33.9,6,,,4.2,40.01,2.44,,38.65,3.56,0.03,0.01,19.57,0.84,31.65,26.39,3.35,3.15,5.18,,0.18,2.44,12.18,5.6,40.34,10.96,6,0.32,0.32,8.21,0.11,0.79,5.54,2.44,8.02,22.11,,1.6,21.91,27.82,4.29,,1.64,,2.67,4.1,8.78,7.19,0.53,0.14,,,,,18.15,,,,,4.3,13.83,0.61,0.81,,0.18,4.95,13.56,11.36,58.13,,7.76,,2.79,33.74,,,7,13551493187.000002,Food Retail,Retail Trade
ACIW,48.51,72.64,2.6,5.9,,7,21.8,,6.8,79.16,,18.55,76.04,2.67,0.19,0.17,41.2,1.37,,22.6,71.62,2.69,0.84,,,,19.49,13.03,24.91,,13.13,3.27,3.45,5.13,0.38,13.85,4.72,,23.54,14.73,,,31.75,50.52,3.24,,9.88,,17.2,3.48,30.51,23.81,1.98,2.99,,1.21,1.87,,21.8,,1.19,,,17.68,23.8,2.14,1.29,,1.37,4.54,120.19,11.23,11.91,,6.74,,2.05,45.77,,,10,2556336665.0,Packaged Software,Technology Services
ACLS,,63.2,0.9,22.7,,62.7,72,31,34.8,58.15,,21.57,61.42,9.91,1.92,11.83,147.9,4,174.18,32.12,62.57,0.15,0.05,,,,15.01,14.33,30.13,,11.25,2.98,3.86,6.66,0.69,12.8,3,,,22.14,,,116.77,44.58,50.74,,22.16,,24,5.35,19.53,19.53,0.4,4.35,,,,,33.82,2.15,2.09,38.51,6.88,29.71,35.83,0.78,2.26,5.35,2.87,20.88,79.89,31.17,31.17,,36.43,,1.16,53.38,,,9,5489377800.999999,Industrial Machinery,Producer Manufacturing
ACM,,50.86,4.6,,,0.1,22.9,46.8,7.7,63.54,0.96,,54.55,2.14,0.19,0.44,87.26,1.06,,54.74,60.22,4.7,1.23,,0.15,0.96,33.48,23.26,19.44,12.54,10.93,1.71,0.87,2.99,0.19,4.48,5.8,1.01,16.83,7.09,13.36,6.93,95.23,6.56,4.98,,,,5.49,5.39,,22.99,8.21,0.78,,,,,17.56,,1.81,,,15.04,63.46,,1.71,,1.06,,45.39,7.23,,,9.55,,4.59,138.51,,,7,11643339642.999998,Engineering & Construction,Industrial Services
ACN,,61.33,0.3,15.1,11.9,7.8,16.1,6.2,13.6,75.44,2.69,,66.89,6.98,0.3,1.2,317.87,1.16,,20.04,71.1,0.43,0.17,,0.42,1.62,20.64,17.94,22.34,17.31,15.01,2.85,3,4.84,0.51,13.44,4.35,1.62,24.49,14.45,6.44,4.66,324.89,32.58,171.01,,10.79,,14.2,7.18,29.11,26.76,2.39,3.13,,1.37,0.91,,23.37,6.78,1.12,,,22.13,33.66,2.59,1.58,38.67,1.16,13.46,227.4,27.32,26.23,,19.64,,3.31,35.36,,,10,207617355910.0,Information Technology Services,Technology Services
ACVA,1.9,45.36,,,,,,,30.6,46.14,,26.27,44.56,2.89,0.79,2.73,17.99,1.62,,502.91,127.4,,0.27,,,,,,,,,4.32,5.22,,0.44,,,,609.55,,,28.83,16.87,50.08,,,,,,6.47,,,,5.7,,,,,,,,,26.85,,,,,19.55,1.62,,,,,,,,,,,,,2506975976.0,Internet Retail,Retail Trade
ADBE,2.04,65.05,1.7,9.4,,17.7,14.1,11.4,16.8,48.85,,,62.21,12.92,0.85,1.32,566.19,1.16,,49.57,33.69,0.82,0.41,,,,37.43,33.07,38.63,24.94,22.99,11.47,12.04,2.67,0.5,31.17,2.54,,31.23,20.57,13.83,11.16,578.36,88.24,58.8,,24.86,,35.4,17.11,50.83,32.66,1.53,12.6,,1.05,1.3,,40.53,18.25,0.99,,,39.19,57.69,1.79,2.59,229.03,1.16,17.46,275.62,32.26,32.8,,22.15,,2.4,74.73,,,10,241068062221.0,Packaged Software,Technology Services
ADEA,,53.95,,,,,,,,65.15,0.32,,57.24,1.72,0.96,0.16,11.43,2.23,,,36.57,2.76,1.59,,0.26,1.75,15.91,8.42,11.99,,,4.24,4.78,6.29,0.32,39.85,11.4,1.75,8.95,19.93,,,7.89,,1.81,,11.06,,31.03,3.54,33.62,14.77,4.76,3.66,,,,,9.11,,1.72,,,8.2,11.65,,0.59,,2.23,3.51,616.28,10.4,11.57,,9.33,,16.01,30.08,,,5,1062196184.9999998,Packaged Software,Technology Services
ADI,20.43,60.66,,30.2,11.6,25.1,26.1,12.4,17.3,67.52,2.64,22.74,62.88,5.95,0.72,0.29,237.68,1.58,139.52,42.88,48.16,1.69,0.23,,0.58,1.49,48.09,26.08,40.49,25.92,21.65,11.42,11.86,2.08,0.72,29.28,2.6,1.54,30.03,18.01,15.27,,160.35,59.84,9.13,,20.45,,25.76,3.35,55.54,39.1,3.2,11.34,,2.15,1.92,,38.84,,1.68,,,27.82,34.57,2.54,1.92,,1.13,4.37,59.43,5.61,6,,5.53,,2.19,56.07,,,10,90112565563.0,Semiconductors,Electronic Technology
ADM,,63.46,2.6,9.4,7.7,25.1,24.8,,15,74.66,3.95,,68.21,3.34,0.04,0.07,63.4,1.47,53.05,24.6,21.4,2.04,0.49,,0.29,3.01,9.5,7.64,8.01,12.33,9.14,0.47,0.46,10.53,0.42,5.75,16.83,3.16,11.51,20.88,,,80.97,7.73,5.35,,3.32,,3.89,1.37,11.08,10.05,0.55,0.37,,,,,6.47,0.94,0.91,,,5.03,5.85,0.44,3.79,1.97,0.88,5.45,20.57,12.3,12.43,,6.06,,17.51,13.58,,,10,42539663009.00001,Agricultural Commodities/Milling,Process Industries
ADNT,,37.04,0.1,22.6,,89.8,,,6.1,47.25,,,39.41,1.89,0.25,0.36,24.43,1.13,21.96,65.87,45.82,3.38,1.22,,,,9.23,5.05,10.53,6.86,4.25,0.25,0.25,10.83,0.22,2.37,16.41,,8.02,,23.78,,40.44,6.77,2.43,,1.04,,3.06,1.06,14.99,8.54,,0.15,,,,,6.42,,,,,3.72,8.69,,0.84,,0.91,1.68,29.5,7.18,7.21,,8.37,,12.43,,,,5,3590797312.0,Auto Parts: OEM,Producer Manufacturing
ADP,5.73,45.35,1.4,,10.8,13.1,11.6,16.2,8.7,60.23,4.07,2.83,48.21,2.06,0.06,1,242.76,1.01,,2.83,61.8,0.58,0.71,,0.59,2.27,18.91,17.03,27.96,18.31,14.55,4.83,5.15,5.29,0.07,18.43,3.51,2.33,24.21,14.9,9.57,5.88,267.14,45.38,13.25,,19.56,,25.65,21.49,27.08,27.02,2.05,5.3,,1.34,1.69,,28.74,11.06,1.13,,,24.76,44.22,2.24,2.46,101.95,1.01,6.57,490.28,60.08,94.27,,7.17,,3.39,38.39,,,10,101064499899.00002,Data Processing Services,Technology Services
ADSK,5.48,70.16,0.9,25.4,,21.7,23.3,,14.2,77.47,,,73.38,4.89,0.49,0.76,253.17,0.69,,89.81,32.86,1.93,1.21,,,,45.66,40.74,55.41,42.66,38.67,9.13,9.79,2.19,0.22,17.66,1.83,,31.3,22.7,11.07,11.1,255.0,90.77,1210,,17.66,,21.44,25.24,54.8,31.89,0.58,9.7,,,,,54.91,,0.93,,,50.5,159.41,1.28,2.72,,0.69,10.57,330.24,22.42,65.58,,9.75,,0.7,230.15,,,6,45606470933.0,Packaged Software,Technology Services
ADUS,29.01,62.68,,9.9,,22.2,30.1,,10.6,72.05,,33.84,64.67,6.43,0.54,0.51,120.47,1.35,,11.08,38.32,1.34,0.21,,,,23.11,20.19,18.51,19.59,17.18,1.99,2.08,4.33,0.72,11.22,5.6,,24.08,23.73,12.12,11.93,108.09,32.14,8.42,,6.04,,8.83,2.72,29.88,25.35,1.36,1.81,,1.05,0.51,,16.11,,1.21,,,14.85,17.17,1.23,1.27,,1.35,6.66,133.37,11.51,9.57,,8.9,,1.4,52.58,,,10,1355869330.0,Medical/Nursing Services,Health Services
AEE,,64.3,,6.5,8,7.3,6.3,10.2,6.9,85.58,4.91,,72.95,0.83,0.02,0.01,72.75,0.59,68.97,80.91,27.22,4.96,1.5,,0.61,3.55,19,10.62,,18.09,10.45,4.52,5.07,5.26,0.28,,,3.66,15.8,,8,4.43,86.16,48.75,3.18,,15.84,,25.99,1.7,16.72,17.42,3.17,2.64,,1.27,,,,1.17,1.04,,,7.45,,2.77,,1.76,0.4,2.89,5.86,5.32,10.42,,4.03,,,18.7,,,10,21222279644.0,Electric Utilities,Utilities
AEHR,,70.7,,63.2,,,,,31.7,83.94,,,76.56,19.7,5.18,7.55,16.43,10.06,299.51,63.69,51.98,0.45,0.07,,,,31.43,29.23,91.76,,,,5.76,3.18,0.85,6.28,0.95,,,,20,,24.21,49.49,,,21.43,,18.33,5.49,31.6,27.85,,6.76,,,,,110.24,2.61,2.9,14.67,6.15,76.74,121.72,,7.05,5.49,5.91,15.69,34.84,15.37,19.35,,32.71,,,,,,4,1353850723.0,Electronic Production Equipment,Electronic Technology
AEIS,,65.38,0.9,13,,,,,6.1,78.69,0.35,4.42,70.29,3.81,3.42,0.99,115.01,5.61,134.35,54.68,63.28,5.73,0.9,,0.1,0.35,37.94,23.8,34.2,,12.08,2.93,2.74,2.64,0.45,8.02,2.9,0.35,38.42,22.47,,,87.84,35.3,7.02,,6.58,,6.45,3.77,42.28,27.32,2.04,2.78,,1.4,2.27,,34.62,2.72,0.98,,14.82,23.2,38.11,1.26,1.69,6.09,4.4,4.45,17.02,5.69,9.14,,9.37,,,40.21,,,9,3937546139.0,Electronic Production Equipment,Electronic Technology
AEM,22.15,74.33,,20.5,20.8,11.4,7.9,4,3.1,93.78,9.07,22.22,83.07,2.93,0.52,0.27,74.75,2.21,105.92,52.01,0.42,0.79,0.1,,0.67,2.13,38.64,15.24,37.11,13.27,8.21,4.91,5.6,2.59,0.68,15.31,2.85,2.13,21.94,21.79,,5.42,54.57,33.66,17.59,,6.8,,26.36,1.91,78.68,31.26,1.23,5.45,,,,,35.49,1.85,1.29,,,13.77,43.66,1.27,1.93,2.42,0.88,1.61,4.53,3.57,2.38,,3.43,,1.41,53.78,,,9,24264092594.047283,Precious Metals,Non-Energy Minerals
AEP,0.89,64.97,,5.1,5.9,3.4,,1.3,6.7,83.74,5.08,7.99,72.42,0.88,0.04,0.01,90.94,0.54,80.42,103.82,18.7,5.75,1.71,,0.66,3.83,20.45,11.93,,17.58,11.09,4.33,4.75,4.89,0.26,,,3.89,16.25,0.98,14.91,4.55,95.38,60.01,2.25,,14.57,,21.27,1.86,16.97,17.56,3.19,2.46,,,,,,1.21,1.09,,,8.3,,3.26,23.99,1.86,0.37,2.93,5.88,5.33,11.35,,4.4,,,19.56,,,10,41234689544.0,Electric Utilities,Utilities
AER,38.96,61.36,,6.4,,,5.5,,,73.68,0.26,19.91,64.8,0.78,0.78,0.03,96.65,3.52,5.31,60.32,4.14,9.72,2.7,,,0.26,28.74,13.48,,15.95,9.39,7.73,8.22,3.48,0.24,,,1.03,,,9.98,2.49,72.5,34.73,,,42.81,,28.61,1.13,6.39,9.91,,2.71,,,,,,0.77,1.58,,,3.94,5.55,,1.79,1.35,3.48,4.68,3.68,3.2,20.12,,2.94,,16.33,15.51,,,8,14432429370.0,Finance/Rental/Leasing,Finance
AES,,52.07,,,5,,6.9,,7.2,73.67,5.11,4.88,58.29,0.49,0.26,0.08,17.0,0.78,27.69,79.26,48.64,11.26,10.21,,0.33,4,27.8,15.46,,20.77,12.5,3.19,3.25,3.6,0.06,,,4,8.9,,6.88,2.72,24.26,20.21,1.66,,4.24,,17.9,4.17,23.61,8.33,,0.97,,,,,,3.9,1.04,,,4.42,,,,41.46,0.71,1.23,5.18,4.21,20.35,,,,,,,,6,11544405347.0,Electric Utilities,Utilities
AESC,,35.72,,,5,,6.9,,7.2,31.65,,,33.54,0.49,0.26,0.08,62.61,0.78,27.69,79.26,48.64,11.26,10.21,,,,27.8,15.46,,,,,3.25,3.6,0.06,,,,9.89,,6.88,2.72,0.0,20.21,1.66,,4.24,,17.9,4.63,26.24,9.26,,1.06,,,,,,,,,,4.92,,,,,0.71,1.23,5.18,4.21,20.35,,,,,,,,6,11544405347.0,Electric Utilities,Utilities
AESI,12.83,53.06,,14.3,,129.9,,,64.1,70.12,3.89,22.28,59.52,2.45,0.98,0.39,21.49,2.24,22.42,62.54,60.37,1.7,0.45,,0.42,3.89,11.24,9.18,,,7.22,2.35,3.98,8.9,0.55,,,4.11,12.37,,39.89,33.97,0.0,45.95,25.04,,19.98,,35.36,2.21,11.96,11.96,,2.44,,,,,,1.2,,,,5.4,,,,2.73,2.05,9.67,25.04,18.9,32.76,,20.13,,,,,,3,2304000047.0,Construction Materials,Non-Energy Minerals
AFRM,88.53,46.72,,,,,,5.8,30.4,56.03,,,47.96,1.48,14.67,0.32,32.1,56.68,,15.45,40.55,,2.44,,,,,,48.31,23.36,26.36,4.91,6.39,,0.29,13.24,2.81,,,,33.48,27,40.32,59.46,,,,,,3.78,,,,4.64,,,,,35.53,,,,7.28,23.27,,,,4.78,56.68,,,,,,,,,,,,,7293861260.0,Finance/Rental/Leasing,Finance
AFYA,11.02,58.4,1.2,12.1,,32.7,10.6,54.7,37.5,71.62,,,63.93,2.32,0.62,0.23,17.73,1.28,1.55,144.86,62,2.26,0.7,,,,10.99,8.16,11.48,13.17,10.07,3.85,3.23,9.1,0.5,28.12,10.87,,,25.68,41.13,8.61,20.53,61.88,2.28,,16.04,,27.76,2.08,16.62,18.96,0.45,2.7,,,,,9.7,,,,,7.21,15.18,0.76,0.95,,1.28,6.21,64.41,13.31,13.65,,11.44,,,,,,7,1469574000.0000002,Other Consumer Services,Consumer Services
AG,,54.93,,9.1,,,,,8,66.21,0.29,9.11,60.41,1.7,1.28,0.6,6.46,2.33,47.7,39.24,5.43,4.46,0.19,,,0.29,,34.86,,,,4.05,3.85,,0.69,,,0.22,,18.79,,5.53,5.96,6.05,,,,,,1.4,,,,3.55,,,,,,,0.9,,,25.77,,,6.15,1.4,1.77,,,,,,,,,,,,2,1664184423.375635,Precious Metals,Non-Energy Minerals
AGI,20.55,71.71,,2,17.3,10.3,15.9,23.9,12.4,91.82,2.74,19.05,80.54,4.55,1.26,641.77,17.56,2.79,146.7,93.11,14.73,,,,0.19,0.57,23.94,14.51,52.7,,,6.17,6.81,4.18,0.74,13.12,1.87,0.57,20.56,17.3,22.77,12.57,12.67,37.48,271.05,,19.37,,30.91,2.37,33.77,33.07,1.9,6.74,,,,,51.57,1.88,1.73,,,14.6,29.97,2,2.62,2.37,1.55,5.19,8.77,8.06,7.05,,6.36,,0.56,,,,5,4919131767.945206,Precious Metals,Non-Energy Minerals
