Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,8.43,51.28,1.5,7.9,7.7,13.5,33.2,24.7,10.5,75.61,1.07,,59.34,6.41,0.85,0.65,131.01,2.15,117.53,51.55,70.14,1.53,0.41,,0.17,0.71,27.85,23.56,25.66,23.58,20.65,5.79,5.99,3.59,0.57,23.33,4.02,0.71,22.76,15.99,5.46,2.47,135.71,50.63,14.64,,18.84,,19.54,6.15,30.97,24.63,2.05,5.86,,0.79,1.57,,25.08,4.77,1.16,,,20.32,30.64,1.87,1.97,20.83,1.64,11.49,63.42,15.6,20.99,,14.11,,2.87,42.95,,,10,33913792728.0,Medical Specialties,Health Technology
AA,9.79,44.83,1.4,10.2,,,,,5.9,36.07,1.02,26.21,41.65,1.07,0.45,0.53,39.3,1.61,83.25,57.67,25.57,134.11,0.64,,,1.02,,430.73,,22.08,7.97,0.8,0.78,,0.28,,,1.02,325.49,,,2.93,40.29,6.37,,,,,,1.77,,,,0.66,,,,,,,,,,217.08,,,1.77,1.85,0.93,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,30.07,,10.4,,,,,27,26.03,,,28.83,0.66,0.33,0.21,10.63,0.58,20.92,21.48,13.98,14.34,,,,,13.88,13.88,,11.77,6.84,0.7,0.73,7.2,,,,,4.79,,20.05,4.55,18.68,21.59,1.73,,0.94,,6.83,,17.72,5.79,,0.14,,,,,,,0.31,,,2.69,,,,,0.48,0.76,7.26,6.75,,,3.98,,41.57,7.7,,,8,8696254174.0,Airlines,Transportation
AAON,14.57,67.79,,26.3,8.1,29.5,31.8,,29.5,75.36,0.55,7.26,71.22,29.72,0.07,0.49,91.13,3.13,101.08,13.09,45.31,0.06,0.02,,0.15,0.36,32.11,26.4,58.27,,,,6.36,3.11,0.82,10.92,1.7,0.36,,20.56,18.68,10.86,77.68,35.56,58.55,,15.44,,19.77,9.53,42.44,42.44,1.69,6.58,,2.34,5.19,,59.97,4.72,1.31,,33.37,30.93,45.62,1.83,6.47,11.83,1.57,19.39,38.08,29.18,25.9,,21.96,,0.75,87.61,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,49.25,3.6,,26,,,,8.9,68.11,34.21,3.46,55.45,1.3,0.09,0.11,62.42,1.22,265.7,210.84,26.55,9.72,1.55,,3.26,1.6,72.15,17.78,15.45,19.62,10.68,0.64,0.65,1.39,0.21,4.18,12.66,1.6,17.14,6.26,102.47,1.3,163.68,39.77,1.15,,0.14,,0.85,1.45,90.46,90.46,,0.33,,,,,7.88,3.88,0.29,,,5.59,12.24,,0.54,3.75,0.29,0.13,1.96,1.42,0.62,,1.21,,,8.18,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,11.43,70.87,2.9,1.3,5.7,20.9,23.2,14.6,15.7,68.76,0.56,14.29,70.73,10.4,0.54,0.64,234.4,1.04,11.92,90.05,21.43,0.8,1.41,,0.15,0.41,29.78,27.2,35.07,27.63,25.63,8.55,9.37,3.36,0.22,26.71,2.84,0.42,31.69,20.13,9.92,5.23,179.33,45.59,59.12,,26.31,,30.98,48.43,36.46,36.46,2.16,9.62,,1.51,1.71,,35.92,8.86,2.37,,,33.12,38.74,2.05,2.73,48.43,0.99,29.34,262.55,56.47,150.79,,34.83,,2.92,53.03,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,4.14,71.42,,,9.7,8.1,22.2,18.4,8.5,87.63,6.82,,78.48,0.68,0.98,0.06,24.01,2.06,,143.65,6.4,6.71,1.43,,1.49,5.55,22.54,11.96,24.97,,,,6.87,4.44,0.4,27.51,8.36,5.59,,7.67,,2.41,29.15,62.64,1.88,,15.46,,27.6,1.22,26.98,26.98,11.73,4.13,,2.34,1.3,10.55,15.03,1.22,0.53,,,9.55,18.67,,1.08,1.24,2.06,2.29,612.23,4.67,5.68,,4.28,,3.64,30.01,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,23.95,55.74,,,7.8,9.6,49.1,7.4,3.8,64.28,5.86,3.81,57.47,1.82,0.44,0.24,168.03,0.94,71.9,58.89,77.13,4,9.24,,0.55,3.59,36.17,19.27,16.29,13.96,13.49,6.46,6.56,2.76,0.05,40.24,7.38,3.67,15.07,24.3,6.77,4.99,142.14,62.28,5.83,,11.02,,24.96,37.01,49.86,15.33,0.99,5.41,,0.69,0.45,,13.59,,1.24,,,13.12,20.02,0.87,1.46,,0.83,4.34,199,9.56,52.94,,9.67,,5.07,36.61,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,50.99,,8.7,,,,,,77.17,,,60.95,2.11,6.66,9.48,3.2,7.76,,,342.96,,0.07,,,,,,,,,8.29,8.19,,0.77,,,,,,,31.92,1.22,,,,,,,0.83,,,,25.81,,,,,,,,2.58,1.95,,,,,0.98,7.75,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,54.44,,2.2,20.8,5.4,3.2,9.8,11,80.39,11.22,,64.92,3.48,0.4,3.65,2.14,0.99,102.26,192.59,24.29,0.15,0.04,,0.77,7.06,8.54,6.31,8.59,8.42,6.4,2.02,1.98,11.71,0.65,25.4,12.2,7.06,12.45,14.62,5.26,6.21,2.96,50.66,6.83,,18.25,,23.83,2.1,11.44,10.97,2.24,2.3,,,,,9.11,1.63,0.42,,,7.05,10.25,1.75,0.69,4.98,0.7,10.77,64.69,18.64,17.03,,17.22,,6.33,11.26,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
