Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,46.76,33.06,1.5,7.9,7.7,13.5,33.2,24.7,58.71,10.5,28.76,1.07,8.35,28.71,5.82,0.74,0.61,131.49,1.78,125.99,57.06,66.46,1.56,0.5,,0.18,0.71,23.9,20.71,27.42,23.32,20.39,5.69,5.98,4.18,0.54,21.81,3.75,0.71,23.28,15.86,4.82,2.34,133.88,54.39,17.3,,21.75,,22.9,6.4,27.28,25.24,2.1,5.97,,0.81,1.7,,27.14,5.24,1.17,,,21.56,27.14,1.95,2.02,24.44,1.37,13.03,74.15,18.1,23.78,,16.15,,3.41,42.42,,,10,33913792728.0,Medical Specialties,Health Technology
AA,52.37,55.12,1.4,10.2,,,,,75.95,5.9,36.78,0.98,9.79,49.89,1.41,0.38,0.45,40.56,1.41,78.33,59.38,26.65,4.45,0.56,,,0.98,938.59,18.52,,6.65,4.84,1.06,1.11,0.11,0.36,,,0.98,12.71,,,4.05,34.57,11.35,1.6,,,,2.02,2,,,,0.71,,,,,,,,,,20.15,,,1.58,2,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,0.54,78.02,,10.4,,,,,597.78,27,89.05,,,82.97,0.67,0.33,0.22,13.94,0.57,21.4,22.29,13.62,16.51,,,,,16.76,16.76,,6.19,4.55,0.7,0.74,5.97,,,,,7.06,,,3.99,16.13,20.34,1.4,,0.51,,5.17,,42.24,12.82,,0.18,,,,,,,0.44,,,4.04,,,,,0.47,0.43,6.13,5.96,,,2.95,,30.46,12.12,,,8,8696254174.0,Airlines,Transportation
AAON,98.02,61.42,,26.3,8.1,29.5,31.8,,20.3,29.5,56.48,0.41,14.61,59.47,24.72,,,115.15,2.99,98.09,12.85,43.47,0.35,0.14,,0.14,0.27,40.15,32.91,95.19,,,,8.18,2.49,0.73,8.59,1.1,0.27,41.6,20.41,16.34,10.7,79.04,36.27,88.05,,15.61,,20.32,12.58,51.85,51.85,2.07,8.07,,2.82,8.14,,93.94,6.07,1.59,,60.93,42.49,66.31,2.07,8.47,15.99,1.7,19.5,39.13,29.71,25.86,,21.83,,0.45,105.61,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,35.16,3.6,,26,,,,,8.9,26.46,58.15,,33.02,1.71,0.09,0.12,35.95,1.23,263.29,213.8,27.04,11.12,1.52,,100,2.72,123.36,15.78,15.96,21.05,9.5,0.5,0.5,0.81,0.21,3.13,16.42,2.72,13.01,8.54,83.75,,147.15,39.48,0.41,,,,0.3,0.82,3595,3595,,0.19,,,,,6.06,18.16,0.17,,,3.97,13,,0.31,2.06,0.3,,0.91,0.64,,,0.32,,,4.8,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,36.83,50.19,2.9,1.3,5.7,20.9,23.2,14.6,102.85,15.7,37.43,0.58,36.79,46.43,10.38,0.47,0.61,230.1,0.95,11.42,91.36,22.13,0.75,1.52,,0.15,0.42,28.99,26.59,34.44,26.87,24.64,8.44,9.32,3.45,0.2,27.06,2.98,0.43,30.86,19.77,11.11,6.06,186.09,45.96,120.35,,26.44,,31.27,52.55,35.03,35.03,2.07,9.27,,1.45,1.63,,34.19,9.04,2.15,,,31.61,36.88,2.02,2.6,52.53,0.91,29.81,269.91,59,151.08,,35.41,,3.15,50.7,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,49.02,59.3,,,9.7,8.1,22.2,18.4,28.45,8.5,63.06,5.9,25.15,60.45,0.76,6.41,0.25,27.79,7.59,,148.94,6.31,7.89,1.78,,1.49,4.8,23.98,12.65,23.24,,,,7.28,4.17,0.35,30.53,8.24,4.82,38.6,8.05,,2.87,27.09,63.33,1.92,,16.36,,28.14,1.43,31.22,31.22,13.57,4.59,,2.71,1.32,11.16,14.99,1.35,0.61,,,10.24,20.54,,1.24,1.43,7.59,2.43,664.38,4.78,6.24,,4.54,,4.38,34.31,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,39.18,66.97,,,7.8,9.6,1.7,7.4,21.19,3.8,84.41,5,21.42,73.7,1.99,0.31,0.19,201.5,0.81,73.4,65.71,76.62,3.91,10.42,,0.57,3.06,40.97,21.68,22.05,14.41,14.03,6.7,7.13,2.44,0.05,32.33,5,3.06,16.66,20.27,7.09,4.96,146.99,62.76,4.9,,9.71,,22.31,52.47,67.17,18.83,1.21,6.5,,0.68,0.66,,20.11,,1.48,,,19.14,33.87,1.31,1.8,,0.71,3.83,192.43,9.41,53.28,,8.16,,3.01,43.71,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,54.85,,8.7,,,,,,,51.98,,,55.07,2.06,9.52,9.3,2.78,10.96,,,406.96,,0.07,,,,,,,,,8.29,7.08,,0.79,,,,,,,32.02,1.06,,,,,,,0.74,,,,24.37,,,,,,,,2.22,1.74,,,,,0.84,10.96,,,,,,,,0.65,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,0.41,42.93,,2.2,20.8,5.4,3.2,9.8,60.73,11,42.9,10.55,5.17,41.13,3.71,0.44,4.44,2.27,1.11,97.74,188.94,24.71,0.13,0.04,,0.79,6.64,8.74,6.54,9.38,8.81,6.76,2.15,2.1,11.44,0.66,25.65,11.48,6.64,12.4,14.58,4.9,6.71,2.64,50.83,7.5,,17.86,,24.06,2.14,12.47,11.95,2.44,2.5,,,,,10.02,1.72,0.47,,,7.8,11.13,1.82,0.75,4.93,0.79,10.57,68.13,19.18,16.5,,16.25,,6.05,12.61,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
