Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,4.14,50.97,,1.9,5,6.8,3.9,4,3.7,5.12,2.8,66.49,0.98,,55.5,5.16,,0.7,0.39,138.14,2.09,123.03,58.99,71.61,1.81,0.58,,0.19,0.68,24.97,21.55,29.41,24.23,21.18,5.92,6.2,4,0.5,21.09,3.49,0.72,24.41,15.29,15.43,5.73,134.65,54.3,15.5,,,19.8,,22.86,6.68,31.25,27.35,2.4,6.19,,0.88,1.45,,29.32,1.03,7.4,1.22,,,22.97,29.79,2.22,2.07,45,1.58,11.63,68.51,17.6,21.45,,14.54,,3.58,42.77,,,10,33913792728.0,Medical Specialties,Health Technology
AA,56.27,66.63,19.83,1.4,10.2,,,,,75.95,5.9,74.91,0.85,,69.51,1.52,,0.38,0.45,45.88,1.41,78.33,59.38,26.65,4.45,0.56,,,0.85,1067.01,21.05,,7.56,5.5,1.2,1.26,0.09,0.36,,,0.85,14.41,,,4.06,32.97,11.35,1.6,,,,,2.02,2.26,,,,0.82,,,,,,1.39,,,,,23.01,,,1.79,2.34,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,7.96,63.54,29.3,,10.4,,,,,597.78,27,60.85,,,62.71,0.68,,0.33,0.22,14.64,0.57,21.4,22.29,13.62,16.51,,,,,16.99,16.99,,6.27,4.61,0.71,0.75,5.89,,,,,7.17,,,4.01,16.16,20.34,1.4,,,0.51,,5.17,,44.36,13.47,,0.19,,,,,,0.91,,0.47,,,4.27,,,,,0.47,0.43,6.13,5.96,,,2.95,,28.74,12.73,,,8,8696254174.0,Airlines,Transportation
AAON,74.77,72.39,19.32,,26.3,8.1,29.5,31.8,,20.3,29.5,82.15,0.35,42.08,74.93,32.59,,,,136.03,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.23,47.07,37.97,111.49,,,,9.5,2.12,0.77,8.52,0.93,0.23,46.2,20.37,19.72,15.07,79.83,35.65,94.37,,,15.78,,20.14,13.87,59.93,59.93,2.39,9.42,,3.26,9.57,,110.42,1.7,6.79,1.83,,56.92,46.76,71.19,2.4,9.22,17.33,1.79,19.56,38.79,29.01,25.52,,21.87,,0.46,119.32,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,63.71,,3.6,,26,,,,,8.9,78.01,48.32,,69.3,1.9,,0.08,0.12,44.44,1.34,232.75,194.44,24.05,7.27,1.47,,1.28,2.26,28.84,11.38,27.28,30.15,13.63,0.7,0.48,3.47,0.21,1.77,8.23,2.26,26.8,3.99,,,106.87,40.02,2.38,,,0.36,,1.55,1.02,60.88,56.97,,0.21,,,,,12.16,0.42,2.06,0.19,,,6.35,86.44,,0.42,1.67,0.62,0.36,4.12,2.95,1.7,,1.76,,4.27,6.12,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,21.93,63.27,1.48,2.7,,4.9,6.2,6.4,8.6,,5.4,83.77,0.55,21.81,70.72,8.96,,0.37,0.61,234.93,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.42,29.17,26.69,33.04,27.18,25.06,8.61,9.19,3.43,0.16,27.83,3.06,0.43,31.71,18.19,11.49,6.89,187.84,46.21,,,,23.97,,31.51,62.32,38.64,34.8,2.19,9.27,,1.47,1.63,,33.29,1.25,9.82,2.04,,,30.62,35.66,2.22,2.59,62.32,0.83,26.93,278.63,59.87,140.28,,32.51,,3.24,50.96,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,44.66,65.01,2.23,,,9.7,8.1,22.2,18.4,28.45,8.5,82.12,5.7,30.15,70.82,0.8,,4.87,0.25,28.61,5.78,,148.94,6.31,7.97,1.8,,1.38,4.64,23.42,12.5,24.68,,,,7.32,4.27,0.35,29.66,7.78,4.65,57.79,8.83,,2.18,27.61,63.33,1.92,,,16.36,,28.14,1.47,29.49,29.49,12.82,4.76,,2.56,1.4,11.86,16,1.04,1.4,0.63,,,10.59,19.46,,1.26,1.49,5.78,2.43,683.81,4.81,6.24,,4.5,,,34.89,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,35.06,49,,,,7.8,9.6,1.7,7.4,21.19,3.8,73.06,5.58,19.6,55.24,1.84,,0.17,0.1,183.08,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.42,38.91,21.06,24.57,14.01,13.51,6.5,6.91,2.57,0.04,28.13,4.83,3.62,15.05,16.37,7.63,5.52,150.08,67.21,5.43,,,9.22,,26.13,53.69,63.57,17.03,1.1,5.79,,0.62,0.68,,20.53,1.22,,1.33,,,19.41,36.22,1.69,1.64,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.69,39.2,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABEV,,44.9,,,2.2,20.8,5.4,3.2,9.8,60.73,11,53.23,11.14,,47.2,3.66,,0.59,6.19,2.15,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,7.01,8.08,6.07,8.76,8.29,6.36,2.02,1.95,12.38,0.67,25.25,11.85,7.01,11.44,15.95,3.83,6.46,2.76,50.98,7.91,,,16.92,,23.87,1.99,12.5,12.22,2.49,2.39,,,,,9.51,0.78,1.63,0.45,,,7.51,10.15,1.65,0.69,4.39,0.9,10.03,70.19,19.21,15.52,,15.33,,6.2,11.94,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,7.39,62.36,,,50.3,,28.2,37.8,,8.08,24,63.01,,,62.96,2.8,,0.03,0.01,260.03,1.2,48.06,16.14,4.32,6.36,1.52,,,,13.99,12.71,39.17,11.92,10.87,0.58,0.62,7.15,0.33,1.58,5.11,,9.55,30.08,,6.16,262.51,17.41,3.89,,,2.16,,5.9,1.51,14.72,9.66,0.3,0.32,,0.31,1.71,,19.69,0.99,,1.11,,,10.41,88.08,0.39,0.53,,0.41,3.64,17.42,9.79,10.8,,7.97,,,13.79,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABM,29.48,58.44,,2,8.4,5.9,40.8,24.6,,23.18,11.1,58.97,1.91,12.55,58.67,2.98,,0.07,0.06,56.99,1.38,,,56.6,3.53,0.8,,0.26,1.56,16.2,11.94,18.1,12.31,9.93,0.59,0.6,6.17,0.36,3.3,7.63,1.56,15.55,25.92,,1.62,51.51,,3.58,,,1.89,,3.62,1.95,23.55,16.42,1.02,0.44,,0.89,1.16,,13.46,1.11,,1.11,,,10.88,16.46,0.82,0.98,,1.38,3.14,55.18,8.09,8.51,,4.97,,3.16,29.53,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
ABNB,4.33,56.88,15.28,,38.3,,,,,322.31,8,64.63,,,58.89,4.81,,0.99,4.98,138.28,1.62,,33.1,6.78,0.96,0.27,,,,34.12,33.26,19.02,22.23,21.88,6.36,7.22,2.93,0.38,37.96,4.76,,31.1,,,10.67,166.35,83.07,22.92,,,16.96,,15.01,10.21,48.52,48.52,,8.3,,,,,22.03,0.83,4.93,,,18.71,22.03,36.95,,,11.25,1.62,7.98,839.68,21.23,22.05,,19.8,,3.95,,,,2,92399740712.0,Other Consumer Services,Consumer Services
ABT,11.21,56.54,0.99,0.7,6.3,12.3,6.8,6.7,,,5.8,63.84,3.45,9.88,58.85,5.34,,0.52,0.52,118.95,1.6,134.18,82.06,59.46,1.42,0.38,,0.48,1.85,28.78,20.01,32.65,22.6,17.85,4.7,5.14,3.47,0.54,15.74,3.14,1.85,23.06,11.26,8.9,6.48,108.37,55.55,11.5,,,13.99,,16.24,5.19,36.16,26.32,2.29,5.07,,1.42,1.66,,32.06,1.1,5.24,1.17,,,23.87,41.84,3.26,1.98,23.46,1.14,7.9,65.41,12.45,14.86,,10.65,,3.34,42.48,,,10,176555322492.0,Medical Specialties,Health Technology
