Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,26.44,53.3,1.5,7.9,7.7,13.5,33.2,24.7,58.71,10.5,54.42,1.03,,53.69,6.11,0.74,0.61,141.31,1.78,125.99,57.06,66.46,1.56,0.5,,0.18,0.65,25.43,22.04,29.16,24.79,21.68,6.05,6.36,3.93,0.54,21.81,3.49,0.66,24.98,15.68,4.89,,133.66,54.39,17.3,,21.75,,22.9,6.88,29.32,27.12,2.26,6.37,,0.79,1.69,,29.2,5.67,1.27,,,23.17,29.2,2.11,2.19,26.27,1.37,13.03,74.15,18.1,23.78,,16.15,,3.21,45.58,,,10,33913792728.0,Medical Specialties,Health Technology
AA,19.65,56.94,1.4,10.2,,,,,75.95,5.9,63.24,1.18,8.03,60.66,1.23,0.44,0.55,36.78,1.55,79.98,58.53,26.31,10.94,0.65,,,1.1,,42.79,,7.9,5.11,0.92,0.93,,0.27,,,1.1,13.39,,,2.33,39.63,8.14,,,,,,1.69,,,,0.61,,,,,,,,,,20,,,1.63,1.78,0.92,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,56.39,,10.4,,,,,597.78,27,52.83,,,56.64,0.66,0.34,0.21,11.06,0.6,20.92,21.96,14.01,19.76,,,,,19.13,19.13,,10.24,6.11,0.68,0.71,5.23,,,,,5.92,,,4.01,16.51,20.23,1.4,,,,5.34,,,11.43,,0.14,,,,,,,0.34,,,3.56,,,,,0.5,,5.17,4.89,,,12.18,,43.36,8.25,,,8,8696254174.0,Airlines,Transportation
AAON,66.02,79.98,,26.3,8.1,29.5,31.8,,20.3,29.5,95.76,0.47,9.37,87.18,22.66,,,107.22,2.99,98.09,12.85,43.47,0.35,0.14,,0.14,0.3,35.91,29.43,86.16,,,,7.31,2.78,0.73,8.59,1.18,0.3,38.85,20.45,16.31,10.76,78.75,36.27,88.05,,15.61,,20.32,11.72,48.3,48.3,1.92,7.51,,2.46,7.07,,87.54,5.7,1.49,,57.2,39.56,61.77,1.95,7.95,14.89,1.7,19.5,39.13,29.71,25.86,,21.83,,0.52,98.37,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,30.81,3.6,,26,,,,,8.9,37.29,52.59,,33.05,1.72,0.09,0.12,40.48,1.23,263.29,213.8,27.04,11.12,1.52,,100,2.48,129.17,16.52,16.76,22.1,10.6,0.52,0.52,0.77,0.21,3.13,14.59,2.48,14.65,6.55,82.89,,147.51,39.48,0.41,,,,0.3,0.93,4047.5,4047.5,,0.22,,,,,6.85,20.62,0.19,,,4.48,14.64,,0.36,2.32,0.3,,0.91,0.64,,,0.32,,,5.4,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,29.78,56.02,2.9,1.3,5.7,20.9,23.2,14.6,102.85,15.7,61.69,0.59,31.67,58.05,10.13,0.47,0.61,226.71,0.95,11.42,91.36,22.13,0.75,1.52,,0.15,0.43,28.02,25.7,33.38,26.01,23.86,8.17,9.01,3.57,0.2,27.06,3.03,0.44,30.29,19.85,11.24,6.08,184.6,45.96,120.35,,26.44,,31.27,51.76,34.51,34.51,2.04,9.14,,1.31,1.47,,33.7,8.95,2.12,,,31.11,36.31,2,2.57,51.76,0.91,29.81,269.91,59,151.08,,35.41,,3.25,49.94,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,40.21,59.74,,,9.7,8.1,22.2,18.4,28.45,8.5,61.31,6.06,26.56,60.31,0.73,0.99,0.07,27.05,1.84,,145.05,6.23,6.69,1.44,,1.49,4.93,24.04,12.68,23.22,,,,7.3,4.16,0.4,31.33,8.47,4.95,38.09,8.11,,2.74,26.96,62.62,1.87,,15.39,,27.37,1.38,30.39,30.39,13.21,4.64,,2.43,1.19,11.83,14.83,1.38,0.6,,,10.11,20.28,,1.21,1.4,1.84,2.29,628.91,4.67,5.7,,4.27,,3.76,33.39,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,29.34,51.86,,,7.8,9.6,49.1,7.4,26.06,3.8,46.35,5.18,10.7,47.95,2.02,0.31,0.19,194.25,0.81,73.4,65.71,76.62,3.91,10.42,,0.57,3.15,42.04,22.25,22.45,14.4,14.03,6.79,7.32,2.38,0.05,32.33,5.18,3.19,16.07,20.15,7.21,4.99,146.53,62.76,5.48,,9.71,,24.95,50.59,64.75,18.15,1.17,6.25,,0.74,0.58,,19.35,,1.42,,,18.47,32.66,1.25,1.73,,0.71,3.83,192.43,9.41,53.28,,9.12,,2.92,42.14,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,40.77,,8.7,,,,,,,26.01,,,37.11,1.92,9.52,9.3,2.51,10.96,,,406.96,,0.07,,,,,,,,,8.29,3.65,,0.79,,,,,,,32.02,1.06,,,,,,,0.66,,,,22,,,,,,,,2.02,1.58,,,,,0.75,10.96,,,,,,,,0.71,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,49,,2.2,20.8,5.4,3.2,9.8,60.73,11,38.29,10.34,,44.92,3.68,0.44,4.44,2.36,1.11,97.74,188.94,24.71,0.13,0.04,,0.79,6.42,8.95,6.69,9.27,8.65,6.63,2.1,2.15,11.17,0.66,25.65,11.07,6.42,12.87,14.65,4.92,6.6,2.63,50.83,7.5,,17.86,,24.06,2.14,12.94,12.39,2.53,2.55,,,,,10.11,1.73,0.47,,,7.93,11.19,1.82,0.75,4.91,0.79,10.57,68.13,19.18,16.5,,16.25,,6.04,12.39,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,8.42,49.8,,50.3,,28.2,37.8,,8.08,24,62.58,,7.93,53.36,2.67,0.03,0.02,228.02,1.25,45.36,16.38,4.15,6.36,1.58,,,,12.79,11.69,,10.84,9.92,0.55,0.61,7.82,0.32,,,,7.87,30.49,,6.95,258.0,17.75,4.56,,2.51,,6.31,1.37,11.7,7.88,0.25,0.29,,0.23,,,,,1.01,,,41.85,,0.32,0.53,,0.45,4.25,19.44,10.28,12.31,,8.62,,,12.47,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABM,40.54,42.64,2,8.4,5.9,40.8,24.6,,23.18,11.1,42.67,2.13,26.9,41.92,2.92,0.07,0.06,50.76,1.38,,,56.6,3.53,0.8,,0.26,1.76,14.96,11.02,16.79,11.41,9.21,0.55,0.55,6.68,0.36,3.3,8.56,1.77,13.65,26.59,,1.4,51.32,,3.58,,1.89,,3.62,1.74,20.98,14.63,0.91,0.4,,0.72,0.96,,11.93,,0.99,,,9.71,14.68,0.73,0.88,,1.38,3.14,55.18,8.09,8.51,,4.97,,3.5,26.3,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
