Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
ABNB,,63.59,,38.3,,,,,322.31,8,76.51,,,72.09,3.49,0.71,4.95,130.12,1.41,,29.97,7.3,1.12,0.28,,,,36.42,35.49,17.02,20.83,20.49,5.94,6.83,2.75,0.3,41.38,5.28,,28.25,,,10.6,166.89,82.59,20.75,,46.11,,15.21,10.31,17.7,17.7,,8.09,,,,,19.61,3.03,,,21.17,19.54,14.76,,,11.42,1.41,21.22,720.92,19.41,63.33,,55.65,,3.45,,,,2,92399740712.0,Other Consumer Services,Consumer Services
ABT,14.81,54.34,0.7,6.3,12.3,6.8,6.7,,,5.8,45.19,3.53,1.92,50.26,5.35,0.52,0.49,114.14,1.68,135.1,83.18,58.61,1.42,0.38,,0.48,1.89,29.17,20.03,36.66,20.08,17.59,4.61,5.1,3.43,0.54,13.88,2.85,1.93,22.2,12.85,8.45,6.41,106.94,55.24,10.7,,13.65,,15.92,5.05,36,25.65,2.23,4.91,,0.81,1.67,,35.3,5.25,1.16,,,25.26,46.31,2.63,1.93,24.28,1.18,7.63,64.74,12.05,14.52,,10.37,,3.06,41.66,,,10,176555322492.0,Medical Specialties,Health Technology
ACA,24.25,60.02,,6.9,,13.2,4.1,,3.27,5.9,63.98,0.21,8.08,62.71,3.23,0.24,0.15,93.54,2.31,71.3,47.91,58.17,1.84,0.29,,0.07,0.22,24.09,13.39,315.5,,,1.77,2.11,4.15,0.63,0.67,0.36,0.22,21.74,19.96,,,71.44,19.03,5.57,,6.05,,7.68,1.89,31.08,31.15,1.54,1.88,,,,,280.87,2.43,,,,20.29,31.38,1.76,1.33,4.23,1.36,4.09,12.41,6.71,6.29,,4.98,,0.56,,,,9,3644941042.999999,Trucks/Construction/Farm Machinery,Producer Manufacturing
ACAD,,50.35,,,,38.8,40.9,46.1,223.57,16.4,51.01,,,51.88,2.09,1.48,8.69,15.93,2.16,197.37,87.05,38.64,1.68,0.11,,,,102.1,67.96,28.05,13.73,10.97,2.21,2.62,0.98,0.57,9.04,3.05,,19.18,,,16.93,32.89,91.73,,,3.43,,2.56,5.11,88.5,88.5,3.97,2.97,,,,,32.85,4.94,,25.18,7.81,32.85,135,,,6.45,1.95,4.03,40.04,4.61,7.04,,7.75,,,,,,,4047377469.0,Pharmaceuticals: Major,Health Technology
ACHC,13.91,48.95,,12.2,,,16.9,,,10.9,30.98,,4.47,42.6,2.31,0.14,0.04,75.9,1.18,18.83,519.12,44.07,8.34,0.67,,,,93.61,37.76,,13.56,10.77,2.53,2.92,1.07,0.52,,,,19.12,,15.88,10.07,86.69,96.46,5.51,,,,17.58,2.36,,21.26,,2.28,,,,,,3.26,1.03,,,65.77,,,2.24,11.26,1.17,,3.96,2,,,,,,237.19,,,7,6460318360.000001,Medical/Nursing Services,Health Services
ACHR,,33,,100.9,,,,,,,21.91,,,28.33,,4.31,,,4.49,,,,,,,,,,,,,,18.07,,,,,,,,,11.38,,,,,,,,,3.09,,,,,,,,,,,,4.9,4.61,,,,,3.12,4.49,,,,,,,,,,,,,1649497955.0,Aerospace & Defense,Electronic Technology
ACI,,39.28,,18.8,33.9,6,,,132.17,4.2,38.91,2.62,0.14,38.46,3.58,0.04,0.02,18.63,0.88,31.49,25.97,3.45,3.24,4.86,,0.18,2.57,12.96,5.63,29.7,11.68,5.97,0.31,0.31,7.72,0.11,1.05,7.7,2.57,7.9,20.29,,1.68,21.84,27.84,3.99,,1.41,,2.43,3.7,9.7,7.11,0.53,0.14,,,,,13.02,,,,,3.91,11.61,0.79,0.72,,0.21,4.28,12.32,10.22,45.12,,6.91,,4.83,28.65,,,7,13551493187.000002,Food Retail,Retail Trade
ACLS,,46.09,0.9,22.7,,62.7,72,31,57.41,34.8,58.17,,1.38,50.01,8.47,2.25,12.33,103.75,4.42,179.55,30.91,63.45,0.15,0.05,,,,9.95,9.47,18.59,,10.68,2.55,2.53,10.05,0.73,13.75,4.52,,14.01,23.41,,4.24,119.49,44.63,48.8,,21.54,,23.4,3.62,14.29,14.29,0.29,3.07,,,,,22.36,1.53,1.44,17.57,4.72,19.89,23.77,0.58,1.53,3.62,3.26,19.31,74.1,28.93,28.19,,33.01,,1.76,34.93,,,9,5489377800.999999,Industrial Machinery,Producer Manufacturing
ACLX,104.3,79.53,,,,2.6,0.1,,,,88.67,,,84.63,11.19,5.85,6.96,84.15,6.01,,,69.04,,0.15,,,,,,,,,43.63,28.22,,0.66,,,,,,,6.19,0.0,,,,,,,9.3,,,,29.57,,,,,,,,16.97,16.17,,,,,9.3,6.01,,,,,,,,,,,,,1598748014.0,Biotechnology,Health Technology
ACM,19.69,66.82,4.6,,,0.1,22.9,46.8,,7.7,83.19,0.83,0.56,72.34,2.33,0.26,0.55,102.41,1.13,,55.01,59.44,3.29,1.31,,0.21,0.81,20.32,16.37,21.6,13.84,12.29,1.93,0.95,4.92,0.19,4.4,5.07,0.86,20.58,8.18,13.58,7.45,98.33,6.58,4.87,,1.61,,5.59,6.05,55.06,25.51,9.11,0.88,,,,,20.1,,1.93,,,17.19,26.27,,1.91,,1.13,2.22,88.12,13.4,11.18,,10.64,,3.52,160.02,,,7,11643339642.999998,Engineering & Construction,Industrial Services
ACN,5.44,52.05,0.3,15.1,11.9,7.8,16.1,6.2,17.95,13.6,45.45,2.51,,48.3,7.4,0.3,1.2,338.04,1.16,,20.04,71.1,0.43,0.17,,0.42,1.53,22.57,19.61,24.4,18.91,16.4,3.11,3.28,4.43,0.51,13.44,4.09,1.53,26.33,14.11,6.53,4.85,327.66,32.58,171.01,,10.79,,14.2,7.63,30.96,28.45,2.54,3.32,,1.45,0.97,,24.86,7.22,1.19,,,23.54,35.77,2.75,1.68,41.12,1.16,13.46,227.4,27.32,26.23,,19.64,,3.03,37.43,,,10,207617355910.0,Information Technology Services,Technology Services
ACVA,29.95,68.5,,,,,,,,30.6,84.32,,,75.23,3.64,0.66,2.48,20.6,1.49,,469.19,121.47,,0.24,,,,,,,,,4.31,6.01,,0.45,,,,539.1,,,29.29,17.64,50.64,,,,,,7.47,,,,6.16,,,,,,,,,56.03,589.32,,,,29.46,1.49,,,,,,,,,,,,,2506975976.0,Internet Retail,Retail Trade
ADBE,8.85,42.41,1.7,9.4,,17.7,14.1,11.4,,16.8,43.2,,11.77,40.78,12.43,0.78,1.24,525.53,1.11,,49.25,33.27,0.78,0.42,,,,33.61,29.88,35.51,21.1,19.72,9.76,11.06,2.98,0.49,31.27,2.81,,25.58,19.18,13.41,10.83,577.19,88.66,51.2,,25.59,,35.93,16.02,44.39,29.39,1.37,11.37,,0.86,1.06,,36.33,18.73,0.89,,,35.36,50.58,1.78,2.34,266.77,1.11,18.17,291.22,33.73,34.74,,23.21,,2.98,65.94,,,10,241068062221.0,Packaged Software,Technology Services
ADC,28.03,57.45,,5.9,6.7,5.7,1.7,14.6,3.33,5.9,45.48,5.44,30.6,51.73,1.71,0.07,,74.76,0.9,,535.71,52.31,5.24,0.52,,1.65,3.99,36.5,20.44,25.44,29.94,18.33,16.01,17.86,2.74,0.65,69.98,5.42,4.02,40.77,11.51,3.51,9.9,74.12,87.98,3.02,,32.09,,48.78,1.51,41.53,41.6,6.71,12.78,,3.33,1.32,18.02,18.25,1.83,1.02,,,18.25,,6.34,1.09,1.81,0.9,2.43,,3.76,3.63,,3.67,,,33.52,,,10,5725111028.0,Real Estate Investment Trusts,Finance
ADI,30.15,51.65,,30.2,11.6,25.1,26.1,12.4,8.32,17.3,51.29,2.83,18.02,52.07,5.71,0.79,0.31,228.21,1.69,139.48,41.5,48.27,1.9,0.23,,0.81,1.59,54.38,27.34,39.95,28.7,22.4,11.12,12.02,1.84,0.72,30.39,2.6,1.61,30.19,17.56,12.14,,152.92,57.85,7.22,,17.07,,23.16,3.22,68.53,51.83,4.25,11.73,,2.64,1.77,,38.65,,1.73,,,28.57,36.05,3.54,1.89,,1.24,3.39,48.07,4.69,4.66,,4.47,,1.74,53.57,,,10,90112565563.0,Semiconductors,Electronic Technology
ADM,,53.3,2.6,9.4,7.7,25.1,24.8,,89.18,15,52.23,4.2,,54.26,3.28,0.04,0.06,61.69,1.44,50.79,24.24,21.73,2.36,0.54,,0.35,3.16,10.29,8.03,12.74,13.45,9.71,0.46,0.45,9.72,0.42,3.56,10.71,3.24,11.4,22.23,,,78.81,7.44,4.48,,2.93,,3.39,1.33,12.34,11.29,0.62,0.36,,,,,10.32,0.98,0.89,,,6.86,8.91,0.51,1.79,1.94,0.88,4.77,18.59,10.96,10.87,,5.18,,16.2,13.15,,,10,42539663009.00001,Agricultural Commodities/Milling,Process Industries
ADNT,,52.29,0.1,22.6,,89.8,,,,6.1,59.81,,,56.37,1.82,0.24,0.35,22.21,1.08,21.59,65.9,45.85,3.8,1.32,,,,10.74,5.34,11.88,8.81,4.82,0.24,0.24,9.31,0.21,2.05,15.75,,8.06,,17.9,,39.59,6.28,2.09,,0.5,,2.67,1,30.01,8.32,,0.14,,,,,6.74,,,,,3.56,8.87,,0.69,,0.87,0.79,24,5.88,3.46,,7.03,,13.04,,,,5,3590797312.0,Auto Parts: OEM,Producer Manufacturing
ADP,12.64,60.6,1.2,,13.8,15.3,15.1,13,20.5,9.9,54.47,3.58,8.88,57.84,2.65,0.06,0.79,275.89,1.01,,2.97,62.22,0.64,0.82,,0.59,2.03,21.81,19.69,31.72,21.33,19.41,5.63,5.94,4.59,0.08,18.72,3.19,2.03,27.5,14.51,8.81,5.55,267.42,45.44,13.74,,19.54,,25.85,24.77,30.28,30.05,2.48,5.91,,1.35,1.64,,31.58,13.2,1.23,,,27.3,48.09,2.5,2.67,131.38,1.01,6.8,497.94,59.7,91.62,,7.53,,3.05,42.58,,,10,101064499899.00002,Data Processing Services,Technology Services
ADSK,25.1,65.19,0.9,25.4,,21.7,23.3,,,14.2,66.5,,,66.77,5.29,0.43,0.72,268.05,0.64,,94.05,32.85,1.8,1.05,,,,45.25,40.29,54.7,43.95,40.26,9.6,10.06,2.21,0.25,18.45,1.85,,32.4,22.55,11.84,11.59,254.84,90.8,1291,,18.21,,22.24,23.35,54.82,32.77,0.6,10,,,,,54.21,,0.96,,,50.01,129.94,1.32,2.65,,0.64,11,369.7,23.5,57.58,,9.97,,0.53,221.53,,,6,45606470933.0,Packaged Software,Technology Services
AEE,2.29,64.16,,6.5,8,7.3,6.3,10.2,5.28,6.9,65.15,4.25,14.47,63.8,0.88,0.01,,86.02,0.67,74.06,86.49,26.35,5.01,1.54,,0.61,3.07,20.49,11.49,,18.58,10.67,4.86,5.67,4.88,0.27,,,3.12,17.51,1.02,7.63,3.41,81.2,50.31,3.09,,16.28,,26.85,1.99,19.46,20.29,3.69,3.17,,1.35,,,,1.36,1.22,,,9.11,,2.95,,2.06,0.45,2.88,5.92,5.36,10.43,,4.04,,,21.89,,,10,21222279644.0,Electric Utilities,Utilities
AEHR,,40.51,,99.7,,,,,52.85,46.7,37.38,,,38.32,14.78,4.68,7.93,12.51,9.31,357.33,69.43,54.67,0.54,0.06,,,,31.41,27.66,317.51,,,,4.78,3.18,0.87,1.52,0.27,,41.03,,,24.21,24.53,49.15,,,50.07,,15.22,3.25,11.17,10.43,,5.58,,,,,403.57,1.25,2.28,11.28,4.54,215.71,18.7,,4.05,3.25,5.75,31.03,24.62,10.7,37.59,,56.45,,,,,,4,1353850723.0,Electronic Production Equipment,Electronic Technology
AEIS,11.12,50.24,0.9,13,,,,,,6.1,64.81,0.39,13.9,54.83,3.58,3.21,0.97,102.76,5.47,137.27,54.32,63.98,5.91,0.88,,0.1,0.4,36.68,22.36,34.42,,12.08,2.34,2.56,2.73,0.46,7.41,2.89,0.4,18.94,22.2,,,85.74,35.21,3.81,,6,,5.38,3.32,42.81,26.01,1.94,2.57,,1.22,2.09,,34.61,2.51,0.91,,12.91,22.68,41.93,1.34,1.56,5.41,4.22,3.75,15.66,5.02,7.97,,7.79,,,35.56,,,9,3937546139.0,Electronic Production Equipment,Electronic Technology
AEM,68.79,59.42,,20.5,20.8,11.4,7.9,4,4.55,3.1,61.07,8.21,48.8,59.95,3.12,0.52,0.47,83.19,1.51,106.42,52.57,0.4,0.72,0.1,,0.59,1.93,33.85,15.15,32.03,13.04,8.54,4.88,5.79,2.95,0.68,18.06,3.18,1.93,20.25,19.31,17.69,7.91,57.44,36.6,20.97,,8.56,,29.57,2.05,67.63,30.47,1.19,5.66,,,,,31.33,1.87,1.31,,,13.89,41.15,1.75,1.99,2.59,0.76,2.16,5.78,4.54,3.17,,4.24,,1.78,55.83,,,9,24264092594.047283,Precious Metals,Non-Energy Minerals
AEO,48,50.7,,10.5,45.5,,,66.4,90.5,5.8,66.31,2.02,,54.96,4.18,0.24,0.15,20.22,1.57,75.18,28.64,16.47,1.99,0.78,,0.29,2.35,11.54,7.54,17.11,10.77,7.33,0.93,0.92,8.67,0.48,5.42,7.56,2.48,11.27,0.7,11.25,3.39,18.05,39.18,,,4.58,,8.01,2.29,16.18,12.18,,0.74,,,,,13.48,1.22,0.91,,,8.4,24.87,,1.31,2.73,0.74,7.04,18.72,16.01,14.43,,11.24,,11.6,18.05,,,9,3043221255.9999995,Apparel/Footwear Retail,Retail Trade
AER,52.84,58,,6.4,,,5.5,,3.17,,63.16,0.52,10.4,60.64,0.77,0.89,0.03,96.85,3.42,5.35,58.48,3.06,9.64,2.69,,0.02,0.52,28.39,13.3,,15.95,9.39,7.73,8.14,3.52,0.24,,,1.03,8.07,,11.23,3.05,78.07,34.83,,,42.04,,28.67,1.11,6.33,9.53,,2.58,,,,,,0.74,1.51,,,3.65,5.7,,1.71,1.31,3.38,4.6,3.68,3.2,19.62,,2.94,,15.69,15.04,,,8,14432429370.0,Finance/Rental/Leasing,Finance
AES,13.28,67.73,,,5,,6.9,,,7.2,77.33,4.54,11.33,72.79,0.53,0.19,0.06,19.54,0.97,26.58,87.18,46.9,10.74,9.24,,0.31,3.5,27.71,15.22,,11.33,7.64,2.39,3.26,3.61,0.07,,,3.5,9.43,,7.04,2.35,22.82,20.79,1.61,,6.07,,18.51,4.49,18.6,8.84,,1.12,,,,,,2.52,1.18,,,5.51,,,,16.01,0.91,1.68,4.94,4.08,27.42,,,,,,,,6,11544405347.0,Electric Utilities,Utilities
AESC,,35.71,,,5,,6.9,,,7.2,31.65,,,33.54,0.53,0.19,0.06,62.61,0.97,26.58,87.18,46.9,10.74,9.24,,,,27.71,15.22,,,,,3.25,3.61,0.07,,,,6.72,,7.04,2.35,0.0,20.79,1.61,,6.07,,18.51,4.44,18.4,8.74,,1.11,,,,,,,,,,5.45,,,,,0.91,1.68,4.94,4.08,27.42,,,,,,,,6,11544405347.0,Electric Utilities,Utilities
AFRM,55.9,71.25,,,,85.6,17.5,,1.59,11.1,74.65,,,73.3,1.98,17.16,0.32,42.99,65.7,,16.58,43.65,,2.42,,,,,,63.43,30.81,32.05,6.21,7.74,,0.29,12.52,2.17,,,,,23.5,37.27,63.62,,,,,,4.91,,,,5.77,,,,,45.92,,,,9.55,29.68,,,,6.13,65.7,,,,,,,,,,,,,7293861260.0,Finance/Rental/Leasing,Finance
AFYA,18.06,41.56,1.2,12.1,,32.7,10.6,54.7,11.9,37.5,38.51,,,40.55,2.46,0.74,0.27,16.36,1.47,0.97,136.81,63.94,2.04,0.68,,,,9.96,7.44,10.41,7.89,6.19,2.64,3.01,10.04,0.51,29.13,11.99,,8.83,26.5,38.89,9.41,20.18,62.12,2.57,,17.97,,28.66,2,13.63,15.13,0.36,2.48,,,,,8.6,,,,,6.52,12.24,0.6,0.79,,1.47,7.04,66.61,13.76,14.96,,12.04,,,,,,7,1469574000.0000002,Other Consumer Services,Consumer Services
AG,13.11,57.95,,9.1,,,,,,8,60.57,0.29,8.04,60.57,1.59,1.88,0.82,6.14,3.05,49.42,37.39,6.56,4.11,0.19,,,0.29,,29.62,,,,3.76,3.63,,0.69,,,0.3,20.82,18.67,,5.53,5.8,8.95,,,,,,1.31,,,,3.43,,,,,,,0.89,,,25.55,,,5.1,1.31,2.44,,,,,,,,,,,,2,1664184423.375635,Precious Metals,Non-Energy Minerals
AGCO,,61.1,0.2,16.3,20.1,25.7,36.4,,36.02,16.7,73.35,2.3,,67.94,2.4,0.15,0.16,96.21,1.52,134.68,45.83,43.28,4.56,1,,0.09,1.19,18.48,11.74,12.17,11.66,7.88,0.88,0.77,5.41,0.3,6.4,11.97,1.19,12.91,26.75,,,127.2,26.24,14.69,,3.13,,10.32,1.77,17.18,7.64,0.3,0.54,,,,,8.38,1.6,0.86,,,5.4,12.91,0.32,0.83,7.5,0.72,3.43,14.41,7.05,9.57,,13.47,,,14.89,,,10,9201222919.0,Trucks/Construction/Farm Machinery,Producer Manufacturing
AGI,63.64,70.33,,2,17.3,10.3,15.9,23.9,17.21,12.4,80.09,2.31,45.33,74.07,5.13,1.73,956.31,20.83,3.04,140.5,93.05,12.32,,,,0.18,0.48,24.33,15.39,45.82,,,5.54,7.47,4.11,0.74,16.32,2.1,0.48,20.9,16.88,19.56,12.43,14.85,40.19,749.09,,17.74,,33.47,2.68,41.66,37.87,2.18,7.38,,,,,45.05,2.13,1.9,,,15.37,31.01,2.34,2.78,2.68,1.97,5.01,10.11,9.2,6.81,,6.38,,0.36,,,,5,4919131767.945206,Precious Metals,Non-Energy Minerals
