Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
ACHC,,61,,12.2,,,16.9,,10.9,69.54,,,64.27,2.2,,0.14,0.04,73.03,1.18,18.83,519.12,44.07,8.34,0.67,,,,88.92,35.87,,14.21,11.32,2.65,2.78,1.12,0.52,,,,20.33,,15.72,10.23,85.86,96.46,5.51,,,,,17.58,2.2,,19.88,,2.13,,,,,,3.14,0.99,,,61.51,,,2.15,10.84,1.17,,3.96,2,,,,,,221,,,7,6460318360.000001,Medical/Nursing Services,Health Services
ACHR,,35.71,,100.9,,,,,,19.89,,,28.22,,,4.31,,,4.49,,,,,,,,,,,,,,316.44,,,,,,,,,16.47,,,,,,,,,,3.57,,,,,,,,,,,,5.71,5.37,,,,,3.64,4.49,,,,,,,,,,,,,1649497955.0,Aerospace & Defense,Electronic Technology
ACI,,38.29,,18.8,33.9,6,,,4.2,27.04,2.4,,34.41,3.59,,0.04,0.02,19.77,0.88,31.49,25.97,3.45,3.24,4.86,,0.18,2.4,13.17,5.72,30.11,10.85,6.06,0.31,0.31,7.59,0.11,1.05,7.45,2.4,9.67,19.95,,1.71,21.8,27.84,3.99,,,1.41,,2.43,3.83,10.03,7.35,0.54,0.14,,,,,13.5,,,,,4.03,12.02,0.84,0.77,,0.21,4.28,12.32,10.22,45.12,,6.91,,4.67,29.66,,,7,13551493187.000002,Food Retail,Retail Trade
ACIW,70.78,67.87,2.6,5.9,,7,21.8,,6.8,69.2,,33.79,68.02,2.82,,0.15,0.15,47.15,1.32,,22.1,60.56,2.39,0.84,,,,18.21,13,22.91,,14.8,3.59,3.7,5.49,0.37,16.16,5.01,,31.05,13.7,23.91,6.24,32.51,50.71,3.86,,,12.01,,19.46,4,27.74,25.21,2.1,3.33,,1.17,1.64,,20.42,,1.3,,,17.42,22.43,2.41,1.48,,1.32,5.59,174.23,13.31,14.81,,7.6,,3.21,51.25,,,10,2556336665.0,Packaged Software,Technology Services
ACLS,,42.66,0.9,22.7,,62.7,72,31,34.8,49.3,,25.68,43.59,8.95,,2.25,12.33,112.66,4.42,179.55,30.91,63.45,0.15,0.05,,,,11.04,10.5,20.42,,11.25,2.98,2.81,9.06,0.73,13.75,4.16,,17.82,23.15,,,121.14,44.63,48.8,,,21.54,,23.4,3.93,15.52,15.52,0.32,3.35,,,,,24.31,1.65,1.55,18.87,5.07,21.59,25.79,0.62,1.64,3.93,3.26,19.31,74.1,28.93,28.19,,33.01,,1.62,37.93,,,9,5489377800.999999,Industrial Machinery,Producer Manufacturing
ACLX,85.47,52.63,,,,2.6,0.1,,,63.74,,2.19,54.66,7.58,,5.85,6.96,60.64,6.01,,,69.04,,0.15,,,,,,,,,23.53,18.83,,0.66,,,,,,,8.1,0.0,,,,,,,,6.49,,,,20.64,,,,,,,,12.06,11.48,,,,,6.68,6.01,,,,,,,,,,,,,1598748014.0,Biotechnology,Health Technology
ACN,0.51,51.91,0.3,15.1,11.9,7.8,16.1,6.2,13.6,52.33,2.71,,49.8,7.02,,0.3,1.2,319.33,1.16,,20.04,71.1,0.43,0.17,,0.42,1.63,20.87,18.14,22.58,17.5,15.17,2.88,3.04,4.79,0.51,13.44,4.33,1.63,25.11,14.41,6.4,4.64,325.79,32.58,171.01,,,10.79,,14.2,7.21,29.24,26.88,2.4,3.13,,1.37,0.92,,23.46,6.81,1.13,,,22.25,33.78,2.6,1.58,38.85,1.16,13.46,227.4,27.32,26.23,,19.64,,3.28,35.36,,,10,207617355910.0,Information Technology Services,Technology Services
ACVA,9.38,53.69,,,,,,,30.6,65.47,,27.16,57.52,3.09,,0.66,2.48,18.35,1.49,,469.19,121.47,,0.24,,,,,,,,,4.53,5.13,,0.45,,,,492.17,,,28.84,17.12,50.64,,,,,,,6.43,,,,5.29,,,,,,,,,49.59,506,,,,26.21,1.49,,,,,,,,,,,,,2506975976.0,Internet Retail,Retail Trade
ADBE,9.95,50.31,1.7,9.4,,17.7,14.1,11.4,16.8,57.18,,,50.95,12.42,,0.85,1.32,535.22,1.16,,49.57,33.69,0.82,0.41,,,,35.52,31.38,36.66,21.17,19.78,9.76,11.43,2.82,0.5,31.17,2.68,,33.36,20.7,13.83,11.16,584.02,88.24,58.8,,,24.86,,35.4,16.19,48.09,30.9,1.44,11.94,,0.9,1.11,,38.34,17.27,0.93,,,37.05,54.57,1.7,2.45,216.69,1.16,17.46,275.62,32.26,32.8,,22.15,,2.53,70.52,,,10,241068062221.0,Packaged Software,Technology Services
ADC,0.83,73.05,,5.9,6.7,5.7,1.7,14.6,5.9,66.36,5.71,11.95,71.78,1.65,,0.07,,71.84,0.9,,535.71,52.31,5.24,0.52,,1.65,4.17,35.28,19.76,24.67,32.58,19.85,17.38,17.26,2.83,0.65,69.98,5.64,4.21,40.49,11.72,2.82,9.74,73.77,87.98,3.02,,,32.09,,48.78,1.45,39.91,39.98,6.45,12.27,,3.2,1.27,17.31,17.53,1.76,0.98,,,17.53,,6.09,1.05,1.74,0.9,2.43,,3.76,3.63,,3.67,,,32.22,,,10,5725111028.0,Real Estate Investment Trusts,Finance
ADEA,11.42,52.54,,,,,,,,62.15,0.32,,55.13,1.78,,1.29,0.17,11.28,3,,,33.87,2.68,1.52,,0.19,1.76,14.54,8,11.87,,,4.06,4.53,6.88,0.34,38.16,11.15,1.76,26.24,19.35,,,8.89,,2.01,,,12.87,,32.86,3.42,28.2,10.97,3.54,3.45,,,,,9.04,,1.65,,,8.22,11.8,,0.57,,3,4.2,606.5,11.04,13.34,,10.28,,14.86,29.68,,,5,1062196184.9999998,Packaged Software,Technology Services
ADI,30.21,48.13,,30.2,11.6,25.1,26.1,12.4,17.3,60.05,2.87,29.17,50.7,5.37,,0.72,0.29,218.01,1.58,139.52,42.88,48.16,1.69,0.23,,0.58,1.62,43,23.32,36.2,23.17,19.35,10.21,10.6,2.33,0.72,29.28,2.83,1.68,41.96,18.34,15.55,,157.55,59.84,9.13,,,20.45,,25.76,3.07,50.94,35.86,2.94,10.42,,1.81,1.61,,35.6,,1.54,,,25.5,31.67,2.33,1.76,,1.13,4.37,59.43,5.61,6,,5.53,,2.48,51.42,,,10,90112565563.0,Semiconductors,Electronic Technology
ADM,,35.43,2.6,9.4,7.7,25.1,24.8,,15,31.94,4.23,22.51,31.23,3.25,,0.04,0.06,58.38,1.44,50.79,24.24,21.73,2.36,0.54,,0.35,3.22,9.92,7.74,12.31,11.85,8.7,0.44,0.44,10.08,0.42,3.56,11.32,3.39,11.17,22.34,,,78.05,7.44,4.48,,,2.93,,3.39,1.26,11.68,10.68,0.58,0.33,,,,,9.8,0.93,0.84,,,6.47,8.43,0.48,1.7,1.84,0.88,4.77,18.59,10.96,10.87,,5.18,,16.87,12.45,,,10,42539663009.00001,Agricultural Commodities/Milling,Process Industries
ADNT,,30.09,0.1,22.6,,89.8,,,6.1,30.36,,,28.06,1.8,,0.24,0.35,21.15,1.08,21.59,65.9,45.85,3.8,1.32,,,,10.34,5.14,11.26,8.46,4.63,0.23,0.23,9.67,0.21,2.05,17.06,,7.48,,22.64,,39.57,6.28,2.09,,,0.5,,2.67,0.93,27.7,7.68,,0.13,,,,,6.24,,,,,3.3,8.16,,0.65,,0.87,0.79,24,5.88,3.46,,7.03,,14.42,,,,5,3590797312.0,Auto Parts: OEM,Producer Manufacturing
ADP,,63.38,1.2,,13.8,15.3,15.1,13,9.9,60.48,3.63,,63.24,2.56,,0.06,0.79,261.91,1.01,,2.97,62.22,0.64,0.82,,0.59,2.08,20.34,18.37,29.62,19.92,16.98,5.26,5.54,4.92,0.08,18.72,3.37,2.14,26.22,14.69,8.78,5.55,265.79,45.44,13.74,,,19.54,,25.85,23.51,28.75,28.53,2.36,5.6,,1.28,1.56,,30,12.57,1.17,,,25.94,45.69,2.38,2.54,124.72,1.01,6.8,497.94,59.7,91.62,,7.53,,3.19,40.42,,,10,101064499899.00002,Data Processing Services,Technology Services
ADSK,21.87,54.89,0.9,25.4,,21.7,23.3,,14.2,66.53,,,57.53,4.66,,0.49,0.76,244.61,0.69,,89.81,32.86,1.93,1.21,,,,43.19,38.54,52.41,40.35,36.58,8.63,9.26,2.32,0.22,17.66,1.89,,49.71,22.86,11.13,11.1,256.77,90.77,1210,,,17.66,,21.44,24.39,52.95,30.81,0.56,9.4,,,,,53,,0.9,,,48.85,154.03,1.23,2.63,,0.69,10.57,330.24,22.42,65.58,,9.75,,0.73,222.37,,,6,45606470933.0,Packaged Software,Technology Services
ADT,12.82,42.86,,3.7,,,,,,42.9,2.54,11.46,41.26,0.49,,0.03,0.01,7.19,0.75,99.17,116.01,32.51,3.42,2.03,,0.37,2.54,15.26,6.29,14.01,,5.65,2.91,2.92,6.55,0.24,20.86,15.55,3.1,10.3,11.94,30.81,3.13,6.69,81.58,2.1,,,13.82,,22.19,1.72,9.69,14.54,,1.38,,,,,6.64,,,,,3.78,5.37,,0.58,,0.59,4.07,28.19,6.32,18.83,,4.34,,26.96,,,,3,5285531149.0,Miscellaneous Commercial Services,Commercial Services
AEE,,69.22,,6.5,8,7.3,6.3,10.2,6.9,71.32,4.44,8.22,70.09,0.86,,0.01,,81.3,0.67,74.06,86.49,26.35,5.01,1.54,,0.61,3.21,19.69,11.04,,20.51,11.48,4.93,5.45,5.08,0.27,,,3.31,18.75,0.63,7.47,4.4,80.97,50.31,3.09,,,16.28,,26.85,1.88,18.39,19.17,3.49,2.99,,1.28,,,,1.29,1.16,,,8.63,,2.81,,1.95,0.45,2.88,5.92,5.36,10.43,,4.04,,,20.69,,,10,21222279644.0,Electric Utilities,Utilities
AEHR,,43.86,,99.7,,,,,46.7,40.07,,,40.25,15.74,,4.68,7.93,13.76,9.31,357.33,69.43,54.67,0.54,0.06,,,,34.31,30.22,343.35,,,,5.22,2.91,0.87,1.52,0.25,,,,,24.21,24.32,49.15,,,,50.07,,15.22,3.57,12.29,11.47,,6.15,,,,,443.87,1.35,2.47,12.18,4.9,237.26,20.58,,4.37,3.57,5.75,31.03,24.62,10.7,37.59,,56.45,,,,,,4,1353850723.0,Electronic Production Equipment,Electronic Technology
AEIS,1.8,45.71,0.9,13,,,,,6.1,54.17,0.4,13.9,46.77,3.54,,3.21,0.97,102.34,5.47,137.27,54.32,63.98,5.91,0.88,,0.1,0.4,35.56,21.68,33.54,,12.08,2.57,2.49,2.81,0.46,7.41,2.9,0.4,67.74,22.27,,,86.69,35.21,3.81,,,6,,5.38,3.31,42.64,25.91,1.93,2.58,,1.21,2.07,,34.45,2.49,0.9,,12.81,22.63,41.73,1.33,1.55,5.38,4.22,3.75,15.66,5.02,7.97,,7.79,,,35.41,,,9,3937546139.0,Electronic Production Equipment,Electronic Technology
AEM,53.15,61.73,,20.5,20.8,11.4,7.9,4,3.1,69.69,8.68,67.01,63.47,2.97,,0.52,0.47,77.51,1.51,106.42,52.57,0.4,0.72,0.1,,0.59,2.04,31.56,14.13,30.24,14.16,8.98,4.9,5.4,3.17,0.68,18.06,3.4,2.04,23.38,19.42,12.68,7.03,55.72,36.6,20.97,,,8.56,,29.57,1.94,63.02,28.39,1.11,5.34,,,,,29.67,1.77,1.24,,,13.16,39.01,1.66,1.89,2.45,0.76,2.16,5.78,4.54,3.17,,4.24,,1.98,52.73,,,9,24264092594.047283,Precious Metals,Non-Energy Minerals
AEO,34.67,54.34,,10.5,45.5,,,66.4,5.8,63.5,1.94,,57.02,4.22,,0.39,0.23,21.45,1.7,75.33,27.97,17.12,2.06,0.75,,0.3,2.22,12.8,8.1,13.28,10.62,7.29,0.95,0.96,7.81,0.49,7.25,9.16,2.33,11.9,0.56,11.53,3.69,17.78,38.98,418.66,,,4.12,,7.48,2.4,19.32,14.11,,0.8,,,,,10.84,1.34,0.97,,,7.59,19.1,,1.41,2.84,0.81,6.29,17.29,14.86,12.87,,10.26,,12.32,19.86,,,9,3043221255.9999995,Apparel/Footwear Retail,Retail Trade
AEP,12.14,60.12,,5.1,5.9,3.4,0.9,1.3,6.7,51.93,4.73,15.46,56.92,0.9,,0.04,0.01,98.13,0.65,83.79,105.01,18.99,5.86,1.7,,0.69,3.57,22.29,12.63,,18.33,11.56,4.52,4.9,4.49,0.26,,,3.57,17.52,1.33,13.56,4.02,93.61,60.67,2.21,,,13.49,,20.7,2,19.67,19.56,3.56,2.64,,,,,,1.32,1.15,,,8.59,,3.78,12.76,2,0.48,2.71,5.54,5.01,10.42,,4.34,,,21.15,,,10,41234689544.0,Electric Utilities,Utilities
AER,53.01,51.75,,6.4,,,5.5,,,64.04,0.27,24.89,54.59,0.77,,0.89,0.03,92.78,3.42,5.35,58.48,3.06,9.64,2.69,,0.02,0.27,28.02,13.13,,15.95,9.39,7.73,8.03,3.57,0.24,,,1.08,10.27,,10.18,3.07,76.9,34.83,,,,42.04,,28.67,1.06,6.07,9.13,,2.45,,,,,,0.71,1.44,,,3.45,5.45,,1.64,1.25,3.38,4.6,3.68,3.2,19.62,,2.94,,16.16,14.41,,,8,14432429370.0,Finance/Rental/Leasing,Finance
AES,,43.75,,,5,,6.9,,7.2,52.82,5.13,18.06,45.65,0.51,,0.19,0.06,16.89,0.97,26.58,87.18,46.9,10.74,9.24,,0.31,4.02,26.44,14.52,,17.09,10.49,2.76,3.11,3.78,0.07,,,4.02,6.51,,6.88,3.01,22.62,20.79,1.61,,,6.07,,18.51,3.88,16.09,7.64,,0.98,,,,,,2.17,1.02,,,4.75,,,,13.84,0.91,1.68,4.94,4.08,27.42,,,,,,,,6,11544405347.0,Electric Utilities,Utilities
AESC,,35.72,,,5,,6.9,,7.2,31.65,,,33.54,0.51,,0.19,0.06,62.61,0.97,26.58,87.18,46.9,10.74,9.24,,,,26.44,14.52,,,,,3.11,3.78,0.07,,,,6.41,,6.88,3.01,0.0,20.79,1.61,,,6.07,,18.51,3.84,15.91,7.56,,0.96,,,,,,,,,,4.71,,,,,0.91,1.68,4.94,4.08,27.42,,,,,,,,6,11544405347.0,Electric Utilities,Utilities
AESI,2.69,47.39,,14.3,,129.9,,,64.1,53.22,4.23,20.15,48.74,2.2,,0.44,0.21,19.53,1.53,19.27,53.52,60.18,1.97,0.47,,0.66,4.23,14.11,10.13,,,7.93,2.22,3.31,7.09,0.54,,,4.69,10.62,,39.54,33.85,0.0,34.88,9.58,,,13.71,,23.57,2.05,15.8,15.7,,2.32,,,,,,1.3,,,,7.26,,,,2.45,1.35,7,16.82,13.32,17.82,,12.65,,,,,,3,2304000047.0,Construction Materials,Non-Energy Minerals
AFRM,94.85,38.93,,,,,,5.8,30.4,41.62,,,38.17,1.36,,14.67,0.32,26.25,56.68,,15.45,40.55,,2.44,,,,,,43.47,21.02,23.72,4.41,5.75,,0.29,13.24,3.59,,,,33.19,27.21,40.97,59.46,,,,,,,2.96,,,,3.65,,,,,27.84,,,,5.95,18.24,,,,3.91,56.68,,,,,,,,,,,,,7293861260.0,Finance/Rental/Leasing,Finance
AFYA,16.56,49.7,1.2,12.1,,32.7,10.6,54.7,37.5,53.54,,,50.09,2.3,,0.62,0.23,17.63,1.28,1.55,144.86,62,2.26,0.7,,,,10.8,8.01,11.28,13.17,10.07,3.85,3.17,9.26,0.5,28.12,11.04,,13.76,25.79,38.31,7.63,20.28,61.88,2.28,,,16.04,,27.76,2.05,16.37,18.68,0.45,2.67,,,,,9.57,,,,,7.09,14.97,0.75,0.95,,1.28,6.21,64.41,13.31,13.65,,11.44,,,,,,7,1469574000.0000002,Other Consumer Services,Consumer Services
AG,3.13,43.35,,9.1,,,,,8,58.5,0.35,56.53,46.61,1.37,,1.88,0.82,5.35,3.05,49.42,37.39,6.56,4.11,0.19,,,0.35,,25.5,,,,3.05,3.12,,0.69,,,0.36,,18.48,,5.53,5.72,8.95,,,,,,,1.16,,,,2.92,,,,,,,0.78,,,21.91,,,4.5,1.16,2.44,,,,,,,,,,,,2,1664184423.375635,Precious Metals,Non-Energy Minerals
AGCO,,32.67,0.2,16.3,20.1,25.7,36.4,,16.7,32.36,2.48,,31.12,2.35,,0.15,0.16,86.32,1.52,134.68,45.83,43.28,4.56,1,,0.09,1.33,17.29,10.98,11.32,11.35,9.31,0.78,0.72,5.78,0.3,6.4,13.34,1.33,23.92,27.53,,,129.51,26.24,14.69,,,3.13,,10.32,1.59,15.41,6.85,0.27,0.47,,,,,7.52,1.43,0.77,,,4.87,11.55,0.28,0.75,6.73,0.72,3.43,14.41,7.05,9.57,,13.47,,,13.36,,,10,9201222919.0,Trucks/Construction/Farm Machinery,Producer Manufacturing
AGI,51.07,66.76,,2,17.3,10.3,15.9,23.9,12.4,79.02,2.64,54.78,71.01,4.53,,1.73,956.31,18.49,3.04,140.5,93.05,12.32,,,,0.18,0.55,20.95,13.25,39.75,,,5.52,6.44,4.77,0.74,16.32,2.36,0.55,23.67,16.98,21.76,15.82,14.21,40.19,749.09,,,17.74,,33.47,2.42,36.98,33.62,1.93,6.5,,,,,39.62,1.91,1.71,,,13.51,27.29,2.1,2.5,2.42,1.97,5.01,10.11,9.2,6.81,,6.38,,0.43,,,,5,4919131767.945206,Precious Metals,Non-Energy Minerals
AGIO,72.09,51.52,6.9,36,,,,,,62.97,,82.43,52.36,10.81,,9.1,8.82,45.11,10.09,2163.74,1220.68,31.37,,0.1,,,,,,,,,43.68,65.17,,0.85,,,,,,,97.39,0.0,89.33,,,,,,,3.89,,,,80.97,,,,,,,,5.61,4.94,,,,,3.89,9.71,,,,,,,,0.56,,,,1,1454238439.0,Pharmaceuticals: Major,Health Technology
AGL,,33.55,,,,,,,49.4,14.79,,,26.16,2.32,,0.29,8.69,5.58,1.36,,93.8,95.75,,0.07,,,,,,,,,0.31,0.36,,0.31,,,,,,,27.87,50.87,0.83,,,,,,,3.24,,,,0.43,,,,,,,,,5.75,,,,,3.99,1.36,,,,,,,,,,,,,7602789688.0,Medical/Nursing Services,Health Services
AGR,0.06,59.21,,1.1,,,4.2,,1.7,62.29,4.95,17.5,61.55,0.61,,0.02,0.01,35.87,0.52,31.81,110.69,62.6,5.38,0.7,,0.7,4.93,20.58,10.67,,22.97,11.43,3.25,3.22,4.86,0.44,,,4.93,15.97,,9.73,2.3,44.87,35.49,2.48,,,11.35,,13.34,0.7,14.18,14.18,,1.61,,,,,,0.73,,,,16.74,,,6.7,0.84,0.44,2.23,4.05,3.5,4.96,,2.52,,,12,,,10,13401612433.0,Electric Utilities,Utilities
