Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,4.23,53.98,1.5,7.9,7.7,13.5,33.2,24.7,10.5,55.34,1.04,1.9,54.43,6.54,,0.85,0.65,137.42,2.15,117.53,51.55,70.14,1.53,0.41,,0.17,0.69,28.54,24.15,26.3,24.17,21.16,5.94,6.14,3.5,0.57,23.33,3.84,0.7,27.6,15.92,5.44,2.44,135.24,50.63,14.64,,,18.84,,19.54,6.45,32.49,25.83,2.15,6.14,,0.75,1.51,,26.33,5.01,1.22,,,21.34,32.17,1.96,2.07,21.85,1.64,11.49,63.42,15.6,20.99,,14.11,,2.78,45.06,,,10,33913792728.0,Medical Specialties,Health Technology
AA,21.87,41.39,1.4,10.2,,,,,5.9,60.66,1.28,50.68,46.41,1.19,,0.44,0.55,31.6,1.55,79.98,58.53,26.31,10.94,0.65,,,1.28,,39.53,,24.85,8.97,0.9,0.86,,0.27,,,1.28,239.72,,,2.82,39.31,8.14,,,,,,,1.44,,,,0.52,,,,,,,,,,16.95,,,1.39,1.53,0.92,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,41.65,,10.4,,,,,27,50.55,,,44.36,0.65,,0.34,0.21,9.81,0.6,20.92,21.96,14.01,19.76,,,,,18.69,18.69,,18.88,8.58,0.7,0.7,5.35,,,,,14.07,,,4.06,16.69,20.23,1.4,,,,,5.34,,,10.14,,0.12,,,,,,,0.3,,,3.17,,,,,0.5,,5.17,4.89,,,12.18,,49.54,7.32,,,8,8696254174.0,Airlines,Transportation
AAON,42.72,54.11,,26.3,8.1,29.5,31.8,,29.5,63.55,0.56,12.88,55.01,18.99,,,,87.55,2.99,98.09,12.85,43.47,0.35,0.14,,0.14,0.37,29.53,24.21,70.03,,,,6.01,3.39,0.73,8.59,1.45,0.37,39.24,20.56,18.37,11.35,78.48,36.27,88.05,,,15.61,,20.32,9.57,39.44,39.44,1.57,6.11,,1.99,5.73,,71.49,4.62,1.21,,46.32,32.32,50.44,1.58,6.44,12.16,1.7,19.5,39.13,29.71,25.86,,21.83,,0.62,80.32,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
ABBV,11.89,67.52,,,7.8,9.6,49.1,7.4,3.8,72.53,5.27,,69.44,1.99,,0.31,0.19,191.23,0.81,73.4,65.71,76.62,3.91,10.42,,0.57,3.23,41.1,21.75,22.1,15.9,15.13,7.09,7.15,2.43,0.05,32.33,5.26,3.26,36.32,20.26,7.41,5.2,146.02,62.76,5.48,,,9.71,,24.95,49.8,63.74,17.87,1.15,6.2,,0.73,0.57,,19.07,,1.4,,,18.16,32.18,1.24,1.71,,0.71,3.83,192.43,9.41,53.28,,9.12,,2.98,41.48,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABEV,,74.19,,2.2,20.8,5.4,3.2,9.8,11,89.39,10.33,,81.65,3.61,,0.44,4.44,2.33,1.11,97.74,188.94,24.71,0.13,0.04,,0.79,6.5,8.96,6.7,8.99,8.98,6.85,2.16,2.15,11.16,0.66,25.65,11.19,6.5,13.47,14.86,5.17,6.56,2.63,50.83,7.5,,,17.86,,24.06,2.1,12.8,12.26,2.5,2.53,,,,,9.93,1.7,0.47,,,7.81,10.98,1.79,0.74,4.85,0.79,10.57,68.13,19.18,16.5,,16.25,,6.2,12.26,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,9.68,43.26,,50.3,,28.2,37.8,,24,38.4,,13.57,40.33,2.67,,0.03,0.02,229.85,1.25,45.36,16.38,4.15,6.36,1.58,,,,12.84,11.73,,12.15,9.6,0.56,0.61,7.79,0.32,,,,7.94,30.56,,8.9,253.43,17.75,4.56,,,2.51,,6.31,1.38,11.79,7.95,0.25,0.29,,0.23,,,,,1.01,,,42.18,,0.32,0.53,,0.45,4.25,19.44,10.28,12.31,,8.62,,,12.57,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABNB,9.8,23.52,,38.3,,,,,8,20.3,,,21.19,3.12,,0.71,4.95,116.9,1.41,,29.97,7.3,1.12,0.28,,,,31.9,31.08,14.46,20.03,16.19,5.71,5.99,3.13,0.3,41.38,6.05,,27.29,,,11.88,165.43,82.59,20.75,,,46.11,,15.21,9,15.46,15.46,,7.08,,,,,17.11,2.69,,,18.82,17.05,12.87,,,10.26,1.41,21.22,720.92,19.41,63.33,,55.65,,3.98,,,,2,92399740712.0,Other Consumer Services,Consumer Services
ABT,,55.13,0.7,6.3,12.3,6.8,6.7,,5.8,48.15,3.72,,54.1,5.13,,0.52,0.49,108.24,1.68,135.1,83.18,58.61,1.42,0.38,,0.48,1.99,27.42,18.83,34.51,21.02,18.15,4.66,4.79,3.65,0.54,13.88,3,2.03,31.3,13.06,8.41,6.41,106.64,55.24,10.7,,,13.65,,15.92,4.79,34.15,24.32,2.11,4.62,,0.77,1.59,,33.45,4.99,1.1,,,23.92,43.86,2.5,1.84,23.03,1.18,7.63,64.74,12.05,14.52,,10.37,,3.25,39.5,,,10,176555322492.0,Medical Specialties,Health Technology
ACAD,,38.81,,,,38.8,40.9,46.1,16.4,32.99,,,34.74,1.84,,1.48,8.69,15.73,2.16,197.37,87.05,38.64,1.68,0.11,,,,91.74,61.07,25.99,21.09,32.64,2.21,2.35,1.09,0.57,9.04,3.09,,27.54,,,17.91,32.43,91.73,,,,3.43,,2.56,5.04,87.39,87.39,3.92,2.95,,,,,32.45,4.98,,25.37,7.87,32.45,133.29,,,6.37,1.95,4.03,40.04,4.61,7.04,,7.75,,,,,,,4047377469.0,Pharmaceuticals: Major,Health Technology
