Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
AA,59.72,47.77,1.4,10.2,,,,,75.95,5.9,30.65,0.98,4.95,41.59,1.41,0.38,0.45,41.21,1.41,78.33,59.38,26.65,4.45,0.56,,,0.98,931.28,18.37,,6.6,4.8,1.05,1.1,0.11,0.36,,,0.98,12.91,,,4.06,33.81,11.35,1.6,,,,2.02,2.03,,,,0.71,,,,,,,,,,19.54,,,1.61,2.1,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,62.86,,10.4,,,,,597.78,27,60.83,,,61.85,0.67,0.33,0.22,14.26,0.57,21.4,22.29,13.62,16.51,,,,,16.82,16.82,,6.21,4.56,0.7,0.74,5.95,,,,,7.05,,,4,15.93,20.34,1.4,,0.51,,5.17,,43.21,13.12,,0.19,,,,,,,0.46,,,4.16,,,,,0.47,0.43,6.13,5.96,,,2.95,,30.04,12.4,,,8,8696254174.0,Airlines,Transportation
AAON,74.88,69.7,,26.3,8.1,29.5,31.8,,20.3,29.5,67.38,0.36,48.58,69.64,31.38,,,133.18,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.24,45.13,36.41,106.9,,,,9.11,2.22,0.77,8.52,0.95,0.24,45.22,20.38,19.72,15.07,79.68,35.65,94.37,,15.78,,20.14,13.58,58.67,58.67,2.34,9.22,,3.19,9.37,,108.1,6.65,1.8,,55.72,45.75,69.72,2.35,9.03,16.97,1.79,19.56,38.79,29.01,25.52,,21.87,,0.47,116.82,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAPL,23.4,45.9,2.7,,4.9,6.2,6.4,8.6,,5.4,46.44,0.58,23.41,44.5,8.67,0.37,0.61,228.22,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.44,27.95,25.58,31.66,26.05,24.01,8.25,8.81,3.58,0.16,27.83,3.15,0.44,30.88,18.3,11.57,6.93,187.52,46.21,,,23.97,,31.51,60.54,37.54,33.81,2.13,9.01,,1.42,1.58,,32.35,9.54,1.98,,,29.77,34.66,2.15,2.52,60.54,0.83,26.93,278.63,59.87,140.28,,32.51,,3.38,49.51,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,36.09,49.99,,,9.7,8.1,22.2,18.4,28.45,8.5,39.33,6.02,20.36,46.87,0.78,4.87,0.25,27.24,5.78,,148.94,6.31,7.97,1.8,,1.38,4.9,22.86,12.2,24.08,,,,7.14,4.37,0.35,29.66,8.17,4.93,37.83,9.02,,2.94,26.71,63.33,1.92,,16.36,,28.14,1.4,28.08,28.08,12.21,4.56,,2.43,1.33,11.39,15.41,1.33,0.6,,,10.17,18.74,,1.2,1.42,5.78,2.43,683.81,4.81,6.24,,4.5,,,33.22,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,41.71,25.54,,,7.8,9.6,1.7,7.4,21.19,3.8,9.41,5.99,21.08,19.13,1.75,0.17,0.1,169.63,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.67,36.97,20.02,23.35,13.31,12.84,6.18,6.57,2.7,0.04,28.13,5.21,3.9,14.01,16.77,7.57,5.47,149.8,67.21,5.43,,9.22,,26.13,49.74,58.9,15.78,1.02,5.4,,0.57,0.63,,19.19,,1.23,,,18.16,33.84,1.56,1.52,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.75,36.32,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,56.15,,8.7,,,,,,,56.05,,,56.5,1.92,8.08,9.01,2.76,9.34,,,376.42,,0.07,,,,,,,,,8.29,8.9,,0.77,,,,,,,26.46,1.04,,,,,,,0.76,,,,23.44,,,,,,,,2.49,1.9,,,,,0.83,9.34,,,,,,,,1.03,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,44.88,,2.2,20.8,5.4,3.2,9.8,60.73,11,52.62,10.82,,46.65,3.68,0.59,6.19,2.21,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,6.81,8.39,6.3,8.85,8.37,6.42,2.04,2.02,11.92,0.67,25.25,11.52,6.81,11.76,15.88,4.12,6.42,2.75,50.98,7.91,,16.92,,23.87,2.03,12.85,12.56,2.56,2.44,,,,,9.72,1.66,0.46,,,7.68,10.36,1.7,0.71,4.42,0.9,10.03,70.19,19.21,15.52,,15.33,,6.17,12.28,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABM,29.7,61.82,2,8.4,5.9,40.8,24.6,,23.18,11.1,56.97,1.94,17.48,62.06,2.98,0.07,0.06,55.58,1.38,,,56.6,3.53,0.8,,0.26,1.59,16.23,11.96,18.13,12.32,9.95,0.59,0.6,6.16,0.36,3.3,7.82,1.59,15.17,25.91,,1.62,51.49,,3.58,,1.89,,3.62,1.9,22.97,16.02,1,0.44,,0.86,1.13,,13.09,,1.09,,,10.63,16.07,0.8,0.96,,1.38,3.14,55.18,8.09,8.51,,4.97,,3.14,28.8,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
ABNB,6.4,47.11,,38.3,,,,,322.31,8,37.53,,,43.39,4.62,0.99,4.98,134.56,1.62,,33.1,6.78,0.96,0.27,,,,32.24,31.43,17.97,21.01,20.67,6.01,6.82,3.1,0.38,37.96,4.89,,29.94,,,10.66,165.61,83.07,22.92,,16.96,,15.01,9.94,47.21,47.21,,8.04,,,,,21.32,4.79,,,18.21,21.32,35.57,,,10.95,1.62,7.98,839.68,21.23,22.05,,19.8,,4.16,,,,2,92399740712.0,Other Consumer Services,Consumer Services
