Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,22.7,33.13,1.5,7.9,7.7,13.5,33.2,24.7,58.71,10.5,18.37,1.13,,28.22,5.68,,0.74,0.61,125.69,1.78,125.99,57.06,66.46,1.56,0.5,,0.18,0.75,23.14,20.05,26.55,22.58,19.74,5.51,5.79,4.32,0.54,21.81,3.92,0.75,22.25,15.96,4.77,2.33,134.26,54.39,17.3,,,21.75,,22.9,6.12,26.08,24.12,2.01,5.67,,0.77,1.62,,25.97,5.01,1.12,,,20.59,25.97,1.86,1.93,23.36,1.37,13.03,74.15,18.1,23.78,,16.15,,3.52,40.55,,,10,33913792728.0,Medical Specialties,Health Technology
AA,59.08,59.44,1.4,10.2,,,,,75.95,5.9,63.27,0.89,1.19,59.88,1.47,,0.38,0.45,45.6,1.41,78.33,59.38,26.65,4.45,0.56,,,0.89,998.65,19.7,,7.08,5.15,1.13,1.18,0.1,0.36,,,0.89,14.29,,,4.06,33.34,11.35,1.6,,,,,2.02,2.16,,,,0.76,,,,,,,,,,21.32,,,1.78,2.32,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,6.51,64.67,,10.4,,,,,597.78,27,64.77,,,64.48,0.68,,0.33,0.22,14.33,0.57,21.4,22.29,13.62,16.51,,,,,16.89,16.89,,6.24,4.58,0.7,0.75,5.92,,,,,7.01,,,4,16.1,20.34,1.4,,,0.51,,5.17,,43.42,13.18,,0.18,,,,,,,0.46,,,4.19,,,,,0.47,0.43,6.13,5.96,,,2.95,,29.45,12.46,,,8,8696254174.0,Airlines,Transportation
AAON,74.16,64,,26.3,8.1,29.5,31.8,,20.3,29.5,53.84,0.36,46.02,61.69,30.69,,,,131.16,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.24,44.04,35.52,104.3,,,,8.89,2.27,0.77,8.52,0.97,0.24,44.54,20.39,19.72,15.07,79.71,35.65,94.37,,,15.78,,20.14,13.37,57.78,57.78,2.3,9.07,,3.14,9.22,,106.44,6.55,1.77,,54.88,45.07,68.68,2.31,8.89,16.71,1.79,19.56,38.79,29.01,25.52,,21.87,,0.48,115.05,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,53.44,3.6,,26,,,,,8.9,55.77,55.8,,55.52,1.89,,0.08,0.12,38.5,1.34,232.75,194.44,24.05,7.27,1.47,,1.28,2.61,27.75,10.95,26.25,29.02,13.12,0.68,0.47,3.6,0.21,1.77,9.5,2.61,16.66,5.18,78.47,,113.92,40.02,2.38,,,0.36,,1.55,0.89,52.74,49.36,,0.18,,,,,10.49,1.78,0.17,,,5.55,74.94,,0.36,1.45,0.62,0.36,4.12,2.95,1.7,,1.76,,4.68,5.3,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,23.89,51.53,2.7,,4.9,6.2,6.4,8.6,,5.4,59.29,0.56,23.77,53.47,8.75,,0.37,0.61,228.28,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.43,28.31,25.9,32.06,26.38,24.32,8.35,8.92,3.53,0.16,27.83,3.15,0.44,30.87,18.27,11.58,6.93,187.55,46.21,,,,23.97,,31.51,60.55,37.55,33.82,2.13,9.03,,1.42,1.58,,32.34,9.54,1.98,,,29.77,34.69,2.15,2.52,60.55,0.83,26.93,278.63,59.87,140.28,,32.51,,3.34,49.52,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,46.75,46.51,,,9.7,8.1,22.2,18.4,28.45,8.5,33.3,5.88,22.96,42.05,0.77,,4.87,0.25,27.84,5.78,,148.94,6.31,7.97,1.8,,1.38,4.79,22.74,12.14,23.96,,,,7.11,4.4,0.35,29.66,8.22,4.81,38.67,9.06,,2.94,26.45,63.33,1.92,,,16.36,,28.14,1.39,27.91,27.91,12.13,4.53,,2.49,1.36,11.31,15.28,1.36,0.61,,,10.08,18.58,,1.23,1.45,5.78,2.43,683.81,4.81,6.24,,4.5,,,32.82,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,36.56,24.82,,,7.8,9.6,1.7,7.4,21.19,3.8,13.83,6.12,13.48,19.6,1.71,,0.17,0.1,166.57,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.75,36.25,19.62,22.75,13.05,12.59,6.06,6.44,2.76,0.04,28.13,5.31,3.95,13.72,16.99,7.48,5.43,149.97,67.21,5.43,,,9.22,,26.13,48.85,57.84,15.49,1,5.29,,0.56,0.62,,18.91,,1.21,,,17.88,33.37,1.54,1.5,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.82,35.67,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,45.91,,8.7,,,,,,,34.98,,,42.46,1.76,,8.08,9.01,2.71,9.34,,,376.42,,0.07,,,,,,,,,8.29,6.4,,0.77,,,,,,,,1.02,,,,,,,,0.73,,,,23.45,,,,,,,,2.44,1.87,,,,,0.82,9.34,,,,,,,,1.14,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,39.79,,2.2,20.8,5.4,3.2,9.8,60.73,11,32.91,10.99,,37.91,3.62,,0.59,6.19,2.18,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,6.92,8.26,6.2,8.62,8.15,6.25,1.98,1.99,12.11,0.67,25.25,11.68,6.92,11.6,16.07,3.93,6.4,2.76,50.98,7.91,,,16.92,,23.87,1.98,12.67,12.39,2.53,2.39,,,,,9.53,1.64,0.45,,,7.53,10.18,1.66,0.69,4.36,0.9,10.03,70.19,19.21,15.52,,15.33,,6.17,12.11,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABM,33.94,50.11,2,8.4,5.9,40.8,24.6,,23.18,11.1,33.27,2,16.79,45.39,2.96,,0.07,0.06,55.36,1.38,,,56.6,3.53,0.8,,0.26,1.64,15.8,11.64,17.66,12,9.69,0.58,0.58,6.33,0.36,3.3,7.85,1.64,15.11,26.13,,1.62,51.5,,3.58,,,1.89,,3.62,1.89,22.88,15.95,0.99,0.42,,0.86,1.13,,13.04,,1.08,,,10.58,16.02,0.8,0.96,,1.38,3.14,55.18,8.09,8.51,,4.97,,3.24,28.68,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
ABNB,7.31,46.45,,38.3,,,,,322.31,8,37.41,,,42.84,4.61,,0.99,4.98,131.44,1.62,,33.1,6.78,0.96,0.27,,,,32.08,31.28,17.93,20.91,20.57,5.98,6.79,3.12,0.38,37.96,5.01,,29.48,,,10.69,165.98,83.07,22.92,,,16.96,,15.01,9.71,46.12,46.12,,7.79,,,,,20.68,4.68,,,17.79,20.68,34.83,,,10.69,1.62,7.98,839.68,21.23,22.05,,19.8,,4.17,,,,2,92399740712.0,Other Consumer Services,Consumer Services
ABT,19.93,55.36,0.7,6.3,12.3,6.8,6.7,,,5.8,63.95,3.51,14.7,57.4,5.32,,0.52,0.52,117.13,1.6,134.18,82.06,59.46,1.42,0.38,,0.48,1.88,28.63,19.91,32.49,22.49,17.76,4.68,5.11,3.49,0.54,15.74,3.19,1.88,22.69,11.27,8.9,6.48,108.19,55.55,11.5,,,13.99,,16.24,5.11,35.6,25.91,2.25,4.94,,1.4,1.64,,31.53,5.16,1.15,,,23.44,41.19,3.21,1.95,23.1,1.14,7.9,65.41,12.45,14.86,,10.65,,3.36,41.83,,,10,176555322492.0,Medical Specialties,Health Technology
ACA,28.08,63.03,,6.9,,13.2,4.1,,3.27,5.9,59.59,0.19,9.66,62.61,2.82,,1.75,0.61,104.95,3.61,70.83,47.61,57.32,3.31,0.51,,0.06,0.19,27.85,14.8,44.88,,,1.87,2.23,3.59,0.56,4.86,2.36,0.19,23.74,18.15,26.64,11.51,76.6,19.84,4.58,,,5.17,,7.87,2.1,39.9,32.49,1.61,2.02,,,,,42.36,2.57,,,,16.2,24.9,2.07,1.42,4.58,2.77,3.4,11.35,5.93,5.41,,5.14,,,,,,9,3644941042.999999,Trucks/Construction/Farm Machinery,Producer Manufacturing
ACAD,,60.24,,,,38.8,40.9,46.1,223.57,16.4,54.25,,3.45,59.99,2.85,,1.64,11.45,16.21,2.29,235.21,82.57,38.31,0.4,0.09,,,,20.65,18.61,11.43,14.17,17.47,2.26,2.49,4.84,0.59,21.82,7.52,,20.6,,,15.86,33.6,91.61,,,,13.83,,12.08,4.67,20.78,20.78,0.93,2.9,,,,,13.2,2.3,,16.21,6.93,13.2,20.28,,,5.71,2.11,15.57,203.67,21.17,27.32,,51.02,,,,,,,4047377469.0,Pharmaceuticals: Major,Health Technology
ACHC,,17.3,,12.2,,,16.9,,,10.9,8.06,,,13.54,1.66,,0.13,0.04,37.09,1.07,18.46,542.09,44.04,3.16,0.66,,,,10.96,8.45,,8.64,6.82,1.54,1.72,9.12,0.52,,,,10.11,0.99,11.97,9.07,85.08,96.45,5.11,,,8.99,,17.48,1.12,12.17,10.59,,1.09,,,,,,1.52,0.51,,,26.3,,,1.12,4.91,1.06,5.05,19.42,10.06,9.78,,8.25,,,109.41,,,7,6460318360.000001,Medical/Nursing Services,Health Services
ACHR,,66.69,,100.9,,,,,,,67.26,,,67.94,,,5.79,,,6.03,,,,,,,,,,,,,,29.02,,,,,,,,,16.18,,,,,,,,,,4.01,,,,,,,,,,,,6.84,6.41,,,,,4.66,6.03,,,,,,,,,,,,,1649497955.0,Aerospace & Defense,Electronic Technology
ACI,,53.37,,18.8,33.9,6,,,132.17,4.2,49.35,2.46,,53.26,3.52,,0.04,0.02,19.27,0.9,31.65,26.16,3.64,3.36,4.7,,0.19,2.46,14.31,5.91,31.61,12.45,6.46,0.3,0.31,6.99,0.11,0.99,7.04,2.46,8.49,16.73,,1.83,21.45,27.85,3.83,,,1.25,,2.28,3.7,11.27,7.71,0.57,0.14,,,,,14.29,,,,,4.18,14.18,1.22,0.81,,0.22,3.79,11.26,9.28,37.17,,6.52,,7.24,28.34,,,7,13551493187.000002,Food Retail,Retail Trade
ACIW,96.89,56.39,2.6,5.9,,7,21.8,,142.28,6.8,47.15,,35.09,54.27,3.7,,0.26,0.17,54.45,1.56,,21.51,50.45,2.07,0.77,,,,17.77,13.27,23.55,,14.57,3.8,4.06,5.63,0.43,17.25,4.89,,27.5,13.21,31.06,7.94,34.12,52.2,4.73,,,14.04,,22.14,4.29,25.68,23.47,1.96,3.61,,1.19,1.8,,21.02,,1.39,,,18.42,23.52,2.26,1.61,,1.56,6.9,262.89,15.7,17.86,,8.99,,3.34,55.56,,,10,2556336665.0,Packaged Software,Technology Services
ACLS,,19.93,0.9,22.7,,62.7,72,31,57.41,34.8,6.71,,,13.64,6.57,,2.3,13.15,70.25,4.45,183.28,30.95,67.21,0.16,0.05,,,,6.85,6.47,10.29,,6.8,1.62,1.68,14.6,0.73,16.36,7.7,,14.27,25.28,,,114.67,44.28,44.08,,,20.65,,21.88,2.34,10.39,10.39,0.21,2.13,,,,,13.13,1.04,0.95,10.53,3.01,11.87,12.86,0.42,0.97,2.34,3.29,17.31,67.54,25.93,24.8,,28.79,,2.63,22.3,,,9,5489377800.999999,Industrial Machinery,Producer Manufacturing
ACLX,75.44,46.83,,,,2.6,0.1,,,,30.55,,80.64,41.39,10.08,,4.19,8.79,87.59,4.29,,,71.34,,0.14,,,,,,1189.38,,,45.81,27.35,,0.63,2.3,0.08,,,,,10.09,0.0,,,,,,,,9.86,,,,29.11,,,,,600.14,,,16.19,15.48,183.79,,,,9.79,4.29,,,,,,,,0.28,,,,,1598748014.0,Biotechnology,Health Technology
ACM,24.04,53.41,4.6,,,0.1,22.9,46.8,,7.7,48.15,0.81,20.39,50.84,2.39,,0.26,0.55,108.83,1.13,,55.01,59.44,3.29,1.31,,0.21,0.81,21.66,17.44,22.98,14.72,13.08,2.05,1.01,4.62,0.19,4.4,4.77,0.81,21.82,7.92,13.78,7.62,99.26,6.58,4.87,,,1.61,,5.59,6.42,58.51,27.11,9.68,0.94,,,,,21.56,,2.04,,,18.47,28.15,,2.03,,1.13,2.22,88.12,13.4,11.18,,10.64,,3.33,170.05,,,7,11643339642.999998,Engineering & Construction,Industrial Services
ACN,14.96,46.24,0.4,13.6,13.6,5.4,10.7,1.4,10.85,9.3,39.12,2.7,24.13,43.83,7.3,,0.26,1.22,353.95,1.1,,20.51,69.84,0.37,0.15,,0.43,1.53,22.5,19.62,25.49,20.62,16.79,3.21,3.38,4.44,0.51,13.27,3.9,1.69,27.6,13.27,8.98,7.11,330.41,32.61,162.73,,,11.19,,14.79,7.82,30.97,29.59,3.18,3.43,,1.43,1.14,,26.12,8.26,1.23,,,24.68,37.62,3.1,1.72,51.9,1.1,13.75,236.59,27.79,26.8,,19.63,,2.65,38.35,,,10,207617355910.0,Information Technology Services,Technology Services
ACVA,22.27,70.58,,,,,,,,30.6,80.88,,2.31,75.58,3.77,,0.68,2.5,21.46,1.51,,452.01,118.12,,0.25,,,,,,412.64,,,4.6,5.9,,0.44,1.43,0.23,,562.11,,,29.4,18.57,51.48,,,,,,,8.05,,,,6.04,,,,,448.78,,,,58,86.57,,,,31.56,1.51,,,,,,,,,,,,,2506975976.0,Internet Retail,Retail Trade
ADBE,,47.98,1.7,9.4,,17.7,16.7,11.4,,16.8,39.51,,2.37,46.86,11.87,,0.78,1.24,499.61,1.11,,49.25,33.27,0.78,0.42,,,,31.68,28.16,33.35,19.84,18.53,9.18,10.43,3.16,0.49,31.27,2.98,,24.31,19.33,13.41,10.8,581.77,88.66,51.2,,,25.59,,35.93,15.28,42.2,27.94,1.31,10.79,,0.89,1.11,,34.54,17.79,0.84,,,33.6,49.17,1.68,2.22,254.9,1.11,18.17,291.22,33.73,34.74,,22.82,,3.09,62.69,,,10,241068062221.0,Packaged Software,Technology Services
ADEA,25.91,42.39,,,,,,,13.28,,34.55,0.32,6.96,39.46,1.84,,1.25,0.17,11.51,3.42,,,38.31,2.94,1.41,,0.19,1.77,16.97,9.33,12.99,,,4.55,4.93,5.89,0.35,37.93,10.37,1.77,8.43,15.55,,,9.24,,1.91,,,12.01,,30.96,3.33,31.97,10.76,3.47,3.81,,,,,9.98,,1.82,,,9.01,13.56,,0.59,,3.42,3.78,475.57,9.9,11.55,,10.09,,10.95,88.54,,,5,1062196184.9999998,Packaged Software,Technology Services
ADI,24.74,36.67,,30.2,11.6,25.1,26.1,12.4,8.32,17.3,30.27,3.06,6.66,33,5.34,,0.79,0.31,210.43,1.69,139.48,41.5,48.27,1.9,0.23,,0.81,1.73,51.15,25.72,37.2,26.72,20.86,10.35,11.3,1.96,0.72,30.39,2.82,1.76,28.04,17.78,11.69,,151.81,57.85,7.22,,,17.07,,23.16,2.97,63.19,47.79,3.92,10.79,,2.63,1.76,,35.64,,1.58,,,26.35,33.2,3.22,1.72,,1.24,3.39,48.07,4.69,4.66,,4.47,,1.9,49.4,,,10,90112565563.0,Semiconductors,Electronic Technology
ADNT,,40.43,3.5,,,,,,,4.5,32.63,,,38.2,1.75,,0.26,0.39,18.95,1.11,21.21,66.18,45.49,3.67,1.13,,,,9.62,4.77,11.32,8.17,4.39,0.22,0.21,10.4,0.23,1.89,16.52,,9.46,25.76,32.65,,37.92,6.32,2.09,,,0.12,,2.72,0.79,92.29,10.75,0.55,0.12,,,,,6.2,,,,,3.24,9.82,0.5,0.57,,0.9,0.19,23.38,5.76,0.85,,4.79,,19.65,,,,5,3590797312.0,Auto Parts: OEM,Producer Manufacturing
ADSK,34.81,58.32,0.9,25.4,,21.7,23.3,,,14.2,47.08,,32.45,54.57,5.87,,0.43,0.72,305.2,0.64,,94.05,32.85,1.8,1.05,,,,50.98,45.39,61.46,33.48,31.66,9.61,11.34,1.96,0.25,18.45,1.63,,33.25,22.26,11.87,11.57,258.63,90.8,1291,,,18.21,,22.24,26.59,62.41,37.31,0.68,11.35,,,,,61.71,,1.09,,,56.95,147.93,1.49,3,,0.64,11,369.7,23.5,57.58,,9.97,,0.47,252.23,,,6,45606470933.0,Packaged Software,Technology Services
ADT,15.28,54.63,,3.7,,,,,,,51.7,2.68,,54.23,0.43,,0.08,0.01,7.55,0.81,70.1,85.15,27.53,4.22,1.98,,0.38,2.68,29.62,7.84,12.99,,5.13,2.85,2.78,3.38,0.24,21.42,16.41,2.95,9.4,7.35,26.05,2.58,6.84,78.76,1.95,,,17.19,,20.04,1.77,7.88,14.51,,1.39,,,,,6.54,,,,,3.93,5.24,,0.6,,0.64,5.45,14.81,3.29,24.01,,10.07,,33.14,,,,3,5285531149.0,Miscellaneous Commercial Services,Commercial Services
ADUS,53.55,33.64,,9.9,,22.2,30.1,,18.33,10.6,18.24,,19.11,28.32,8.17,,1.41,4.48,120.2,2.11,,11.17,35.23,0.41,0.05,,,,18.42,16.29,15.6,12.67,11.39,1.35,1.74,5.43,0.82,11.15,5.8,,20.63,23.93,12.51,12.28,103.1,32.28,12.12,,,6.5,,9.15,2.3,27.51,23.2,1.24,1.77,,0.96,0.52,,16.01,3.37,1.16,123.92,17.1,14.85,18.42,1.19,1.19,11.04,2.11,6.89,155.12,11.61,9.24,,9.02,,3.11,48.86,,,10,1355869330.0,Medical/Nursing Services,Health Services
AEE,15.2,63.29,,6.5,8,7.3,6.3,10.2,5.28,6.9,68.3,3.96,18.87,65.15,0.9,,,,92.12,0.63,73.28,83.66,27.63,5.15,1.54,,0.61,2.86,21.86,12.1,,19.52,11.23,5.14,5.88,4.57,0.27,,,2.9,18.72,1.43,7.7,3.78,81.98,49.45,2.94,,,15.52,,25.95,2.08,21.68,21.46,3.9,3.37,,1.56,,,,1.43,1.29,,,9.88,,3.09,,2.15,0.41,2.73,5.71,5.17,9.9,,3.91,,,23.26,,,10,21222279644.0,Electric Utilities,Utilities
AEHR,,37.92,,99.7,,,,,52.85,46.7,35.29,,37.91,34.88,9.62,,2.45,5.64,11.16,6.03,461.76,71.29,51.67,0.87,0.06,,,,49.41,39.08,,,,,5.15,2.02,0.84,,,,37.2,,,24.38,20.97,50.48,,,,49.64,,10.43,2.7,11.39,10.24,,5.63,,,,,,1.22,2.12,22.78,4.75,1859.97,18.64,,3.22,3.29,3.24,25.04,13.84,5.89,29.87,,34.92,,,,,,4,1353850723.0,Electronic Production Equipment,Electronic Technology
AEIS,15.49,48.33,0.9,13,,,,,,6.1,29.81,0.36,4.58,42.47,4.37,,2.25,0.99,111.56,4.62,139.39,54.35,65.57,5.33,0.57,,0.11,0.36,74.45,33.35,56.15,,12.08,2.62,2.81,1.34,0.53,5.01,1.76,0.36,22.4,15.27,,,85.34,35.16,2.31,,,2.91,,4.34,3.61,97.86,30.56,2.28,2.87,,1.56,3.7,,56.61,2.82,1,,13.25,31.67,87.25,2.41,1.72,5.83,3.32,1.74,8.27,2.59,3.75,,8.16,,,39.56,,,9,3937546139.0,Electronic Production Equipment,Electronic Technology
AEM,78.11,44.86,,20.5,20.8,11.4,7.9,4,4.55,3.1,51.25,8.34,22.91,44.92,3.27,,0.59,0.61,82.45,1.75,111.46,54.12,0.39,0.48,0.08,,0.47,1.96,22.26,12.19,22.59,12.73,8.8,4.43,5.19,4.49,0.69,23.84,4.53,1.96,18.08,11.58,21.99,11.49,62.44,40.9,27.86,,,13.05,,34.15,2.09,41.23,23.98,0.94,5.45,,,,,22.83,1.7,1.24,,,11.97,26.35,2.68,1.91,2.62,0.83,3.5,8.35,6.58,5.13,,5.69,,2.62,52.85,,,9,24264092594.047283,Precious Metals,Non-Energy Minerals
AEO,8.16,31.48,,10.5,45.5,,,66.4,90.5,5.8,26.6,2.49,,27.9,4.03,,0.24,0.15,17.43,1.57,75.18,28.64,16.47,1.99,0.78,,0.29,2.85,10.51,6.87,15.53,9.01,6.24,0.82,0.84,9.51,0.48,5.42,8.77,2.85,9.02,1.27,11.36,3.4,18.04,39.18,,,,4.58,,8.01,1.98,13.94,10.5,,0.63,,,,,11.61,1.05,0.78,,,7.24,21.44,,1.12,2.35,0.74,7.04,18.72,16.01,14.43,,11.24,,13.31,15.56,,,9,3043221255.9999995,Apparel/Footwear Retail,Retail Trade
AEP,30.11,47.01,,5.1,5.9,3.4,0.9,1.3,4.72,6.7,59.34,4.94,8.65,49.91,0.89,,0.04,0.01,96.7,0.57,84.7,104.49,18.81,5.79,1.66,,0.71,3.73,22.14,12.46,,17.09,10.84,4.3,4.85,4.52,0.27,,,3.88,16.41,1.11,12.97,4.3,93.11,61.23,2.17,,,13.46,,20.61,1.93,19.5,19.42,3.53,2.61,,,,,,1.29,1.12,,,8.01,,,11.38,1.94,0.41,2.7,5.48,4.94,10.22,,4.35,,0.77,20.57,,,10,41234689544.0,Electric Utilities,Utilities
AER,42.13,46.9,,6.4,,,5.5,,3.17,,38.72,0.78,6.57,44.18,0.74,,2.25,0.08,95.73,4.5,5.24,57.13,3.06,10.49,2.89,,0.05,0.78,30.4,13.58,,15.95,9.39,7.73,8.02,3.29,0.23,,,1.06,7.96,,12.27,3.09,84.16,32.61,,,,32.41,,26.37,1.08,7.73,9.83,,2.44,,,,,,0.74,1.42,,,3.47,7.37,,1.6,1.27,4.45,3.53,3.38,2.94,15.15,,2.69,,11.89,14.93,,,8,14432429370.0,Finance/Rental/Leasing,Finance
AES,2.7,31.02,,,5,,6.9,,,7.2,35.22,6.38,,31.32,0.43,,0.16,0.07,13.75,0.85,25.49,94.7,48.4,11.13,8.95,,0.3,5,26.08,14.07,,9.93,8.09,2.12,3.03,3.83,0.07,,,5,6.74,,6.48,4.07,21.58,19.44,1.43,,,8.34,,17.25,2.97,9.55,5.93,,0.79,,,,,,1.59,0.83,,,4.12,,,,9.62,0.8,2.2,4.62,3.9,35.23,,17.84,,,,,,6,11544405347.0,Electric Utilities,Utilities
AESC,,35.61,,,5,,6.9,,,7.2,31.65,,,33.52,0.43,,0.16,0.07,62.61,0.85,25.49,94.7,48.4,11.13,8.95,,,,26.08,14.07,,,,,3.03,3.83,0.07,,,,6.72,,6.48,4.07,0.0,19.44,1.43,,,8.34,,17.25,2.97,9.54,5.92,,0.8,,,,,,,,,,4.1,,,,,0.8,2.2,4.62,3.9,35.23,,17.84,,,,,,6,11544405347.0,Electric Utilities,Utilities
AESI,16.81,52.22,,14.3,,129.9,,,49.89,64.1,54.86,4.28,,53.42,2.22,,0.3,0.16,20.92,1.23,16.62,48.15,58.05,2.21,0.47,,0.99,4.28,20.5,12.13,,,6.24,2.29,2.94,4.88,0.53,,,4.59,10.55,,,25.28,0.0,26.47,4.92,,,8.78,,15.35,2.2,26.59,24.2,,2.44,,,,,,1.7,,,,8.22,,,,2.67,1.08,4.84,10.74,8.84,10.25,,8.11,,,,,,3,2304000047.0,Construction Materials,Non-Energy Minerals
AFRM,79.67,71.12,,,,85.6,17.5,,1.59,11.1,78.64,,31.66,74.26,2.41,,15.58,0.3,63.96,64.66,,18.63,43.32,66.55,2.51,,,,,228.9,64.37,35.48,37.67,7.98,9.7,,0.28,15.07,1.95,,,,,25.57,37.98,65.71,,,,,,,6.87,,,,7.71,,,,,51.29,,,,13.44,35.56,,,,8.79,64.66,,,,,,,,,,,,,7293861260.0,Finance/Rental/Leasing,Finance
AFYA,,42.94,1.2,12.1,,32.7,10.6,54.7,11.9,37.5,34.94,,,39.24,2.23,,0.9,0.27,16.27,1.6,0.45,126.67,62.76,2.29,0.76,,,,10.27,7.65,11.1,8.44,6.61,2.83,3.07,9.74,0.47,27.65,11.4,,9.7,27.03,35.27,6.76,19.69,62.43,2.75,,,18.26,,29.03,2,13.38,14.53,0.35,2.48,,,,,9.06,,,,,6.19,11.64,0.58,0.74,,1.6,7.26,66.82,13.65,15.16,,12.45,,1.16,,,,7,1469574000.0000002,Other Consumer Services,Consumer Services
AG,39.58,48.06,,9.1,,,,,,8,54.49,0.27,,47.64,1.84,,1.86,0.94,6.66,3.03,51.44,36.36,8.18,2.7,0.17,,,0.27,,23.06,,,,3.67,3.78,,0.7,,,0.29,25.32,18.78,,5.53,5.89,11.66,,,,,,,1.51,,,,3.85,,,,,,,0.98,,,22.51,,,5.37,1.51,2.45,,,,,,,,,,,,2,1664184423.375635,Precious Metals,Non-Energy Minerals
AGCO,,47.72,0.2,16.3,20.1,25.7,40.5,,36.02,16.7,58.65,2.3,,49.4,2.29,,0.15,0.15,91.76,1.53,139.21,45.05,44.73,6.86,1,,0.12,1.23,36.98,17.46,29.97,15.33,9.3,0.97,0.84,2.7,0.31,2.8,5.15,1.23,14.28,25.11,,,114.87,25.39,8.9,,,1.35,,8.69,1.65,40.6,9.86,0.39,0.55,,,,,19.37,1.58,0.87,,,8.66,1256.97,0.53,0.83,5.7,0.72,1.34,7.33,3.4,3.87,,9.37,,,14.27,,,10,9201222919.0,Trucks/Construction/Farm Machinery,Producer Manufacturing
AGI,63.6,38.68,,2,17.3,10.3,15.9,23.9,17.21,12.4,45.66,2.64,22.82,38.21,3.03,,0.84,1.06,18.79,1.62,129.34,94.63,11.19,0.48,0.09,,0.17,0.55,18.51,12.26,38.68,,,4.73,6.24,5.4,0.66,16.68,2.6,0.55,16.21,17.14,28.71,19.46,16.23,41.55,68.69,,,19.9,,34.16,2.33,31.32,31.85,1.83,6.44,,,,,38.24,1.85,1.65,,,13.26,23.7,2.02,2.36,2.33,0.97,5.71,11.3,10.29,7.97,,6.79,,,,,,5,4919131767.945206,Precious Metals,Non-Energy Minerals
AGIO,104.4,56.71,6.9,36,,,,,39.42,,39.84,,32.5,52.67,12.92,,8.41,16.52,54.41,8.99,2295.73,1283.6,31.8,,0.04,,,,,,,,,20.57,63.05,,0.91,,,,,,,92.34,0.0,89.38,,,,2051.38,,,1.85,4.66,,,91.66,,,,,,,,3.7,3.41,,4.88,,,1.91,8.77,62.91,,,71.3,,,,0.47,,,,1,1454238439.0,Pharmaceuticals: Major,Health Technology
AGL,,28.5,,,,,,,,49.4,20.95,,,25.62,1.69,,0.28,8.95,1.59,1.29,,85,86.97,,0.08,,,,,,,,,0.05,0.05,,0.28,,,,,,32.95,22.61,43.82,,,,,,,,1.13,,,,0.11,,,,,,,,,2.21,,,,,1.37,1.29,,,,,,,,0.54,,,,,7602789688.0,Medical/Nursing Services,Health Services
