Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
DECK,56.5,63.29,2.8,16.8,,27.4,29.4,22.2,107.95,22.5,66.21,,9.29,65.7,17.64,,1.4,4.74,176.29,3.08,119.54,92.89,30.67,0.22,0.12,,,,22.79,21.54,30.17,23.91,22.7,5.3,5.55,4.39,0.65,18.39,3.2,,31.7,21.58,15.02,12.19,111.42,57.11,391.96,,,18.8,,22.98,12.05,31,31,1.22,5.88,,,,,31.93,4.1,2.59,534.21,17.56,29.25,33.14,1.24,3.34,12.22,2.2,27.3,126.17,47.89,42.48,,75.96,,1.67,76.32,,,10,13665184813.0,Apparel/Footwear,Consumer Non-Durables
DELL,71.82,58.88,2.1,,,,,,,2.1,58.47,1.26,,58.76,1.71,,0.09,0.19,135.9,0.72,21.84,106.05,39.24,2.81,,,0.23,1.26,21.01,13.2,33.46,13.69,9.64,1.1,1.26,4.76,,3.66,3.52,1.33,14.46,4.17,14.73,7.88,58.25,22.41,3.51,,,4.33,,5.71,,24.75,18.77,37.54,1.06,,,,,29.68,,,,,16.38,41.02,,1.93,,0.61,4.8,83.6,16.57,,,7.34,,8.33,152.7,,,5,50402428016.0,Computer Processing Hardware,Electronic Technology
DEO,,29.77,1.7,6.8,5.9,8.3,6.8,,14.66,9.9,32.38,4.08,,28.11,2.56,,0.14,0.06,119.2,1.53,441.06,207.12,58.85,3.11,2.2,,0.56,3.47,13.18,12.26,33.66,13.43,11.92,3.8,4.29,7.59,0.22,12.8,3.91,3.47,16.95,11.27,3.7,4.17,186.76,60.18,5.29,,,19.1,,29.61,6.67,17.25,16.63,2.38,3.32,,1.44,2.23,,25.92,,0.63,,,16.39,17.38,2.39,1.54,,0.55,8.46,45.96,18.46,39.07,,12.04,,4.89,17.53,,,10,88071847728.48419,Beverages: Alcoholic,Consumer Non-Durables
DFH,44.33,30.65,,93.7,,60.1,52.3,50,21.49,41.6,14.44,,20.32,24.5,3.03,,0.12,0.14,27.37,1.52,193.93,17.25,2.82,3.47,1.17,,,,9.71,9.33,,,,0.98,0.98,10.3,0.38,,,,8.15,,4.69,7.32,31.71,19.59,,,,7.65,,10.14,2.28,9.02,8.44,,0.69,,,,,,1.09,,,8.77,,,,,3.14,0.27,11.02,24.48,26.24,27.4,,14.65,,,,,,6,2237392005.0000005,Homebuilding,Consumer Durables
DFIN,18.62,42.39,4.4,22.9,,37.3,47.7,,,,37.34,,4.79,41.59,5.01,,0.16,0.24,60.13,1.15,,43.56,84.7,0.66,0.32,,,,13.03,8.56,15.32,,,,2.29,7.67,0.53,14.95,6.94,,14.8,20.89,16.92,2.88,45.95,61.45,8.77,,,12.06,,17.83,3.9,18.84,18.52,2.1,2.27,,,,,15.15,,,,,9.59,16.99,1.22,1.44,,1.15,11.4,229.27,21.61,23.22,,16.87,,7.16,24.27,,,9,1516379982.0,Packaged Software,Technology Services
DG,,40.54,3,3.6,17.9,,,,,9.2,48.46,6.67,,42.98,2.08,,0.17,0.07,76.5,1.22,93.69,47.77,,6.03,2.51,,0.37,3.11,16.09,11.24,20.09,16.21,10.9,0.8,0.86,6.22,0.23,4.26,10.04,3.11,12.31,14.72,,4.88,238.95,29.67,7.03,,,3.57,,5.32,2.32,11.88,11.88,1.07,0.42,,0.6,0.86,,9.94,2.27,0.35,,,5.09,7.67,1.76,0.64,9.77,0.24,4.58,10.6,8.69,20.97,,6.41,,,9.16,,,10,25389041756.0,Discount Stores,Retail Trade
DGII,25.31,52.89,,5,,11.6,22.6,10.6,8.95,7.5,37.61,,13.96,48.63,3.65,,0.31,0.22,31.18,1.73,131.71,42.19,56.85,2.24,0.21,,,,31.95,22.23,14.97,,8.13,2.89,2.89,3.13,0.71,19.29,7.21,,14.88,24.36,,,29.26,58.93,3.82,,,5.31,,11.34,1.95,51.11,15.67,0.97,2.67,,0.5,0.66,,14.03,1.17,1.6,,,13.82,27.25,0.64,1.1,1.95,1.13,2.73,41.57,5.16,4.05,,6.1,,6.1,66.34,,,10,1124044895.0,Telecommunications Equipment,Electronic Technology
DGX,10.94,63.61,5.7,3.7,7.6,,,,,5.7,67.68,2.27,3.68,65.73,2.89,,0.37,0.11,161.16,1.25,10.48,21.5,49.8,3.92,1.02,,0.42,1.84,18.51,13.65,23.75,15.53,11.28,2.33,2.55,5.4,0.42,10.72,5.69,1.86,16.52,9.62,7.15,6.45,142.81,32.73,6.26,,,8.82,,13.13,2.66,21.66,18.23,1.86,1.9,,,,,17.68,,1.1,,,12.94,21.99,,0.9,,1.17,5.89,43.87,10.66,12.9,,7.62,,,18.27,,,10,14166301913.999998,Services to the Health Industry,Health Services
DH,,41.55,,,,,,10.8,8.62,18.2,28.83,,,37.77,,,2.06,1.19,4.18,2.49,,44.84,69.51,,0.51,,,,,,8.11,14.42,13.33,1.78,1.67,,0.43,20.61,11.08,,13.75,,,,10.58,79.46,,,,,,,0.94,,2.24,,1.88,,,,,9.16,,,,,8.82,,,,,2.49,,,,,,,,2.31,,,,,1342168701.9999998,Packaged Software,Technology Services
DHI,51.93,33.62,3.1,23.2,14.5,7.1,7.9,103,4.7,13.5,30.44,1.59,28.42,31.69,6.65,,1.04,0.76,162.3,7.32,325.84,17.81,,0.98,0.23,,0.08,0.82,9.05,8.92,26.53,8.75,8.55,1.44,1.46,11.05,0.7,5.5,3.85,1,11.56,23,8.64,4.57,128.46,25.91,,,,12.93,,16.13,2.08,11.3,11.3,0.4,1.44,,0.36,0.84,,26.11,1.02,1.32,,2.49,24.23,30.28,0.45,1.29,2.09,1.61,13.86,24.36,19.23,19.88,,16.58,,4.46,18.57,,,10,38014386480.0,Homebuilding,Consumer Durables
DHR,32.05,23.91,,12.1,13.4,3.5,6.3,1.1,11.1,1.2,12.71,0.79,3.23,19.08,4.69,,0.36,0.15,230.84,1.37,103,64.93,56.29,2.44,0.34,,0.18,0.46,37.22,25.22,36.37,27.12,21.91,7.21,7.63,2.69,0.64,20.97,2.99,0.47,27.55,12.93,7.76,4.43,226.85,59.37,16.07,,,16.39,,20.44,3.25,44.05,39.32,2.57,7.23,,1.76,2.28,,34.38,,1.3,,,27.24,36.62,4.18,1.58,,1.01,4.69,79.69,6.48,7.47,,5.84,,5.1,36.53,,,10,188464376541.0,Medical Specialties,Health Technology
DINO,,52.78,,16.9,8.7,,,133.6,38.9,34.6,69.64,4.49,,58.98,3.17,,0.41,0.4,42.29,1.81,41.59,30.53,20.81,2.26,0.32,,0.68,4.6,18.09,7.25,9.41,8.27,5.1,0.3,0.34,5.53,0.57,3.56,13.32,4.73,12.9,24,,,49.33,11.28,2.39,,,1.1,,1.41,0.83,26.1,14.74,,0.28,,,,,7.64,0.96,0.67,,,5.47,7.87,,0.33,1.4,0.9,1.85,6.14,3.73,3.3,,2.97,,20.78,9.31,,,8,10910561780.0,Oil Refining/Marketing,Energy Minerals
DIOD,,33.8,,20.3,,25.5,33.9,9.6,27.74,15,24.57,,,29.66,5.07,,0.91,5.52,54.7,3.58,179.41,66.05,108.36,0.27,0.03,,,,27.7,10.27,,8.57,6.44,1.99,1.73,3.61,0.76,,,,22.51,14.82,,,56.13,33.79,25.3,,,4.72,,4.54,1.4,41.44,40.64,2.4,1.95,,1.3,,,,1.69,1.17,,3.7,33.43,,4.16,0.87,1.57,2.21,2.58,6.23,4.07,3.48,,2.84,,2.1,18.54,,,9,3542799268.0000005,Semiconductors,Electronic Technology
DIS,3.32,82.85,0.2,4.6,,17.2,29.5,62.6,124.97,10.6,86.74,0.67,,86,2.28,,0.17,0.12,112.42,0.73,12.28,93.03,47.64,3.33,0.48,,0.15,0.67,25.74,16.96,28.99,17.32,13.48,2.63,2.72,3.89,0.51,9.37,4.21,0.81,20.99,11.24,10.62,4.65,108.45,35.75,5.76,,,5.44,,13.04,2.02,41.48,22.34,7.45,2.26,,1.94,2.08,,23.96,3.48,0.74,,,14.7,52.72,2.39,1.73,12.22,0.67,2.5,26.94,5.83,4.97,,4.92,,1.11,24.49,,,9,156380769842.0,Movies/Entertainment,Consumer Services
DK,,57.64,4.6,,,,,,108.93,37.2,65.18,5.54,,62.88,2.14,,0.42,0.36,17.98,1.04,27.03,48.14,21.33,10.09,4.12,,,5.54,,10.67,,14.97,5.35,0.22,0.22,,0.1,,,5.64,60.04,,,,21.59,1.72,,,,,,,1.63,,,,0.09,,,,,,,0.4,,,6.24,,,0.46,,0.67,,,,,,,,18.9,128.43,,,7,1928981221.0,Oil Refining/Marketing,Energy Minerals
DKL,,46.67,,,4.8,5.2,,,10.59,11.7,57.31,14.57,,50.21,1.57,,0.11,,39.46,1.24,1.47,14.58,30.26,4.98,,,1.5,10.89,13.86,10.21,26.53,13.39,8.15,3.55,3.97,7.22,,14.95,7.34,11.11,21.07,13.06,,,45.64,27.32,1.53,,,13.15,,23.5,,13.83,13.77,5.1,1.8,,,,,11.86,,1.23,,,6.5,9.81,,1.54,,1.17,7.54,28.21,17.14,,,13.86,,5.89,11.14,,,10,1808826221.0,Oil & Gas Pipelines,Industrial Services
DKNG,0.23,62.97,,,,20.3,47.1,31.8,3.35,57.9,66.49,,,65.18,2.51,,0.53,0.65,43.21,1,,4.4,25.59,,1.25,,,,,,439.05,67.6,23.08,3.34,4.58,,0.25,1.04,0.23,,86.59,,,27.18,43.11,38.5,,,,,,,19.17,,180.21,,4.46,,,,,436.6,,,,,125.3,,,,,1,,,,,,,,0.4,,,,,14401777983.0,Movies/Entertainment,Consumer Services
DKS,85.18,47.27,1.8,5.7,47.4,20.7,30.5,,55.66,13.5,58.38,8.3,12.4,50.33,4.38,,0.58,0.39,199.57,1.77,129.74,60.32,3.93,2.24,1.5,,0.3,2.16,12.32,9.71,25.4,12.01,9.59,1.38,1.42,8.12,0.29,5.59,4.61,2.2,13.46,24.95,6.94,3.79,163.35,35.54,26.66,,,8.46,,11.13,5.49,14.66,14.15,0.55,1.24,,0.49,0.71,,22.03,1.96,1.62,,,11.35,15.83,0.57,1.35,6.12,0.69,11.92,31.63,23.31,42.81,,19.77,,4.92,26.43,,,10,9600853826.0,Specialty Stores,Retail Trade
DLB,,36.38,1.5,0.5,7.1,2.4,2.5,8.9,,5.6,17.64,2.76,,29.49,10.08,,2.45,18.03,70.91,4.14,90.5,44.63,80.58,0.14,0.02,,0.42,1.69,24.24,17.91,22.55,,12.07,4.44,4.75,4.13,0.82,21.06,3.92,1.69,18.61,3.87,18.75,3.65,84.18,88.72,,,,16.87,,19.59,2.79,32.38,25.2,5.25,5.53,,,,,26,2.01,0.93,20.67,7.3,23.31,56.56,,1.32,3.6,4.04,7.11,43.89,9.56,8.91,,10.88,,3.91,29.55,,,10,7820584258.0,Packaged Software,Technology Services
DLO,,68.09,0.5,117.1,,78.5,47.1,46.5,95.88,82,77.58,,,72.14,4.44,,0.95,163.61,10.8,1.54,,514.17,189.11,0.03,0.01,,,,19,16.76,15.79,11.9,11.02,2.57,3.22,5.26,0.39,20.36,4.93,,18.85,,37.17,22.52,28.24,38.48,,,,16.35,,18.98,6.6,26.43,48.26,,4.37,,,,,21.35,4.14,,,8.18,18.64,23.54,,,7.77,1.54,10.62,609.54,26.93,26.36,,124.13,,3.35,,,,5,6012145584.0,Packaged Software,Technology Services
DLR,22.93,63.93,,,2.9,8.5,11.7,,1,6,67.49,3.15,14.98,64.02,1.82,,0.5,0.12,187.27,0.79,,300.36,62.91,6.81,0.86,,7.07,2.6,81.36,28.86,39.75,78.65,25.31,12.87,14.15,1.23,0.47,35.61,3.15,2.6,159.79,2.27,18.21,7.76,132.9,54.39,1.64,,,8.04,,13.8,3.02,160.06,271.41,339.26,11.12,,23.53,2.71,32.77,31.25,9.25,1.41,,,31.25,,,1.92,7.09,0.79,1.01,75.05,2.44,2.25,,1.52,,,79.02,,,10,38973821030.0,Real Estate Investment Trusts,Finance
DLTR,,51.15,2.3,2.4,,,1.4,,,9.1,65.1,,,56.78,2.25,,0.1,0.05,64.87,1.02,88.78,34.74,,,1.46,,,,,,53.22,13.94,8.77,0.78,0.79,,0.33,1.49,3.3,,10.72,24.44,6.58,2.96,161.14,30.78,0.94,,,,,0.33,1.89,,11.54,,0.46,,,,,30.85,1.29,0.43,,,5.13,,,1,3.23,0.17,,,,,,0.51,,2.37,19.96,,,8,24717620250.0,Discount Stores,Retail Trade
DNB,16.33,56.7,,,,2.1,2.1,37.7,17.11,4.3,41.34,1.68,8.36,54.11,0.73,,0.29,0.08,11.97,0.7,,41.91,33.4,4.87,1.11,,0.2,1.68,47.92,11.48,38.33,10.23,9.43,3.47,3.68,2.09,0.37,9.6,4.28,1.68,10.8,24.15,7.01,4.6,12.32,63.75,0.76,,,,,8.28,1.6,,11.84,0.52,2.2,,,,,22.84,,,,,11.46,34.81,0.47,,,0.7,,128.03,2.27,,,0.97,,2.04,,,,2,4524028333.999999,Packaged Software,Technology Services
DNLI,47.07,35.43,,,,,,,669.08,,17.31,,34.52,28.97,,,9.61,,,9.98,,,,,,,,,,,,,,65.76,8.16,,,,,,,,,,,,,,,,,,2.64,,,,10.05,,,,,,,,5,4.77,,,,,2.65,9.98,,,,,,,,,,,,1,3236290801.0,Biotechnology,Health Technology
DNN,33.71,63.4,,29.1,,,,,,,76.39,,6.25,67.09,17.13,,5.88,272.65,2.37,6.28,267.04,494.29,233.32,,,,,,,,,,,135.32,653.58,,0.87,,,,,,,,0.45,,,,,,,,5.04,,,,815.8,,,,,,,,118.5,79,,,,13.94,5.04,6.09,,,,,,,,,,,,3,1379195183.4841628,Other Metals/Minerals,Non-Energy Minerals
DNOW,20.33,67.69,1.1,16.2,,,,,72.59,13,63.63,,,69.24,3.48,,0.63,5.93,14.36,2.54,78.88,59.36,61.88,0.29,0.04,,,,10.8,8.6,4.78,,,,0.55,9.26,0.7,11.58,17.96,,18.11,,,1.78,13.69,22.57,,,,8.7,,5.13,1.37,7.68,17.58,,0.64,,,,,5.7,1.17,1.13,,2.6,5.52,4.46,,0.7,1.76,1.66,13.4,22.49,10.97,19.53,,22.56,,0.89,,,,5,1230470062.0000002,Wholesale Distributors,Distribution Services
DNUT,,40.73,,17.7,,14.4,,,3.57,12.6,28.5,1.3,,36.11,0.99,,0.05,0.02,10.83,0.35,31.01,124.42,11.61,5.96,1.11,,0.7,1.3,37.62,14.2,,,,,1.82,2.66,0.39,,,1.3,35.05,,25.21,5.62,14.49,75.26,,,,1.64,,,1.55,63.35,53.85,4.77,1.07,,,,,,,,,,89.75,,3.55,,,0.28,0.88,8.49,3.08,2.43,,,,,,,,,2208465979.0,Food Distributors,Distribution Services
DOC,37.46,34.26,,,,2.7,16.1,7,29.97,8.8,16.81,4.29,13.83,27.71,1,,0.11,0.02,21.4,0.6,,100.14,8.84,5.66,1.04,,3.02,5.63,38.91,14.84,22.89,55.53,14,8.13,9.16,2.57,0.43,40.01,6.8,5.63,101.9,8.78,,9.51,21.87,59.83,1.74,,,12.16,,17.95,1.75,45.53,53.77,,5.33,,,,13.38,13.51,2.16,0.67,,,13.51,,,0.99,1.95,0.6,1.68,168.67,3.59,3.97,,2.38,,,24.88,,,9,3133290786.0,Real Estate Investment Trusts,Finance
DOCN,49.9,37.78,5,,,53.3,143.6,,5.35,33.5,27.92,,17.08,34.09,1.89,,2.5,0.27,38.02,3.14,,10.96,31.13,7.29,,,,,49.71,20.38,45.98,32.25,12.91,5.16,6.01,2.01,,13.07,2.94,,20.6,,10.14,12.87,44.27,60.18,7.55,,,10.86,,9.18,,42.84,19.47,0.48,4.6,,,,,34.81,,,,,11.91,64.9,0.96,,,3.14,5.53,19.14,7.06,,,6.24,,1.72,,,,1,2160777385.0,Packaged Software,Technology Services
DOCS,76.54,59.82,,134.4,,40.4,54.2,25.4,58.37,25.8,54.6,,55.19,58.28,39.31,,6.09,59.71,51.53,7.24,,13.02,76.53,0.06,0.01,,,,44.35,42.21,41.2,,39.4,16.67,17.33,2.25,0.86,42.06,2.23,,45.72,,11.24,10.64,45.16,89.94,,,,33.69,,39.06,10.15,60.01,56.2,0.71,20.23,,,,,48.16,5.23,,14.85,12.01,46.78,64.54,2.17,,11.08,7.24,16.43,474.43,21.69,19.29,,54.5,,1.74,,,,6,4131794326.999999,Packaged Software,Technology Services
DOCU,68.34,64.42,,48.2,,,,54.3,29.99,19.1,49.43,,20.07,60.62,5.75,,0.58,6.92,79.52,0.84,,8.02,46.75,0.49,0.07,,,,84.84,54.62,16.44,24.54,21.23,4.81,5.28,1.18,0.52,32.15,5.78,,21.55,,8.84,6.62,62.93,79.17,35.39,,,34.56,,4.92,8.08,16.53,23.46,,5.74,,,,,17.85,3.47,,,,16.24,199.41,,2.21,11.36,0.84,30.39,48.46,12.79,81.78,,24.07,,6.18,,,,1,8930863338.999998,Packaged Software,Technology Services
