Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,7.64,46.57,,1.5,7.9,7.7,13.5,33.2,24.7,58.71,10.5,58.38,1.07,,49.44,5.85,,0.74,0.61,133.84,1.78,125.99,57.06,66.46,1.56,0.5,,0.18,0.71,24.05,20.84,27.59,23.46,20.51,5.73,6.02,4.16,0.54,21.81,3.68,0.75,23.68,15.84,4.79,2.36,134.33,54.39,17.3,,,21.75,,22.9,6.52,27.77,25.69,2.14,6.02,,0.82,1.73,,27.65,1,5.33,1.19,,,21.92,27.64,1.99,2.06,24.88,1.37,13.03,74.15,18.1,23.78,,16.15,,3.4,43.17,,,10,33913792728.0,Medical Specialties,Health Technology
AA,59.29,66.22,29.21,1.4,10.2,,,,,75.95,5.9,77.74,0.88,,69.57,1.51,,0.38,0.45,45.47,1.41,78.33,59.38,26.65,4.45,0.56,,,0.88,1047.74,20.67,,7.43,5.4,1.18,1.24,0.1,0.36,,,0.88,14.23,,,4.06,33.34,11.35,1.6,,,,,2.02,2.29,,,,0.81,,,,,,1.36,,,,,22.52,,,1.78,2.32,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,5.28,61.17,27.81,,10.4,,,,,597.78,27,51.83,,,58.65,0.68,,0.33,0.22,14.38,0.57,21.4,22.29,13.62,16.51,,,,,16.87,16.87,,6.23,4.58,0.7,0.75,5.93,,,,,7.02,,,4.01,16.12,20.34,1.4,,,0.51,,5.17,,43.55,13.22,,0.18,,,,,,0.89,,0.46,,,4.21,,,,,0.47,0.43,6.13,5.96,,,2.95,,29.63,12.5,,,8,8696254174.0,Airlines,Transportation
AAON,68.6,68.02,15.19,,26.3,8.1,29.5,31.8,,20.3,29.5,69.8,0.36,40.72,68.23,31.57,,,,137.42,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.24,45.44,36.66,107.63,,,,9.17,2.2,0.77,8.52,0.92,0.24,46.69,20.38,19.72,15.07,79.76,35.65,94.37,,,15.78,,20.14,14.01,60.54,60.54,2.41,9.51,,3.29,9.66,,111.51,1.72,6.86,1.85,,57.5,47.25,71.9,2.42,9.32,17.51,1.79,19.56,38.79,29.01,25.52,,21.87,,0.48,120.54,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,48.88,,3.6,,26,,,,,8.9,46.34,52.81,,49.01,1.88,,0.08,0.12,40.79,1.34,232.75,194.44,24.05,7.27,1.47,,1.28,2.47,27.35,10.8,25.87,28.6,12.92,0.67,0.46,3.66,0.21,1.77,8.97,2.47,19.79,5.68,91.08,,110.67,40.02,2.38,,,0.36,,1.55,0.94,55.88,52.29,,0.19,,,,,11.12,0.37,1.89,0.18,,,5.86,79.41,,0.38,1.53,0.62,0.36,4.12,2.95,1.7,,1.76,,4.8,5.62,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,23.29,52.26,5.05,2.7,,4.9,6.2,6.4,8.6,,5.4,59.54,0.56,23.55,54.38,8.77,,0.37,0.61,229.87,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.43,28.37,25.96,32.13,26.44,24.37,8.37,8.94,3.52,0.16,27.83,3.13,0.44,31.11,18.27,11.49,6.89,187.66,46.21,,,,23.97,,31.51,60.97,37.81,34.05,2.14,9.04,,1.43,1.59,,32.58,1.22,9.61,2,,,29.98,34.89,2.17,2.54,60.97,0.83,26.93,278.63,59.87,140.28,,32.51,,3.33,49.86,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,45.9,56.16,5.07,,,9.7,8.1,22.2,18.4,28.45,8.5,63.49,5.85,25.67,57.94,0.79,,4.87,0.25,28.08,5.78,,148.94,6.31,7.97,1.8,,1.38,4.76,23.07,12.31,24.3,,,,7.21,4.33,0.35,29.66,7.92,4.77,38.98,8.95,,2.94,26.45,63.33,1.92,,,16.36,,28.14,1.44,28.95,28.95,12.59,4.67,,2.51,1.37,11.59,15.67,1.06,1.37,0.62,,,10.31,19.04,,1.24,1.46,5.78,2.43,683.81,4.81,6.24,,4.5,,,34.24,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABCL,,49.01,13.15,,8.7,,,,,,,46.94,,,47.67,1.8,,8.08,9.01,2.76,9.34,,,376.42,,0.07,,,,,,,,,8.29,7.03,,0.77,,,,,,,,1.02,,,,,,,,0.74,,,,24.07,,,,,,2.71,,,2.45,1.87,,,,,0.82,9.34,,,,,,,,1.11,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,35.93,,,2.2,20.8,5.4,3.2,9.8,60.73,11,21.05,10.95,,31.5,3.62,,0.59,6.19,2.19,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,6.89,8.19,6.15,8.59,8.13,6.24,1.98,1.97,12.21,0.67,25.25,11.63,6.89,11.65,16.09,3.83,6.4,2.76,50.98,7.91,,,16.92,,23.87,2.03,12.73,12.44,2.54,2.43,,,,,9.67,0.79,1.66,0.46,,,7.64,10.34,1.68,0.71,4.47,0.9,10.03,70.19,19.21,15.52,,15.33,,6.26,12.17,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,9.09,60.27,,,50.3,,28.2,37.8,,8.08,24,59.23,,,60.13,2.79,,0.03,0.01,261.3,1.2,48.06,16.14,4.32,6.36,1.52,,,,13.84,12.58,38.75,11.8,10.75,0.57,0.61,7.23,0.33,1.58,5.09,,9.56,30.3,,6.16,262.49,17.41,3.89,,,2.16,,5.9,1.52,14.79,9.71,0.3,0.33,,0.31,1.72,,19.82,1,,1.11,,,10.45,88.51,0.39,0.54,,0.41,3.64,17.42,9.79,10.8,,7.97,,,13.86,,,10,4632090814.999999,Specialty Stores,Retail Trade
