Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
ABG,10.67,74.27,,50.3,,28.2,37.8,,8.08,24,91.4,,,82.05,2.8,,0.03,0.01,258.38,1.2,48.06,16.14,4.32,6.36,1.52,,,,14.04,12.76,39.32,11.97,10.91,0.57,0.62,7.12,0.33,1.58,5.13,,9.34,30.01,,6.4,261.64,17.41,3.89,,,2.16,,5.9,1.51,14.65,9.62,0.3,0.32,,0.31,1.7,,19.6,,1.1,,,10.35,87.67,0.38,0.53,,0.41,3.64,17.42,9.79,10.8,,7.97,,,13.73,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABM,33.51,73.94,2,8.4,5.9,40.8,24.6,,23.18,11.1,89.4,1.88,16.29,81.13,3,,0.07,0.06,58.11,1.38,,,56.6,3.53,0.8,,0.26,1.54,16.53,12.18,18.52,12.59,10.16,0.6,0.61,6.05,0.36,3.3,7.46,1.54,15.91,25.74,,1.62,51.49,,3.58,,,1.89,,3.62,1.99,24.08,16.79,1.04,0.45,,0.91,1.19,,13.69,,1.14,,,11.16,16.85,0.84,1.01,,1.38,3.14,55.18,8.09,8.51,,4.97,,3.07,30.19,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
ABNB,13.75,53.28,,38.3,,,,,322.31,8,47.97,,,51.19,4.67,,0.99,4.98,134.21,1.62,,33.1,6.78,0.96,0.27,,,,33.63,32.79,18.25,21.64,21.31,6.28,7.12,2.97,0.38,37.96,4.91,,29.98,,,10.6,165.65,83.07,22.92,,,16.96,,15.01,9.91,47.09,47.09,,8.01,,,,,21.21,4.76,,,18.1,21.21,35.54,,,10.92,1.62,7.98,839.68,21.23,22.05,,19.8,,4.1,,,,2,92399740712.0,Other Consumer Services,Consumer Services
ABT,23.57,53.4,0.7,6.3,12.3,6.8,6.7,,,5.8,54.81,3.51,10.86,53.59,5.3,,0.52,0.52,116.88,1.6,134.18,82.06,59.46,1.42,0.38,,0.48,1.88,28.45,19.78,32.34,22.38,17.68,4.66,5.08,3.51,0.54,15.74,3.21,1.88,22.59,11.29,8.9,6.5,108.31,55.55,11.5,,,13.99,,16.24,5.08,35.44,25.8,2.24,4.95,,1.39,1.63,,31.42,5.15,1.15,,,23.34,41.04,3.2,1.95,23,1.14,7.9,65.41,12.45,14.86,,10.65,,3.35,41.65,,,10,176555322492.0,Medical Specialties,Health Technology
ACA,36.61,76.51,,6.9,,13.2,4.1,,3.27,5.9,91.68,0.19,7.2,83.25,2.88,,1.75,0.61,105.37,3.61,70.83,47.61,57.32,3.31,0.51,,0.06,0.19,28.52,15.16,46.62,,,1.91,2.28,3.51,0.56,4.86,2.35,0.19,23.84,18.05,26.49,11.51,76.38,19.84,4.58,,,5.17,,7.87,2.11,40.06,32.62,1.61,2.09,,,,,42.58,2.58,,,,16.24,24.98,2.08,1.42,4.6,2.77,3.4,11.35,5.93,5.41,,5.14,,,,,,9,3644941042.999999,Trucks/Construction/Farm Machinery,Producer Manufacturing
ACAD,,78.43,,,,38.8,40.9,46.1,223.57,16.4,94.11,,,86.43,3.16,,1.64,11.45,18.3,2.29,235.21,82.57,38.31,0.4,0.09,,,,22.47,20.25,12.45,15.42,19.02,2.46,2.71,4.45,0.59,21.82,6.66,,22.17,,,16.09,33.39,91.61,,,,13.83,,12.08,5.27,23.46,23.46,1.05,3.26,,,,,14.94,2.6,,18.33,7.83,14.94,22.84,,,6.44,2.11,15.57,203.67,21.17,27.32,,51.02,,,,,,,4047377469.0,Pharmaceuticals: Major,Health Technology
ACHC,,22.52,,12.2,,,16.9,,,10.9,22.41,,,21.32,1.74,,0.13,0.04,40.35,1.07,18.46,542.09,44.04,3.16,0.66,,,,11.78,9.09,,9.28,7.33,1.65,1.85,8.49,0.52,,,,10.99,0.82,11.97,9.07,85.02,96.45,5.11,,,8.99,,17.48,1.22,13.23,11.51,,1.2,,,,,,1.65,0.55,,,28.62,,,1.21,5.34,1.06,5.05,19.42,10.06,9.78,,8.25,,,118.69,,,7,6460318360.000001,Medical/Nursing Services,Health Services
ACHR,,78.06,,100.9,,,,,,,92.36,,,84.79,,,4.31,,,4.49,,,,,,,,,,,,,,31.56,,,,,,,,,12.39,,,,,,,,,,4.61,,,,,,,,,,,,7.38,6.94,,,,,4.66,4.49,,,,,,,,,,,,,1649497955.0,Aerospace & Defense,Electronic Technology
ACIW,101.76,63.65,2.6,5.9,,7,21.8,,142.28,6.8,61.92,,46.56,64.3,3.74,,0.26,0.17,56.02,1.56,,21.51,50.45,2.07,0.77,,,,18.12,13.54,24.02,,14.86,3.87,4.14,5.52,0.43,17.25,4.75,,27.52,13.14,34.45,7.88,34.21,52.2,4.73,,,14.04,,22.14,4.42,26.42,24.15,2.01,3.72,,1.23,1.86,,21.55,,1.43,,,18.92,24.13,2.33,1.66,,1.56,6.9,262.89,15.7,17.86,,8.99,,3.26,57.16,,,10,2556336665.0,Packaged Software,Technology Services
ACLS,,34.81,0.9,22.7,,62.7,72,31,57.41,34.8,34.66,,,33.78,7.28,,2.3,13.15,83.6,4.45,183.28,30.95,67.21,0.16,0.05,,,,8.42,7.97,12.72,,8.41,2.01,2.07,11.88,0.73,16.36,6.47,,12.02,24.47,,,115.36,44.28,44.08,,,20.65,,21.88,2.78,12.37,12.37,0.25,2.56,,,,,15.64,1.24,1.13,12.54,3.58,14.2,15.35,0.49,1.15,2.78,3.29,17.31,67.54,25.93,24.8,,28.79,,2.23,26.54,,,9,5489377800.999999,Industrial Machinery,Producer Manufacturing
ACLX,89.41,76.41,,,,2.6,0.1,,,,92.11,,73.3,82.55,13.41,,5.85,6.96,103.51,6.01,,,69.04,,0.15,,,,,,,,,54.82,33.73,,0.66,2.3,0.06,,,,,10.76,0.0,,,,,,,,11.4,,,,36.24,,,,,,,,20.56,19.59,,,,,11.4,6.01,,,,,,,,,,,,,1598748014.0,Biotechnology,Health Technology
ACM,31.76,63.22,4.6,,,0.1,22.9,46.8,,7.7,62.49,0.79,13.72,62.98,2.41,,0.26,0.55,111.89,1.13,,55.01,59.44,3.29,1.31,,0.21,0.79,22.1,17.8,23.45,15.02,13.34,2.09,1.03,4.52,0.19,4.4,4.64,0.79,22.42,7.84,13.78,7.62,99.15,6.58,4.87,,,1.61,,5.59,6.61,60.16,27.87,9.95,0.97,,,,,22.08,,2.1,,,18.89,28.82,,2.09,,1.13,2.22,88.12,13.4,11.18,,10.64,,3.25,174.83,,,7,11643339642.999998,Engineering & Construction,Industrial Services
ACN,12.84,51.04,0.4,13.6,13.6,5.4,10.7,1.4,10.85,9.3,56.66,2.64,17.76,51.42,7.36,,0.26,1.22,358.04,1.1,,20.51,69.84,0.37,0.15,,0.43,1.5,22.77,19.86,25.81,20.89,17.01,3.25,3.42,4.39,0.51,13.27,3.85,1.66,27.8,13.22,8.94,7.11,329.97,32.61,162.73,,,11.19,,14.79,7.91,31.32,29.94,3.22,3.51,,1.45,1.15,,26.39,8.36,1.25,,,24.92,38.03,3.14,1.74,52.5,1.1,13.75,236.59,27.79,26.8,,19.63,,2.62,38.79,,,10,207617355910.0,Information Technology Services,Technology Services
ACVA,33.57,71.64,,,,,,,,30.6,91.05,,8.39,80.18,3.55,,0.66,2.48,20.62,1.49,,469.19,121.47,,0.24,,,,,,,,,4.4,5.64,,0.45,1.43,0.25,,540.44,,,29.04,18.49,50.64,,,,,,,7.47,,,,6.19,,,,,,,,,55.77,589.11,,,,29.46,1.49,,,,,,,,,,,,,2506975976.0,Internet Retail,Retail Trade
ADBE,,54.19,1.7,9.4,,17.7,16.7,11.4,,16.8,67.68,,2.72,60.34,11.96,,0.78,1.24,521.4,1.11,,49.25,33.27,0.78,0.42,,,,31.79,28.26,33.68,20.03,18.72,9.27,10.46,3.15,0.49,31.27,2.85,,25.37,19.3,13.41,10.8,580.22,88.66,51.2,,,25.59,,35.93,15.95,44.04,29.16,1.36,11.3,,0.94,1.16,,36.05,18.66,0.88,,,35.04,51.32,1.77,2.33,266.02,1.11,18.17,291.22,33.73,34.74,,22.82,,3.06,65.42,,,10,241068062221.0,Packaged Software,Technology Services
ADC,29.73,58.2,,5.9,6.7,5.7,1.7,14.6,3.33,5.9,72.2,5.33,22.18,62.2,1.83,,0.08,0.01,76.58,0.74,,573.52,54.1,5.08,0.51,,1.67,3.89,37.37,21.05,25.29,32,19.59,16.95,18.46,2.68,0.65,73.03,5.27,3.95,42.05,11.63,1.72,11.36,74.57,87.94,2.87,,,31.62,,48.86,1.55,42.31,42.95,6.93,12.85,,3.72,1.38,18.1,17.6,1.88,1.02,,,17.6,,6.5,1.08,1.85,0.74,2.41,,3.83,3.64,,3.69,,,34.34,,,10,5725111028.0,Real Estate Investment Trusts,Finance
ADEA,28.16,45.64,,,,,,,13.28,,38.33,0.29,5.6,42.85,1.84,,1.29,0.17,12.28,3,,,33.87,2.68,1.52,,0.19,1.63,15.73,8.66,12.45,,,4.55,4.9,6.36,0.34,38.16,10.24,1.63,8.43,17.95,,,9.05,,2.01,,,12.87,,32.86,3.72,30.7,11.95,3.85,3.87,,,,,10.13,,1.82,,,9.16,13.15,,0.62,,3,4.2,606.5,11.04,13.34,,10.28,,13.93,32.32,,,5,1062196184.9999998,Packaged Software,Technology Services
ADI,35.13,43.49,,30.2,11.6,25.1,26.1,12.4,8.32,17.3,36.32,2.92,12.39,40.69,5.58,,0.79,0.31,218.49,1.69,139.48,41.5,48.27,1.9,0.23,,0.81,1.65,53.61,26.95,39.02,28.03,21.88,10.86,11.85,1.87,0.72,30.39,2.72,1.68,28.96,17.63,12,,151.52,57.85,7.22,,,17.07,,23.16,3.08,65.61,49.62,4.07,11.24,,2.73,1.83,,37,,1.64,,,27.35,34.52,3.35,1.79,,1.24,3.39,48.07,4.69,4.66,,4.47,,1.79,51.29,,,10,90112565563.0,Semiconductors,Electronic Technology
ADM,,32.88,2.6,9.4,7.7,25.1,24.8,,89.18,15,31.54,4.91,,31.53,3.2,,0.04,0.06,51.86,1.44,50.79,24.24,21.73,2.36,0.54,,0.35,3.74,9.22,7.19,11.44,13.78,9.59,0.42,0.41,10.85,0.42,3.56,12.74,3.84,10.24,22.59,,,79.67,7.44,4.48,,,2.93,,3.39,1.12,10.37,9.49,0.52,0.31,,,,,8.67,0.83,0.75,,,5.78,7.48,0.43,1.51,1.63,0.88,4.77,18.59,10.96,10.87,,5.18,,18.86,11.06,,,10,42539663009.00001,Agricultural Commodities/Milling,Process Industries
ADP,26.2,75.47,1.2,,13.8,15.3,15.1,13,13.01,9,86.19,3.16,16.81,79.59,3.11,,0.19,0.79,309.1,1.01,,3.27,65.98,1.56,1.75,,0.59,1.81,23.44,21.25,30.93,23.69,21.88,6.22,6.89,4.27,0.11,22.11,3.24,1.99,31.06,14.82,8.76,7.46,269.11,42.56,9.92,,,20.87,,21.92,23.56,32.99,32.78,2.71,6.89,,1.61,1.77,,31.14,10.55,1.35,,,27.29,44.8,2.62,3.13,76.32,1.01,7.01,518.83,59.25,86.24,,6.18,,1.73,46.41,,,10,101064499899.00002,Data Processing Services,Technology Services
ADSK,33.76,80.04,0.9,25.4,,21.7,23.3,,,14.2,92.58,,29.34,85.38,6.07,,0.43,0.72,310.49,0.64,,94.05,32.85,1.8,1.05,,,,53.05,47.23,63.84,34.78,32.89,9.98,11.8,1.89,0.25,18.45,1.6,,33.83,22.18,11.89,11.59,258.16,90.8,1291,,,18.21,,22.24,27.05,63.49,37.96,0.69,11.59,,,,,62.81,,1.11,,,57.91,150.51,1.52,3.05,,0.64,11,369.7,23.5,57.58,,9.97,,0.46,256.6,,,6,45606470933.0,Packaged Software,Technology Services
ADT,17.01,59.59,,3.7,,,,,,,65.37,2.61,,62.06,0.44,,0.08,0.01,7.65,0.81,70.1,85.15,27.53,4.22,1.98,,0.38,2.61,29.91,7.92,13.2,,5.18,2.88,2.81,3.34,0.24,21.42,16.2,2.87,9.53,6.9,26.05,2.58,6.9,78.76,1.95,,,17.19,,20.04,1.79,7.97,14.69,,1.45,,,,,6.61,,,,,3.96,5.3,,0.61,,0.64,5.45,14.81,3.29,24.01,,10.07,,32.07,,,,3,5285531149.0,Miscellaneous Commercial Services,Commercial Services
ADUS,58.61,48.38,,9.9,,22.2,30.1,,18.33,10.6,49.16,,19.56,48.57,8.67,,1.41,4.48,126.66,2.11,,11.17,35.23,0.41,0.05,,,,20.02,17.7,16.93,13.78,12.39,1.47,1.89,5,0.82,11.15,5.5,,21.8,23.6,12.46,12.34,104.76,32.28,12.12,,,6.5,,9.15,2.42,28.99,24.46,1.31,1.87,,1.01,0.55,,17.1,3.56,1.23,130.73,18.04,15.84,19.63,1.26,1.26,11.63,2.11,6.89,155.12,11.61,9.24,,9.02,,2.88,51.5,,,10,1355869330.0,Medical/Nursing Services,Health Services
AEE,13.35,67.64,,6.5,8,7.3,6.3,10.2,5.28,6.9,79.75,3.96,16.2,71.75,0.9,,,,92.44,0.63,73.28,83.66,27.63,4.31,1.54,,0.61,2.86,21.84,10.11,,19.52,11.23,5.13,5.87,4.58,0.27,,,2.89,18.78,5.78,7.66,3.75,81.94,49.45,2.94,,,15.52,,25.95,2.08,21.75,21.53,3.91,3.39,,1.57,,,,1.44,1.29,,,9.42,,2.07,,2.16,0.41,2.73,5.71,5.17,9.9,,3.91,,,23.34,,,10,21222279644.0,Electric Utilities,Utilities
AEHR,,42.79,,99.7,,,,,52.85,46.7,43.2,,43.81,40.53,10.6,,2.45,5.64,12.25,6.03,461.76,71.29,51.67,0.87,0.06,,,,56.13,44.39,,,,,5.85,1.78,0.84,,,,40.75,,,24.38,20.87,50.48,,,,49.64,,10.43,2.95,12.47,11.21,,6.14,,,,,,1.33,2.3,24.73,5.16,2036.67,20.47,,3.49,3.6,3.24,25.04,13.84,5.89,29.87,,34.92,,,,,,4,1353850723.0,Electronic Production Equipment,Electronic Technology
AEIS,22.21,67.17,0.9,13,,,,,,6.1,76.56,0.34,7.04,71.42,4.53,,2.25,0.99,116.28,4.62,139.39,54.35,65.57,5.33,0.57,,0.11,0.34,79.16,35.46,59.8,,12.08,2.79,2.99,1.26,0.53,5.01,1.68,0.34,23.33,15.11,,,85.61,35.16,2.31,,,2.91,,4.34,3.76,102,31.86,2.38,2.99,,1.63,3.86,,58.96,2.94,1.04,,13.83,33.01,90.92,2.52,1.8,6.08,3.32,1.74,8.27,2.59,3.75,,8.16,,,41.23,,,9,3937546139.0,Electronic Production Equipment,Electronic Technology
AEM,68.85,34.58,,20.5,20.8,11.4,7.9,4,4.55,3.1,18.47,8.9,16.17,27.46,3.19,,0.59,0.61,76.81,1.75,111.46,54.12,0.39,0.48,0.08,,0.47,2.09,21.89,11.98,21.92,12.73,8.8,4.32,5.1,4.57,0.69,23.84,4.83,2.09,16.82,11.65,21.76,11.27,62.17,40.9,27.86,,,13.05,,34.15,1.93,38.41,22.34,0.88,5.06,,,,,21.15,1.57,1.14,,,11.09,24.37,2.48,1.77,2.42,0.83,3.5,8.35,6.58,5.13,,5.69,,2.49,48.92,,,9,24264092594.047283,Precious Metals,Non-Energy Minerals
AEO,10.6,28.69,,10.5,45.5,,,66.4,90.5,5.8,8.66,2.44,,19.86,4.05,,0.24,0.15,17.91,1.57,75.18,28.64,16.47,1.99,0.78,,0.29,2.8,10.67,6.97,15.77,9.08,6.31,0.83,0.85,9.37,0.48,5.42,8.54,2.8,9.22,1.18,11.52,3.39,18.04,39.18,,,,4.58,,8.01,2.03,14.32,10.78,,0.67,,,,,11.92,1.08,0.8,,,7.46,22.01,,1.15,2.41,0.74,7.04,18.72,16.01,14.43,,11.24,,13.07,15.98,,,9,3043221255.9999995,Apparel/Footwear Retail,Retail Trade
AEP,26.45,36.3,,5.1,5.9,3.4,0.9,1.3,4.72,6.7,26.92,5.08,7.25,32.97,0.88,,0.04,0.01,93.49,0.57,84.7,104.49,18.81,5.79,1.66,,0.71,3.83,21.87,12.31,,16.9,10.72,4.25,4.8,4.57,0.27,,,3.99,15.8,1.04,13.07,4.89,93.76,61.23,2.17,,,13.46,,20.61,1.87,18.85,18.77,3.41,2.54,,,,,,1.25,1.08,,,7.74,,,11.01,1.87,0.41,2.7,5.48,4.94,10.22,,4.35,,0.77,19.89,,,10,41234689544.0,Electric Utilities,Utilities
AER,41.04,57.42,,6.4,,,5.5,,3.17,,62.97,0.51,3.43,59.66,0.74,,2.25,0.08,96.33,4.5,5.24,57.13,3.06,10.49,2.89,,0.05,0.51,30.66,13.69,,15.95,9.39,7.73,8.09,3.26,0.23,,,1.02,7.88,,12.44,3.1,84.07,32.61,,,,32.41,,26.37,1.09,7.78,9.89,,2.44,,,,,,0.75,1.43,,,3.45,7.45,,1.61,1.28,4.45,3.53,3.38,2.94,15.15,,2.69,,11.32,15.03,,,8,14432429370.0,Finance/Rental/Leasing,Finance
AES,10.32,27.41,,,5,,6.9,,,7.2,27.11,6.43,,25.66,0.43,,0.16,0.07,13.72,0.85,25.49,94.7,48.4,11.13,8.95,,0.3,5.04,26.14,14.11,,9.96,8.11,2.13,3.04,3.83,0.07,,,5.04,6.74,,6.37,5.03,21.59,19.44,1.43,,,8.34,,17.25,2.96,9.52,5.91,,0.8,,,,,,1.59,0.83,,,4.07,,,,9.59,0.8,2.2,4.62,3.9,35.23,,17.84,,,,,,6,11544405347.0,Electric Utilities,Utilities
AESC,,35.99,,,5,,6.9,,,7.2,31.65,,,33.56,0.43,,0.16,0.07,62.61,0.85,25.49,94.7,48.4,11.13,8.95,,,,26.15,14.11,,,,,3.04,3.82,0.07,,,,6.72,,6.37,5.03,0.0,19.44,1.43,,,8.34,,17.25,3,9.65,5.99,,0.81,,,,,,,,,,4.14,,,,,0.8,2.2,4.62,3.9,35.23,,17.84,,,,,,6,11544405347.0,Electric Utilities,Utilities
AESI,16.39,61.21,,14.3,,129.9,,,49.89,64.1,74.49,4.23,,66.65,2.2,,0.3,0.16,21.33,1.23,16.62,48.15,58.05,2.21,0.47,,0.99,4.23,21.31,12.61,,,6.51,2.39,3.06,4.69,0.53,,,4.49,10.76,,,25.28,0.0,26.47,4.92,,,8.78,,15.35,2.24,27.1,24.66,,2.45,,,,,,1.74,,,,8.4,,,,2.72,1.08,4.84,10.74,8.84,10.25,,8.11,,,,,,3,2304000047.0,Construction Materials,Non-Energy Minerals
