Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,32.59,43.24,1.5,7.9,7.7,13.5,33.2,24.7,58.71,10.5,37.15,1.07,,42.04,5.91,,0.74,0.61,134.09,1.78,125.99,57.06,66.46,1.56,0.5,,0.18,0.71,24.39,21.14,27.96,23.77,20.78,5.8,6.1,4.1,0.54,21.81,3.67,0.71,23.75,15.8,4.77,2.33,134.12,54.39,17.3,,,21.75,,22.9,6.54,27.85,25.76,2.15,6.05,,0.82,1.73,,27.75,5.34,1.2,,,22.01,27.74,1.99,2.06,24.95,1.37,13.03,74.15,18.1,23.78,,16.15,,3.33,43.3,,,10,33913792728.0,Medical Specialties,Health Technology
AA,66.48,60.01,1.4,10.2,,,,,75.95,5.9,53.31,0.97,10.51,58.42,1.48,,0.38,0.45,40.76,1.41,78.33,59.38,26.65,4.45,0.56,,,0.97,989.21,19.51,,7.01,5.1,1.12,1.17,0.1,0.36,,,0.97,12.79,,,4.06,33.76,11.35,1.6,,,,,2.02,2.01,,,,0.74,,,,,,,,,,19.8,,,1.6,2.08,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,65.96,,10.4,,,,,597.78,27,68.17,,,66.23,0.68,,0.33,0.22,13.91,0.57,21.4,22.29,13.62,16.51,,,,,16.85,16.85,,6.23,4.57,0.7,0.75,5.93,,,,,6.89,,,4,16.05,20.34,1.4,,,0.51,,5.17,,42.16,12.8,,0.18,,,,,,,0.45,,,4.03,,,,,0.47,0.43,6.13,5.96,,,2.95,,29.73,12.1,,,8,8696254174.0,Airlines,Transportation
AAON,91.53,80.15,,26.3,8.1,29.5,31.8,,20.3,29.5,89.7,0.35,45.49,83.73,32.65,,,,137.1,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.23,47.14,38.02,111.71,,,,9.51,2.12,0.77,8.52,0.92,0.23,47.5,20.37,19.5,14.8,79.83,35.65,94.37,,,15.78,,20.14,13.98,60.4,60.4,2.41,9.46,,3.27,9.62,,111.29,6.83,1.84,,57.23,47.09,71.76,2.41,9.27,17.46,1.79,19.56,38.79,29.01,25.52,,21.87,,0.45,120.26,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,57.8,3.6,,26,,,,,8.9,75.03,53.66,,65.58,1.71,,0.09,0.12,40.1,1.23,263.29,213.8,27.04,11.12,1.52,,100,2.51,129.64,16.58,16.31,22.1,9.97,0.53,0.51,0.79,0.21,3.13,14.72,2.51,14.66,7.61,82.86,,147.02,39.48,0.41,,,,,0.3,0.92,4012,4012,,0.2,,,,,6.78,20.21,0.19,,,4.41,14.51,,0.35,2.3,0.3,,0.91,0.64,,,0.32,,,5.36,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,22.08,44.05,2.7,,4.9,6.2,6.4,8.6,,5.4,39.5,0.58,24.31,41.25,8.64,,0.37,0.61,224.68,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.44,27.84,25.48,31.53,25.95,23.92,8.21,8.77,3.59,0.16,27.83,3.2,0.45,30.41,18.31,11.69,6.97,187.72,46.21,,,,23.97,,31.51,59.6,36.95,33.29,2.09,8.87,,1.4,1.55,,31.86,9.38,1.95,,,29.3,34.13,2.12,2.48,59.6,0.83,26.93,278.63,59.87,140.28,,32.51,,3.39,48.74,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,44.67,59.29,,,9.7,8.1,22.2,18.4,28.45,8.5,67.51,5.82,21.28,61.52,0.79,,4.87,0.25,28.02,5.78,,148.94,6.31,7.97,1.8,,1.38,4.74,23.12,12.34,24.35,,,,7.22,4.33,0.35,29.66,7.93,4.76,39.01,8.93,,2.94,26.75,63.33,1.92,,,16.36,,28.14,1.44,28.94,28.94,12.58,4.71,,2.51,1.38,11.71,15.87,1.37,0.62,,,10.42,19.28,,1.24,1.46,5.78,2.43,683.81,4.81,6.24,,4.5,,,34.23,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,40.12,27.9,,,7.8,9.6,1.7,7.4,21.19,3.8,10.99,5.73,20.8,21.4,1.98,,0.17,0.1,175.29,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.51,37.59,20.35,26.65,13.58,13.1,6.3,6.68,2.66,0.04,28.13,5.04,3.73,14.48,15.8,7.57,5.47,149.88,67.21,5.43,,,9.22,,26.13,51.43,60.9,16.32,1.05,5.57,,0.6,0.66,,19.92,,1.28,,,18.85,35.12,1.62,1.58,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.51,37.56,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,65.77,,8.7,,,,,,,78.17,,,70.36,1.79,,8.08,9.01,3.03,9.34,,,376.42,,0.07,,,,,,,,,8.29,10.81,,0.77,,,,,,,22.68,1.03,,,,,,,,0.83,,,,26.88,,,,,,,,2.73,2.09,,,,,0.91,9.34,,,,,,,,1.12,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,42.03,,2.2,20.8,5.4,3.2,9.8,60.73,11,45.23,10.98,,42.26,3.64,,0.59,6.19,2.19,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,6.91,8.3,6.23,8.69,8.21,6.3,2,2,12.05,0.67,25.25,11.64,6.91,11.63,16.02,4.12,6.42,2.76,50.98,7.91,,,16.92,,23.87,1.99,12.72,12.43,2.54,2.37,,,,,9.53,1.63,0.45,,,7.53,10.2,1.67,0.7,4.38,0.9,10.03,70.19,19.21,15.52,,15.33,,6.3,12.16,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
