Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
HOLX,,76.26,2.1,25.5,,,,9,4.3,82.69,,2.86,79.59,4.57,,2.43,0.95,82.36,3.99,130.4,37.93,59.66,2.1,0.52,,,,21.54,16.06,19.27,15,14.33,4.69,4.9,4.64,0.56,25.44,5.3,,22.39,25.45,7.26,3.97,70.25,54.43,7.47,,,17.59,,22.16,3.86,28.01,20.07,0.37,4.95,,,,,19.46,4.19,1.26,,329.44,16.77,23.47,1.04,1.2,19.66,3.32,7.87,77.67,11.48,14.23,,13.42,,6.18,28.7,,,8,17589289997.0,Medical Specialties,Health Technology
HON,12.17,38.29,2.2,,4.7,9.5,10.4,,6.1,32.85,2.86,9.96,34.49,3.54,,0.47,0.35,199.72,1.21,96.17,102.28,75.46,2.97,1.65,,0.44,2.12,18.35,16,27.46,17.11,15.07,3.84,4.03,5.45,0.24,14.67,4.22,2.14,20.48,6.93,8.09,6.46,217.12,37.56,8.93,,,15.49,,21,7.65,22.77,20.44,10.22,3.51,,,,,24.09,,1.19,,,20.06,19.93,,2.14,,0.91,9.03,112.58,17.84,34.52,,13.93,,1.43,24.3,,,10,128171109174.99998,Aerospace & Defense,Electronic Technology
HP,,43.55,2.6,,,,,5,19.4,28.67,2.22,,38.57,3.32,,0.63,0.53,34.39,2.12,18.76,27.33,57.26,0.62,0.19,,0.54,5.13,7.78,4.35,16.9,7.5,3.69,1.11,1.41,12.85,0.64,8.37,6.71,4.91,10.2,,,8.14,56.92,25.74,23.96,,,12.72,,15.25,1.19,10.03,10.68,,1.27,,,,,14.96,0.77,0.55,,,4.66,7.02,,0.76,1.23,1.87,7.85,15.21,12.47,12.46,,8.17,,6.07,42.99,,,5,4519929567.0,Contract Drilling,Industrial Services
HPE,18.31,31.54,0.1,9.8,,27.1,37.2,,2,22.97,3.66,34.49,26.72,0.84,,0.11,0.24,17.35,0.9,106.43,144.67,43.8,2.34,0.52,,0.26,2.98,14.55,6.66,10.8,10.74,5.79,1.05,1.13,6.87,0.36,10.47,13.14,3.03,9.32,11.89,,3.6,15.97,34.98,11.91,,,6.38,,7.87,1.04,12.66,9.08,2.21,0.8,,,,,7.73,1.69,,,,4.12,11.21,1.59,0.78,7.08,0.59,3.14,35.62,6.15,8.58,,4.16,,7,13.45,,,9,21898500824.0,Computer Processing Hardware,Electronic Technology
HPK,1.8,37.72,,32.9,,,,,,20.38,0.92,11.41,30.56,1.7,,0.6,0.15,14.09,1.04,6.31,54.99,31.77,1.32,0.73,,0.07,0.92,7.38,3.28,,6.71,3.11,2.61,2.38,13.55,0.51,,,1.11,10.12,,12.95,,44.86,42.36,2.97,,,14.64,,38.86,1.16,11.17,8.94,,1.48,,,,,,0.68,,,,2.4,,,,1.16,1,5.93,14.34,15.91,12.23,,11.87,,,,,,3,2046405836.0000005,Oil & Gas Production,Energy Minerals
HPP,,53.91,2.3,,,4.8,,,8.7,43.06,0.95,,51.42,0.24,,0.56,0.03,5.3,1.86,4.41,,113.1,11.27,1.41,,,1.92,1013.86,14.02,28.65,34.12,10.79,5.49,6.11,0.1,0.39,21.31,26.04,3.74,,38.92,11.43,,10.5,50.85,,,,,,,0.27,,,,0.81,,,0.31,4.48,3.86,,0.15,,,3.69,6.49,,0.14,0.34,1.86,,0.95,0.07,,,,,27.07,,,,8,1004193123.0,Real Estate Investment Trusts,Finance
HPQ,6.78,34.87,8.8,14.1,14.2,13.2,12.5,4,10.4,17.3,6.39,22.24,26.96,1.99,,0.1,0.23,32.75,0.75,63.17,122.2,28.74,2.28,,,0.33,3.32,10.59,8.71,13.4,9.73,8.41,0.75,0.78,9.44,,5.83,9.64,3.37,10.02,27.43,6.04,2.24,29.95,22.11,8.11,,,5.6,,8.12,,11.06,10.02,0.5,0.63,,,,,10.62,,1.08,,,9.02,12.93,0.56,0.59,,0.45,8.1,98.27,32.11,,,13.32,,8.9,10.3,,,10,27019267442.0,Computer Processing Hardware,Electronic Technology
HQY,23.29,33.96,,9.8,,16.8,57.7,26.5,5.8,17.93,,7.32,28.76,3.94,,2.72,0.26,68.02,4.39,,13.33,34.88,3.24,0.47,,,,46.14,22.88,,38.39,,5.93,6.66,2.17,0.65,,,,57.76,10.1,24.02,13.12,81.84,63.48,2.78,,,7.71,,13.93,2.82,73.89,39.55,3.44,5.67,,,,,,,0.49,,,21.41,129.24,4.18,2.6,,4.39,2.58,134.99,4.98,4.03,,4.31,,0.6,147.78,,,8,5910867969.0,Investment Managers,Finance
HR,,60.83,,8.6,1.1,,,,,60.08,7.37,10.29,59.64,0.33,,0.09,0.01,17.45,0.2,,33.79,42.86,10.67,0.84,,,7.08,,23.45,41.68,110.84,13.57,8.58,8.9,,0.52,17.86,4.51,7.08,,3.32,,,18.98,62.66,0.23,,,,,4.15,1.04,,,,4.92,,,,11.42,23.18,,0.63,,,13.02,96.96,,0.95,1.04,0.2,,,,,,0.42,,,49.86,,,9,6348895287.0,Real Estate Investment Trusts,Finance
HRB,62.24,58.47,8.8,,3.7,63.8,65.7,226,18.3,47.51,2.71,16.49,55.88,3.35,,0.64,0.42,54.82,1.02,,34.78,1.62,1.91,,,0.27,2.29,10.41,9.12,13.33,,9.01,2.45,2.52,9.61,,18.91,8.85,2.29,12.32,24.53,9.06,2.04,42.29,45.08,10.5,,,17.87,,23.21,,12.54,11.74,1.12,2.27,,0.82,0.93,,11.63,,1.25,,,10.58,13.34,0.67,1.12,,1.02,21.72,161.96,43.78,,,29.74,,8.77,17.74,,,9,5826937164.0,Other Consumer Services,Consumer Services
HRL,,66.51,,5.9,5.8,,,0.6,7.9,84.74,5.13,1.64,74.35,3.73,,0.65,0.4,32.1,1.73,61.31,26.67,23.32,2.89,0.48,,0.69,3.54,19.18,15.42,20.54,15.88,13.27,1.63,1.69,5.21,0.56,8.21,5.62,3.57,18.83,5.21,5.07,1.57,44.0,16.81,13.17,,,6.37,,8.39,2.23,22.93,19.94,33.23,1.46,,,,,17.79,3.59,0.69,,,13.8,19.18,,1.25,14.52,1,5.65,32.01,9.24,9.86,,6.81,,2.67,16.63,,,10,20897439716.000004,Food: Meat/Fish/Dairy,Consumer Non-Durables
HRMY,,48.77,0.1,68.9,,296.2,120.5,,15.9,29.84,,4.82,43.15,5.18,,2.41,1.96,30.92,3.11,14.41,29.89,39.9,0.8,0.37,,,,7.79,6.99,7.98,,,2.36,2.69,12.84,0.61,33.68,11.84,,15.28,,35.41,19.07,81.66,79.28,7.94,,,22.3,,32.98,3.41,13.39,10.63,,2.99,,,,,8.83,1.47,,42.94,11.89,8.83,24.34,,,4.57,3.07,17.6,22824.94,32.25,28.78,,41.19,,,,,,3,2251205466.0,Pharmaceuticals: Major,Health Technology
HSAI,,36.42,,46.7,,,,7.6,62.3,23.7,,14.62,31.64,1.08,,2.19,4.48,3.83,3.33,178.83,71.91,92.45,,0.17,,,,,,,,104.11,1.51,0.71,,0.68,,,,,,,40.03,0.0,35.31,,,,,,,0.93,,,,1.95,,,,,,,,3.42,1.41,59.89,,,,0.96,2.84,,,,,,,,,,,,,1276686820.0,Aerospace & Defense,Electronic Technology
HSIC,,56.6,3.2,6.4,,9.5,6.7,,9.9,46.27,,,55.03,3.23,,0.07,0.06,69.57,1.75,77.71,38.65,47.01,3.1,0.76,,,,19.13,13.27,24.63,11.42,10.05,0.87,0.94,5.23,0.36,3.8,5.31,,17.9,11.72,17.6,5.97,85.31,31.38,6.31,,,3.12,,5.22,2.48,23.42,19.58,2.88,0.73,,,,,19.31,,0.78,,,13.61,20.44,2.95,0.96,,1.02,4.02,21.77,8.3,10.82,,6.67,,,17.18,,,10,9716800172.0,Medical Distributors,Distribution Services
HSY,,67.53,0.6,23.2,12.2,13,12.5,7.9,11.8,80.04,4.26,,74.25,4.9,,0.12,0.08,196.02,0.86,80.89,49.58,31.6,2.05,1.44,,0.45,2.67,17.78,15.23,32.92,17.68,15.1,3.99,3.99,5.62,0.32,12.57,3.35,2.83,20.5,14.1,2.15,3.2,229.53,45.33,15.09,,,16.76,,23,9.89,19.43,18.3,1.93,3.78,,1.02,1.5,,30.25,,1.1,,,19.16,29.93,2.08,2.52,,0.48,15.34,55.06,26.89,46.43,,20.83,,3.07,29.48,,,10,43420855847.0,Food: Specialty/Candy,Consumer Non-Durables
HTHT,,29.46,0.6,,19.5,,,,19.7,19.22,2.17,0.92,26.01,1.38,,0.5,0.21,28.49,0.7,1.55,23.64,14.74,5.31,2.94,,0.37,2.17,17.16,13.7,16,18.58,14.33,5.04,4.11,5.83,0.2,25.46,8.98,2.2,15.28,2.71,15.22,9.15,59.46,35.34,14.93,,,16.53,,22.25,5.25,17.71,17.27,,3.02,,,,,11.85,5.48,0.5,,,10.12,27.28,,2.2,39.03,0.69,5.88,14.99,11.23,29.27,,6.11,,16.7,101.75,,,7,13056705363.35459,Hotels/Resorts/Cruise lines,Consumer Services
