Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,0.06,49.42,1.5,7.9,7.7,13.5,33.2,24.7,10.5,36.82,1.06,,46.79,6.67,,0.85,0.65,134.7,2.15,117.53,51.55,70.14,1.53,0.41,,0.17,0.7,29.25,24.75,26.95,24.77,21.69,6.08,6.29,3.42,0.57,23.33,3.91,0.71,27.03,15.85,5.44,2.44,135.33,50.63,14.64,,,18.84,,19.54,6.32,31.84,25.32,2.11,5.99,,0.74,1.48,,25.83,4.91,1.19,,,20.95,31.56,1.92,2.03,21.41,1.64,11.49,63.42,15.6,20.99,,14.11,,2.72,44.16,,,10,33913792728.0,Medical Specialties,Health Technology
AA,25.01,23.18,1.4,10.2,,,,,5.9,14.79,1.41,58.12,18.62,1.16,,0.44,0.55,28.44,1.55,79.98,58.53,26.31,10.94,0.65,,,1.41,,37.62,,23.65,8.54,0.85,0.82,,0.27,,,1.41,235.41,,,2.82,39.65,8.14,,,,,,,1.31,,,,0.47,,,,,,,,,,15.44,,,1.25,1.31,0.92,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,27.99,,10.4,,,,,27,17,,,24.39,0.65,,0.34,0.21,9.29,0.6,20.92,21.96,14.01,19.76,,,,,18.7,18.7,,18.89,8.59,0.7,0.7,5.35,,,,,13.37,,,4.05,16.84,20.23,1.4,,,,,5.34,,,9.6,,0.11,,,,,,,0.28,,,3.02,,,,,0.5,,5.17,4.89,,,12.18,,49.41,6.93,,,8,8696254174.0,Airlines,Transportation
AAON,33.22,48.55,,26.3,8.1,29.5,31.8,,29.5,37.41,0.58,21.17,44.57,18.92,,,,85.42,2.99,98.09,12.85,43.47,0.35,0.14,,0.15,0.38,31,25.49,69.74,,,,6.14,3.23,0.73,8.59,1.81,0.38,38.16,20.57,18.4,10.79,78.23,36.27,88.05,,,15.61,,20.32,9.49,39.81,39.81,1.59,5.97,,2.01,4.5,,56.22,4.54,1.18,,45.93,31.54,49.24,1.54,6.28,12.05,1.7,19.5,39.13,29.71,25.86,,21.83,,0.63,78.41,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,40.44,3.6,,26,,,,8.9,28.11,35.49,,37.39,1.29,,0.09,0.11,58.86,1.22,265.7,210.84,26.55,9.72,1.55,,3.26,1.66,71.04,17.5,15.21,19.32,10.51,0.63,0.64,1.41,0.21,4.18,13.43,1.66,16.18,6.57,102.47,1.3,163.68,39.77,1.15,,,0.14,,0.85,1.37,85.3,85.3,,0.3,,,,,7.44,3.66,0.27,,,5.2,11.63,,0.51,3.54,0.29,0.13,1.96,1.42,0.62,,1.21,,,7.71,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,24.37,37.93,2.9,1.3,5.7,20.9,23.2,14.6,15.7,20.53,0.66,20.6,29.5,9.9,,0.47,0.61,209.2,0.95,11.42,91.36,22.13,0.76,1.52,,0.15,0.48,28.18,25.74,32.41,26.1,24.25,8.09,8.86,3.55,0.2,27.06,3.2,0.49,28.19,19.67,10.04,5.41,182.27,45.96,120.35,,,26.44,,31.27,47.78,32.55,32.55,1.93,8.41,,1.22,1.39,,32.05,8.22,1.95,,,28.69,33.56,1.86,2.36,47.76,0.91,29.81,264.82,57.89,151.08,,35.41,,3.34,46.09,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,,53,,,9.7,8.1,22.2,18.4,8.5,36.54,6.67,0.55,47.85,0.72,,1.45,0.07,24.51,2.68,,145.05,6.23,6.61,1.42,,1.49,5.43,23.45,12.36,25.91,,,,7.11,4.26,0.4,31.33,8.18,5.46,39.53,7.31,,2.7,29.11,62.62,1.87,,,15.39,,27.37,1.25,27.54,27.54,11.97,4.2,,2.21,1.23,10.57,15.31,1.24,0.54,,,9.82,19.03,,1.1,1.25,2.68,2.29,610.56,4.65,5.7,,4.29,,3.34,30.64,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,13.21,60.62,,,7.8,9.6,49.1,7.4,3.8,51.68,5.49,,59.06,1.96,,0.44,0.24,184.36,0.94,72.03,65.71,76.29,4.7,9.24,,0.57,3.36,41.73,24.8,17.82,15.77,15,7.03,7.09,2.4,0.05,39.8,6.72,3.4,36.07,23.64,7.37,5.1,142.93,62.76,6,,,9.71,,24.95,40.61,61.45,17.23,1.11,5.93,,0.7,0.45,,14.95,,1.37,,,14.42,21.95,0.95,1.6,,0.83,3.87,188.7,9.07,47.16,,9.28,,4.59,40.17,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,42.25,,8.7,,,,,,28.05,,,39.03,2,,6.66,9.48,2.77,7.76,,,342.96,,0.07,,,,,,,,,8.29,6.54,,0.77,,,,,,,31.92,1.23,,,,,,,,0.72,,,,22.25,,,,,,,,2.23,1.69,,,,,0.84,7.75,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,46.22,,2.2,20.8,5.4,3.2,9.8,11,52.57,11.41,,47.76,3.5,,0.44,4.44,2.09,1.11,98.87,188.94,24.71,0.13,0.04,,0.77,7.18,8.25,6.09,8.59,8.58,6.55,2.06,1.91,12.12,0.66,25.65,12.49,7.18,11.94,15.11,5.39,6.5,2.64,50.83,7.78,,,17.86,,24.2,1.97,11.18,10.72,2.19,2.39,,,,,9.4,1.6,0.43,,,7.34,10.29,1.7,0.7,4.54,0.78,10.57,67.86,19.1,16.5,,16.34,,6.5,11.61,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,1.5,41.07,,50.3,,28.2,37.8,,24,25.12,,6.62,35.25,2.7,,0.01,0.01,230.17,1.06,41.41,16.44,4.01,5.01,1.53,,,,10.32,9.61,100.12,10.89,10.04,0.56,0.64,9.69,0.33,0.62,2.11,,7.95,31.2,,8.9,257.0,18.22,5.43,,,3.68,,6.86,1.39,8.39,7.31,0.23,0.31,,0.21,3.85,,48.09,,1.05,,,14.87,124.88,0.29,0.51,,0.38,6.33,26.89,13.18,17.8,,9.59,,,12.65,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABM,8.54,48.64,2,8.4,5.9,40.8,24.6,,11.1,20.19,2.03,21.74,38.68,3.1,,0.05,0.04,52.76,1.44,,,58.62,2.69,0.76,,0.28,1.66,11.76,9.2,13.74,11.82,9.55,0.57,0.58,8.5,0.37,4.23,10.49,1.67,15.95,26.17,,2.09,50.72,,4.81,,,3.04,,4.88,1.8,13.81,16.8,1.04,0.43,,0.83,0.79,,9.9,,1.06,,,8.5,9.16,0.84,0.91,,1.44,5.04,65.99,10.75,13.69,,7.32,,2.46,26.92,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
ABNB,8.8,22.44,,38.3,,,,,8,7.92,,5.33,15.69,3.75,,0.78,5.4,125.31,1.44,,31.15,7.78,0.93,0.26,,,,33.63,32.91,17.25,21.28,18.26,6.43,7.07,2.97,0.32,40.97,5.27,,27.52,,,11.88,170.02,82.86,20.56,,,48.23,,15.86,10.11,16.78,16.78,,8.04,,,,,19.63,2.89,,,21.28,19.5,14.07,,,11.22,1.44,22.9,794.68,22.38,69.5,,64.25,,3.21,,,,2,92399740712.0,Other Consumer Services,Consumer Services
ABT,,58.44,0.7,6.3,12.3,6.8,6.7,,5.8,58.72,3.64,,59.81,5.24,,0.52,0.49,108.63,1.68,135.1,83.18,58.61,1.42,0.38,,0.48,1.95,28.28,19.42,35.59,21.68,18.72,4.81,4.94,3.54,0.54,13.88,2.99,1.99,31.48,12.95,8.17,6.35,106.35,55.24,10.7,,,13.65,,15.92,4.81,34.27,24.41,2.12,4.66,,0.78,1.59,,33.58,5.01,1.1,,,24.06,44.07,2.51,1.84,23.11,1.18,7.63,64.74,12.05,14.52,,10.37,,3.14,39.65,,,10,176555322492.0,Medical Specialties,Health Technology
ACA,4.53,35.48,,6.9,,13.2,4.1,,5.9,17.35,0.26,1.51,28.79,2.94,,0.24,0.15,76.27,2.31,71.3,47.91,58.17,1.84,0.29,,0.07,0.26,22.03,12.19,273.78,,,1.68,1.89,4.54,0.63,0.67,2.71,0.26,20.82,20.36,,,69.55,19.03,5.57,,,6.05,,7.68,1.54,26.12,27.94,1.38,1.53,,,,,36.92,2.02,,,,16.55,25.53,1.5,1.08,3.45,1.36,4.09,12.41,6.71,6.29,,4.98,,0.65,,,,9,3644941042.999999,Trucks/Construction/Farm Machinery,Producer Manufacturing
ACAD,,57.91,,,,38.8,40.9,46.1,16.4,40.47,,,53.2,2.3,,1.42,7.89,18.41,2.04,155.25,99.1,38.89,9.83,0.13,,,,,443.26,42.22,29.72,48.59,2.87,3.31,,0.54,7.83,2.09,,32.13,,,17.91,33.41,92.27,,,,,,,6.55,,,,3.77,,,,,47.94,,,38.35,10.7,47.94,1673.65,,,8.56,1.86,,,,,,0.28,,,,,,,4047377469.0,Pharmaceuticals: Major,Health Technology
ACHC,,57.4,,12.2,,,16.9,,10.9,60.03,,,59.24,2.23,,0.14,0.04,71.03,1.18,18.83,519.12,44.07,8.34,0.67,,,,90.27,36.42,,14.47,11.5,2.68,2.82,1.11,0.52,,,,20.62,,15.49,9.88,85.81,96.46,5.51,,,,,17.58,2.2,,19.89,,2.15,,,,,,3.05,0.96,,,61.53,,,2.09,10.54,1.17,,3.96,2,,,,,,221.94,,,7,6460318360.000001,Medical/Nursing Services,Health Services
ACI,,50.52,,18.8,33.9,6,,,4.2,51.48,2.45,,51.08,3.6,,0.04,0.02,19.44,0.88,31.49,25.97,3.45,3.24,4.86,,0.18,2.45,13.38,5.82,30.6,11.03,6.16,0.32,0.32,7.47,0.11,1.05,7.37,2.45,9.81,19.56,,1.71,21.8,27.84,3.99,,,1.41,,2.43,3.86,10.13,7.42,0.55,0.15,,,,,13.66,,,,,4.07,12.15,0.82,0.75,,0.21,4.28,12.32,10.22,45.12,,6.91,,4.52,29.91,,,7,13551493187.000002,Food Retail,Retail Trade
ACIW,64.94,60.59,2.6,5.9,,7,21.8,,6.8,50.45,,36.13,57.23,2.79,,0.15,0.15,43.55,1.32,,22.1,60.56,2.39,0.84,,,,21.3,14.24,22.58,,14.59,3.56,3.77,4.69,0.37,16.16,4.49,,29.29,13.76,23.83,6.2,32.39,50.71,3.86,,,12.01,,19.46,3.69,32.26,25.17,2.1,3.1,,1.17,1.83,,22.98,,1.2,,,16.22,20.93,2.22,1.36,,1.32,5.59,174.23,13.31,14.81,,7.6,,3.26,47.34,,,10,2556336665.0,Packaged Software,Technology Services
ACLS,,36.1,0.9,22.7,,62.7,72,31,34.8,32.03,,8.92,33.26,8.68,,2.25,12.33,109.43,4.42,179.55,30.91,63.45,0.15,0.05,,,,10.49,10.11,19.41,,11.25,2.98,2.67,9.53,0.73,13.75,4.05,,17.27,23.29,,,121.91,44.63,48.8,,,21.54,,23.4,3.81,15.05,15.05,0.31,3.23,,,,,25.01,1.6,1.51,18.33,4.92,20.95,25.05,0.6,1.59,3.82,3.26,19.31,74.1,28.93,28.19,,33.01,,1.7,36.79,,,9,5489377800.999999,Industrial Machinery,Producer Manufacturing
ACLX,54.88,38.24,,,,2.6,0.1,,,15.15,,,29.16,6.27,,5.32,6.57,51.09,5.46,,,75.9,,0.18,,,,,,,,,15.82,18.78,,0.64,,,,,,,8.1,0.0,,,,,,,,5.48,,,,19.34,,,,,,,,9.36,8.9,,,,,5.48,5.46,,,,,,,,,,,,,1598748014.0,Biotechnology,Health Technology
ACM,,43.47,4.6,,,0.1,22.9,46.8,7.7,24.84,0.98,,38.23,2.15,,0.19,0.44,86.64,1.06,,54.74,60.22,4.7,1.23,,0.15,0.98,33.83,23.51,19.64,12.67,11.04,1.73,0.88,2.96,0.19,4.48,5.84,1.03,17.93,7.04,13.08,6.91,95.52,6.56,4.98,,,,,5.49,5.35,,22.83,8.15,0.76,,,,,17.41,,1.8,,,14.97,63.01,,1.7,,1.06,,45.39,7.23,,,9.55,,4.54,137.52,,,7,11643339642.999998,Engineering & Construction,Industrial Services
ACVA,9.07,33.04,,,,,,,30.6,15.09,,29.78,26.09,2.64,,0.79,2.73,15.15,1.62,,502.91,127.4,,0.27,,,,,,,,,3.92,4.74,,0.44,,,,502.16,,,28.84,17.12,50.08,,,,,,,5.45,,,,4.79,,,,,,,,,22.61,,,,,16.47,1.62,,,,,,,,,,,,,2506975976.0,Internet Retail,Retail Trade
ADBE,9.77,36.42,1.7,9.4,,17.7,14.1,11.4,16.8,20.84,,,28.96,12.34,,0.85,1.32,509.34,1.16,,49.57,33.69,0.82,0.41,,,,35.21,31.11,36.33,20.98,19.6,9.68,11.33,2.84,0.5,31.17,2.82,,31.8,20.72,13.83,11.16,582.46,88.24,58.8,,,24.86,,35.4,15.41,45.76,29.41,1.37,11.33,,0.85,1.06,,36.48,16.44,0.89,,,35.29,51.87,1.61,2.33,206.21,1.16,17.46,275.62,32.26,32.8,,22.15,,2.55,67.1,,,10,241068062221.0,Packaged Software,Technology Services
ADC,,76.53,,5.9,6.7,5.7,1.7,14.6,5.9,75.85,5.77,8.14,77.4,1.64,,0.07,,71.07,0.9,,535.71,52.31,5.24,0.52,,1.65,4.21,35.14,19.68,24.57,32.45,19.77,17.31,17.2,2.85,0.65,69.98,5.71,4.25,39.99,11.75,2.82,9.74,73.81,87.98,3.02,,,32.09,,48.78,1.43,39.48,39.55,6.38,12.15,,3.17,1.26,17.13,17.34,1.74,0.98,,,17.34,,6.03,1.04,1.72,0.9,2.43,,3.76,3.63,,3.67,,,31.87,,,10,5725111028.0,Real Estate Investment Trusts,Finance
ADEA,,29.42,,,,,,,,13.09,0.36,,22.56,1.65,,0.96,0.16,9.93,2.23,,,36.57,2.76,1.59,,0.26,2,15.09,7.98,11.37,,,4.02,4.53,6.63,0.32,39.85,13.12,2,26.13,21.55,,,7.96,,1.81,,,11.06,,31.03,3.07,29.21,12.83,4.14,3.19,,,,,7.91,,1.49,,,7.14,10.1,,0.51,,2.23,3.51,616.28,10.4,11.57,,9.33,,17.24,26.13,,,5,1062196184.9999998,Packaged Software,Technology Services
ADI,22.59,32.28,,30.2,11.6,25.1,26.1,12.4,17.3,19.12,3.17,19.91,26.97,5.28,,0.72,0.29,200.57,1.58,139.52,42.88,48.16,1.69,0.23,,0.58,1.79,42.23,22.9,35.56,22.76,19.01,10.03,10.41,2.37,0.72,29.28,3.08,1.85,38.56,18.4,15.55,,158.32,59.84,9.13,,,20.45,,25.76,2.82,46.86,32.99,2.7,9.59,,1.66,1.48,,32.69,,1.42,,,23.45,29.21,2.14,1.62,,1.13,4.37,59.43,5.61,6,,5.53,,2.51,47.3,,,10,90112565563.0,Semiconductors,Electronic Technology
ADM,,31.77,2.6,9.4,7.7,25.1,24.8,,15,11.81,4.28,15.86,23.51,3.26,,0.04,0.06,58.18,1.44,50.79,24.24,21.73,2.36,0.54,,0.35,3.26,10.02,7.82,12.43,11.97,8.79,0.44,0.44,9.98,0.42,3.56,11.36,3.44,11.1,22.3,,,78.07,7.44,4.48,,,2.93,,3.39,1.26,11.64,10.64,0.58,0.34,,,,,9.71,0.93,0.84,,,6.49,8.38,0.48,1.69,1.83,0.88,4.77,18.59,10.96,10.87,,5.18,,16.67,12.41,,,10,42539663009.00001,Agricultural Commodities/Milling,Process Industries
ADP,,62.94,1.2,,13.8,15.3,15.1,13,9.9,55.28,3.65,,62.81,2.58,,0.06,0.79,258.14,1.01,,2.97,62.22,0.64,0.82,,0.59,2.09,20.7,18.69,30.14,20.27,17.28,5.35,5.64,4.83,0.08,18.72,3.41,2.15,25.75,14.63,8.2,5.15,265.05,45.44,13.74,,,19.54,,25.85,23.17,28.34,28.12,2.32,5.5,,1.26,1.54,,29.56,12.39,1.16,,,25.56,45.15,2.35,2.53,122.92,1.01,6.8,497.94,59.7,91.62,,7.52,,3.12,39.84,,,10,101064499899.00002,Data Processing Services,Technology Services
ADSK,22.97,34.18,0.9,25.4,,21.7,23.3,,14.2,17.85,,,26.63,4.52,,0.49,0.76,225.66,0.69,,89.81,32.86,1.93,1.21,,,,41.72,37.23,50.64,38.99,35.34,8.34,8.94,2.4,0.22,17.66,2.05,,45.94,22.96,11.13,11.1,256.28,90.77,1210,,,17.66,,21.44,22.5,48.86,28.43,0.52,8.62,,,,,48.97,,0.83,,,45.05,142.15,1.14,2.42,,0.69,10.57,330.24,22.42,65.58,,9.75,,0.76,205.2,,,6,45606470933.0,Packaged Software,Technology Services
ADUS,25.48,44.69,,9.9,,22.2,30.1,,10.6,25.61,,32.12,38.01,6.41,,0.54,0.51,117.73,1.35,,11.08,38.32,1.34,0.21,,,,23.01,20.1,18.43,19.5,17.11,1.98,2.07,4.35,0.72,11.22,5.73,,26.49,23.74,12.15,11.93,108.53,32.14,8.42,,,6.04,,8.83,2.66,29.21,24.78,1.33,1.82,,0.93,0.46,,15.78,,1.18,,,14.54,16.77,1.2,1.24,,1.35,6.66,133.37,11.51,9.57,,8.9,,1.41,51.4,,,10,1355869330.0,Medical/Nursing Services,Health Services
AEE,,66.66,,6.5,8,7.3,6.3,10.2,6.9,58.67,4.49,3.65,65.64,0.87,,0.01,,80.19,0.67,74.06,86.49,26.35,5.01,1.54,,0.61,3.25,20.53,11.48,,20.82,11.65,5.01,5.48,4.87,0.27,,,3.37,18.42,0.8,7.48,4.38,81.13,50.31,2.97,,,16.28,,25.8,1.85,18.43,19.2,3.49,2.93,,1.29,,,,1.26,1.15,,,8.49,,2.74,,1.92,0.45,2.88,5.92,5.36,10.43,,3.89,,,20.4,,,10,21222279644.0,Electric Utilities,Utilities
AEHR,,46.1,,99.7,,,,,46.7,29.78,,,39.82,17.09,,4.68,7.93,15.01,9.31,357.33,69.43,54.67,0.54,0.06,,,,37.94,33.42,379.74,,,,5.77,2.64,0.87,1.52,0.23,,,,,24.21,24.27,49.15,,,,50.07,,15.22,3.9,13.4,12.51,,6.67,,,,,484.25,1.47,2.69,13.28,5.34,258.75,22.43,,4.77,3.9,5.75,31.03,24.62,10.7,37.59,,56.45,,,,,,4,1353850723.0,Electronic Production Equipment,Electronic Technology
AEIS,,36.14,0.9,13,,,,,6.1,24.56,0.41,1.27,31.55,3.59,,3.21,0.97,97.66,5.47,137.27,54.32,63.98,5.91,0.88,,0.1,0.41,36.66,22.35,34.58,,12.08,2.65,2.56,2.73,0.46,7.41,3.03,0.41,64.64,22.18,,,86.79,35.21,3.81,,,6,,5.38,3.16,40.78,24.77,1.85,2.46,,1.16,1.98,,32.94,2.38,0.86,,12.22,21.63,39.9,1.27,1.48,5.14,4.22,3.75,15.66,5.02,7.97,,7.79,,,33.86,,,9,3937546139.0,Electronic Production Equipment,Electronic Technology
AEM,43.74,51.19,,20.5,20.8,11.4,7.9,4,3.1,34.41,9.28,47.01,45.38,2.94,,0.52,0.47,73.17,1.51,106.42,52.57,0.4,0.72,0.1,,0.67,2.18,38.3,15.11,29.88,13.27,8.21,4.85,5.55,2.61,0.68,18.06,2.91,2.18,22.83,19.45,11.62,5.97,55.54,36.6,20.97,,,8.56,,29.57,1.85,77.02,30.6,1.2,5.1,,,,,35.29,1.69,1.18,,,12.49,37.12,1.58,1.8,2.34,0.76,2.16,5.78,4.54,3.17,,4.24,,1.92,50.12,,,9,24264092594.047283,Precious Metals,Non-Energy Minerals
AEO,26.13,41.26,,10.5,45.5,,,66.4,5.8,24.83,2.11,,36.77,4.16,,0.39,0.23,19.78,1.7,75.33,27.97,17.12,2.06,0.75,,0.3,2.42,12.37,7.82,12.82,10.25,7.04,0.92,0.93,8.08,0.49,7.25,9.94,2.57,11.07,0.74,11.53,3.69,17.78,38.98,418.66,,,4.12,,7.48,2.22,17.82,13.01,,0.72,,,,,10.01,1.23,0.9,,,7.1,17.62,,1.3,2.62,0.81,6.29,17.29,14.86,12.87,,10.26,,12.89,18.31,,,9,3043221255.9999995,Apparel/Footwear Retail,Retail Trade
AER,46.04,30.09,,6.4,,,5.5,,,13.16,0.3,19.92,22.34,0.75,,0.89,0.03,86.24,3.42,5.35,58.48,3.06,9.64,2.69,,,0.3,27.71,12.99,,15.95,9.39,7.73,7.93,3.61,0.24,,,1.15,10.01,,9.73,2.97,76.44,34.83,,,,42.04,,28.67,0.99,5.7,8.84,,2.34,,,,,,0.66,1.34,,,3.29,5.1,,1.53,1.16,3.38,4.6,3.68,3.2,19.62,,2.94,,17.22,13.39,,,8,14432429370.0,Finance/Rental/Leasing,Finance
AES,,34.75,,,5,,6.9,,7.2,20.44,5.36,7.27,30.21,0.51,,0.19,0.06,16.29,0.97,26.58,87.18,46.9,10.74,9.24,,0.33,4.2,26.61,14.8,,19.88,11.96,3.05,3.11,3.76,0.07,,,4.2,6.3,,6.88,3.01,22.68,20.79,1.61,,,6.07,,18.51,3.74,22.63,7.99,,0.93,,,,,,2.1,0.98,,,4.57,,,,13.35,0.91,1.68,4.94,4.08,27.42,,,,,,,,6,11544405347.0,Electric Utilities,Utilities
AESC,,35.72,,,5,,6.9,,7.2,31.65,,,33.54,0.51,,0.19,0.06,62.61,0.97,26.58,87.18,46.9,10.74,9.24,,,,26.61,14.8,,,,,3.11,3.76,0.07,,,,8.98,,6.88,3.01,0.0,20.79,1.61,,,6.07,,18.51,3.94,23.79,8.4,,0.98,,,,,,,,,,4.83,,,,,0.91,1.68,4.94,4.08,27.42,,,,,,,,6,11544405347.0,Electric Utilities,Utilities
AESI,,35.87,,14.3,,129.9,,,64.1,21.57,4.6,21.21,30.67,2.29,,0.98,0.39,18.13,2.24,22.42,62.54,60.37,1.7,0.45,,0.42,4.6,10.27,8.38,,,6.6,2.14,3.63,9.74,0.55,,,4.86,10.66,,39.54,33.85,0.0,45.95,25.04,,,19.98,,35.36,1.87,10.09,10.09,,2.09,,,,,,1.02,,,,4.5,,,,2.3,2.05,9.67,25.04,18.9,32.76,,20.13,,,,,,3,2304000047.0,Construction Materials,Non-Energy Minerals
AFRM,71.06,37.2,,,,,,5.8,30.4,28.37,,,33.44,1.38,,14.67,0.32,24.55,56.68,,15.45,40.55,,2.44,,,,,,44.14,21.35,24.09,4.48,5.84,,0.29,13.24,3.68,,,,33.19,27.21,40.81,59.46,,,,,,,2.89,,,,3.55,,,,,27.18,,,,5.57,17.79,,,,3.65,56.68,,,,,,,,,,,,,7293861260.0,Finance/Rental/Leasing,Finance
AFYA,10.19,45.01,1.2,12.1,,32.7,10.6,54.7,37.5,27.66,,,39.78,2.29,,0.62,0.23,16.88,1.28,1.55,144.86,62,2.26,0.7,,,,10.63,7.89,11.11,13.17,10.07,3.85,3.12,9.41,0.5,28.12,11.42,,13.54,25.84,37.44,6.93,19.98,61.88,2.28,,,16.04,,27.76,1.98,15.82,18.05,0.43,2.6,,,,,9.22,,,,,6.9,14.46,0.72,0.91,,1.28,6.21,64.41,13.31,13.65,,11.44,,,,,,7,1469574000.0000002,Other Consumer Services,Consumer Services
AG,5.44,27.58,,9.1,,,,,8,13.73,0.39,39.13,21.6,1.34,,1.88,0.82,4.82,3.05,49.42,37.39,6.56,4.11,0.19,,,0.39,,27.03,,,,3.15,2.99,,0.69,,,0.39,,18.45,,5.53,5.78,8.95,,,,,,,1.06,,,,2.79,,,,,,,0.71,,,20.51,,,4.08,1.06,2.44,,,,,,,,,,,,2,1664184423.375635,Precious Metals,Non-Energy Minerals
AGCO,,28.94,0.2,16.3,20.1,25.7,36.4,,16.7,14.14,2.46,,23.62,2.37,,0.15,0.16,87.64,1.52,134.68,45.83,43.28,4.56,1,,0.09,1.32,17.89,11.36,11.72,11.75,9.64,0.8,0.75,5.59,0.3,6.4,13.14,1.32,24.26,27.14,,,130.61,26.24,14.69,,,3.13,,10.32,1.61,15.65,6.96,0.28,0.49,,,,,7.62,1.49,0.78,,,4.91,11.81,0.29,0.76,7.17,0.72,3.43,14.41,7.05,9.57,,13.45,,,13.57,,,10,9201222919.0,Trucks/Construction/Farm Machinery,Producer Manufacturing
AGI,41.99,51.81,,2,17.3,10.3,15.9,23.9,12.4,45.32,2.89,34.61,49.52,4.41,,1.73,956.31,16.94,3.04,140.5,93.05,12.32,,,,0.19,0.6,23.21,14.07,38.55,,,5.4,6.6,4.31,0.74,16.32,1.94,0.6,24.3,17,20.07,13.74,14.12,40.19,749.09,,,17.74,,33.47,2.23,32.58,31.9,1.83,6.18,,,,,50.6,1.77,1.58,,,12.8,25.88,1.94,2.31,2.23,1.97,5.01,10.11,9.2,6.81,,6.38,,0.42,,,,5,4919131767.945206,Precious Metals,Non-Energy Minerals
AGIO,67.52,39.22,6.9,36,,,,,,13.78,,79.73,29.44,12.22,,11.57,8.75,42.54,12.84,2136.75,1346.67,28.47,,0.09,,,,,,,,,36.26,67.05,,0.88,,,,,,,103.96,0.0,89.95,,,,,,,3.25,,,,81,,,,,,,,4.91,4.33,,,,,3.24,12.39,,,,,,,,0.53,,,,1,1454238439.0,Pharmaceuticals: Major,Health Technology
AGL,,45.17,,,,,,,49.4,31.76,,2.58,40.62,2.2,,0.27,8.74,6.46,1.33,,94.58,95.84,,0.07,,,,,,,,,0.36,0.47,,0.3,,,,,,,27.87,56.36,1.41,,,,,,,3.85,,,,0.56,,,,,,,,,6.46,,,,,4.49,1.33,,,,,,,,7.67,,,,,7602789688.0,Medical/Nursing Services,Health Services
AGR,1.26,53.14,,1.1,,,4.2,,1.7,47.34,4.96,16.44,53.21,0.61,,0.02,0.01,35.65,0.52,31.81,110.69,62.6,5.38,0.7,,0.7,4.94,20.61,10.68,,23,11.44,3.25,3.22,4.85,0.44,,,4.94,15.99,,10.44,1.66,45.29,35.49,2.48,,,11.35,,13.34,0.69,14.09,14.09,,1.61,,,,,,0.72,,,,16.68,,,6.66,0.84,0.44,2.23,4.05,3.5,4.96,,2.52,,,11.92,,,10,13401612433.0,Electric Utilities,Utilities
