Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,2.82,49.99,,1.5,7.9,7.7,13.5,33.2,24.7,58.71,10.5,65.14,1.07,,54.22,5.91,,0.74,0.61,134.49,1.78,125.99,57.06,66.46,1.56,0.5,,0.18,0.71,24.36,21.11,27.95,23.77,20.78,5.8,6.1,4.11,0.54,21.81,3.67,0.74,23.76,15.8,4.8,2.36,134.39,54.39,17.3,,,21.75,,22.9,6.55,27.9,25.81,2.15,6.04,,0.83,1.74,,27.78,1,5.36,1.2,,,22.06,27.78,1.99,2.07,25,1.37,13.03,74.15,18.1,23.78,,16.15,,3.35,43.38,,,10,33913792728.0,Medical Specialties,Health Technology
AA,56.63,61.37,21.17,1.4,10.2,,,,,75.95,5.9,61.72,0.85,,61.78,1.49,,0.38,0.45,47.22,1.41,78.33,59.38,26.65,4.45,0.56,,,0.85,1028.26,20.28,,7.29,5.3,1.16,1.21,0.1,0.36,,,0.85,14.77,,,4.06,32.97,11.35,1.6,,,,,2.02,2.32,,,,0.82,,,,,,1.43,,,,,22.89,,,1.85,2.41,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,6.82,63.36,26.56,,10.4,,,,,597.78,27,61.07,,,62.49,0.68,,0.33,0.22,14.92,0.57,21.4,22.29,13.62,16.51,,,,,16.92,16.92,,6.25,4.59,0.71,0.75,5.91,,,,,7.3,,,4.01,16.15,20.34,1.4,,,0.51,,5.17,,45.21,13.73,,0.19,,,,,,0.92,,0.48,,,4.34,,,,,0.47,0.43,6.13,5.96,,,2.95,,29.26,12.97,,,8,8696254174.0,Airlines,Transportation
AAON,74.2,69.69,17.6,,26.3,8.1,29.5,31.8,,20.3,29.5,74.76,0.35,42.08,70.79,31.96,,,,137.59,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.23,46.06,37.16,109.1,,,,9.29,2.17,0.77,8.52,0.92,0.23,46.72,20.37,19.72,15.07,79.8,35.65,94.37,,,15.78,,20.14,14.03,60.61,60.61,2.41,9.48,,3.29,9.68,,111.71,1.72,6.87,1.85,,57.57,47.24,71.98,2.42,9.33,17.53,1.79,19.56,38.79,29.01,25.52,,21.87,,0.47,120.69,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAPL,21.81,54.83,2.01,2.7,,4.9,6.2,6.4,8.6,,5.4,67.27,0.56,21.81,58.55,8.81,,0.37,0.61,232.87,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.43,28.54,26.11,32.32,26.59,24.51,8.42,8.99,3.5,0.16,27.83,3.09,0.44,31.49,18.25,11.49,6.89,187.77,46.21,,,,23.97,,31.51,61.77,38.3,34.5,2.17,9.17,,1.45,1.61,,33.01,1.24,9.74,2.02,,,30.38,35.39,2.2,2.57,61.77,0.83,26.93,278.63,59.87,140.28,,32.51,,3.31,50.51,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
ABBV,35.47,43.09,,,,7.8,9.6,1.7,7.4,21.19,3.8,62.43,5.68,19.6,47.07,1.8,,0.17,0.1,177.06,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.48,38.16,20.66,24.1,13.74,13.25,6.37,6.78,2.62,0.04,28.13,4.99,3.68,14.59,16.52,7.63,5.52,150.08,67.21,5.43,,,9.22,,26.13,51.92,61.48,16.47,1.06,5.65,,0.6,0.66,,20.1,1.18,,1.29,,,19.02,35.43,1.63,1.59,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.64,37.91,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,50.74,4.21,,8.7,,,,,,,53.01,,,50.51,1.82,,8.08,9.01,2.95,9.34,,,376.42,,0.07,,,,,,,,,8.29,7.39,,0.77,,,,,,,,1.02,,,,,,,,0.81,,,,26.1,,,,,,2.89,,,2.66,2.03,,,,,0.89,9.34,,,,,,,,1.1,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,43.93,,,2.2,20.8,5.4,3.2,9.8,60.73,11,51.95,11.01,,45.78,3.67,,0.59,6.19,2.17,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,6.93,8.23,6.18,8.82,8.34,6.4,2.03,1.98,12.15,0.67,25.25,11.74,6.93,11.54,15.91,3.83,6.46,2.76,50.98,7.91,,,16.92,,23.87,2.01,12.62,12.33,2.52,2.44,,,,,9.62,0.79,1.66,0.46,,,7.62,10.28,1.68,0.7,4.43,0.9,10.03,70.19,19.21,15.52,,15.33,,6.27,12.06,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,6.25,62.37,,,50.3,,28.2,37.8,,8.08,24,65.43,,,63.4,2.79,,0.03,0.01,266.82,1.2,48.06,16.14,4.32,6.36,1.52,,,,13.92,12.65,38.99,11.87,10.82,0.57,0.62,7.18,0.33,1.58,4.98,,9.77,30.18,,6.16,262.27,17.41,3.89,,,2.16,,5.9,1.55,15.1,9.91,0.31,0.33,,0.32,1.75,,20.2,1.02,,1.14,,,10.67,90.38,0.4,0.55,,0.41,3.64,17.42,9.79,10.8,,7.97,,,14.15,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABM,27.97,59.84,,2,8.4,5.9,40.8,24.6,,23.18,11.1,66.76,1.92,12.55,61.37,2.98,,0.07,0.06,57.36,1.38,,,56.6,3.53,0.8,,0.26,1.57,16.2,11.94,18.1,12.3,9.93,0.59,0.6,6.17,0.36,3.3,7.58,1.57,15.66,25.92,,1.62,51.51,,3.58,,,1.89,,3.62,1.96,23.7,16.53,1.03,0.44,,0.89,1.17,,13.47,1.11,,1.12,,,10.96,16.6,0.83,0.99,,1.38,3.14,55.18,8.09,8.51,,4.97,,3.18,29.72,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
