Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
AA,13.3,45.04,1.4,10.2,,,,,5.9,35.71,1.01,32.23,41.71,1.07,0.45,0.53,38.95,1.61,83.25,57.67,25.57,134.11,0.64,,,1.01,,432.9,,22.19,8.01,0.8,0.78,,0.28,,,1.01,329.57,,,3.32,40.02,6.37,,,,,,1.75,,,,0.67,,,,,,,,,,215.34,,,1.76,1.83,0.93,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,30.57,,10.4,,,,,27,27.42,,,29.78,0.66,0.33,0.21,10.68,0.58,20.92,21.48,13.98,14.34,,,,,13.89,13.89,,11.78,6.85,0.7,0.73,7.2,,,,,4.84,,20.05,4.55,18.67,21.59,1.73,,0.94,,6.83,,17.8,5.81,,0.14,,,,,,,0.31,,,2.65,,,,,0.48,0.76,7.26,6.75,,,3.98,,41.38,7.74,,,8,8696254174.0,Airlines,Transportation
AAP,,45.75,3.6,,26,,,,8.9,62.34,33.78,5.92,50.79,1.29,0.09,0.11,62.92,1.22,265.7,210.84,26.55,9.72,1.55,,3.26,1.58,71.45,17.6,15.3,19.43,10.57,0.64,0.64,1.4,0.21,4.18,12.56,1.58,17.32,6.45,102.47,1.3,163.68,39.77,1.15,,0.14,,0.85,1.46,91.19,91.19,,0.34,,,,,7.94,3.92,0.29,,,5.54,12.38,,0.55,3.78,0.29,0.13,1.96,1.42,0.62,,1.21,,,8.25,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,12.28,68.37,2.9,1.3,5.7,20.9,23.2,14.6,15.7,60.68,0.59,14.6,66.72,10.3,0.54,0.64,230.63,1.04,11.92,90.05,21.43,0.8,1.41,,0.15,0.43,29.39,26.85,34.61,27.27,25.29,8.44,9.24,3.4,0.22,26.71,2.88,0.44,31.04,20.16,9.92,5.23,179.26,45.59,59.12,,26.31,,30.98,47.63,35.85,35.85,2.12,9.4,,1.48,1.68,,35.31,8.72,2.33,,,32.54,38.08,2.02,2.69,47.63,0.99,29.34,262.55,56.47,150.79,,34.83,,2.95,52.16,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,3.16,69.13,,,9.7,8.1,22.2,18.4,8.5,84.82,6.98,,75.78,0.67,0.98,0.06,23.59,2.06,,143.65,6.4,6.71,1.43,,1.49,5.68,22.36,11.86,24.77,,,,6.81,4.47,0.4,27.51,8.5,5.72,,7.74,,2.41,29.16,62.64,1.88,,15.46,,27.6,1.2,26.51,26.51,11.53,3.86,,2.3,1.28,9.97,14.1,1.2,0.52,,,9.02,17.53,,1.06,1.22,2.06,2.29,612.23,4.67,5.68,,4.28,,3.74,29.49,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,23.05,55.65,,,7.8,9.6,49.1,7.4,3.8,65.85,5.86,2.27,57.7,1.82,0.44,0.24,170.28,0.94,71.9,58.89,77.13,4,9.24,,0.55,3.59,36.1,19.24,16.26,13.93,13.47,6.45,6.54,2.77,0.05,40.24,7.28,3.66,15.07,24.32,6.92,5,142.1,62.28,5.83,,11.02,,24.96,37.51,50.53,15.54,1,5.53,,0.7,0.45,,13.72,,1.26,,,13.23,20.15,0.88,1.48,,0.83,4.34,199,9.56,52.94,,9.67,,5.1,37.1,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,51.24,,8.7,,,,,,78.72,,,61.53,2.11,6.66,9.48,3.12,7.76,,,342.96,,0.07,,,,,,,,,8.29,8.23,,0.77,,,,,,,31.92,1.22,,,,,,,0.81,,,,25.25,,,,,,,,2.52,1.9,,,,,0.95,7.75,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,54.23,,2.2,20.8,5.4,3.2,9.8,11,79.82,11.14,,64.83,3.46,0.4,3.65,2.15,0.99,102.26,192.59,24.29,0.15,0.04,,0.77,7.01,8.59,6.34,8.5,8.34,6.34,2,1.99,11.64,0.65,25.4,12.14,7.01,12.53,14.69,5.25,6.19,2.95,50.66,6.83,,18.25,,23.83,2.11,11.5,11.03,2.25,2.32,,,,,9.1,1.64,0.42,,,7.07,10.24,1.76,0.69,5,0.7,10.77,64.69,18.64,17.03,,17.22,,6.48,11.32,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,,65.25,,50.3,,28.2,37.8,,24,82.01,,15.98,72.2,2.71,0.01,0.01,247.98,1.06,41.41,16.44,4.01,5.01,1.53,,,,10.49,9.77,101.8,11.07,10.2,0.57,0.65,9.53,0.33,0.64,1.96,,8.36,30.82,,8.89,254.32,18.22,5.43,,3.68,,6.86,1.49,9.04,7.88,0.25,0.33,,0.25,4.49,,51.84,,1.14,,,16.02,134.52,0.32,0.55,,0.38,6.33,26.89,13.18,17.8,,9.59,,,13.63,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABM,20.5,56.19,2,8.4,5.9,40.8,24.6,,11.1,63.69,2.11,21.84,56.67,3.05,0.05,0.04,51.28,1.44,,,58.62,2.69,0.76,,0.28,1.73,11.1,8.69,12.98,11.17,9.02,0.54,0.55,9.01,0.37,4.23,10.79,1.74,13.97,26.69,,2.09,50.6,,4.81,,3.04,,4.88,1.75,13.42,16.33,1.01,0.4,,0.88,0.83,,9.64,,1.03,,,8.29,8.92,0.82,0.89,,1.44,5.04,65.99,10.75,13.69,,7.32,,2.7,26.16,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
