Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
ABNB,8.98,39.88,,38.3,,,,,8,18.66,,8.88,32.89,4.29,0.78,5.4,146.83,1.44,,31.15,7.78,0.93,0.26,,,,38.87,38.04,20.82,25.02,21.11,7.48,8.17,2.57,0.32,40.97,4.5,,33.62,,,11.92,168.3,82.86,20.56,,48.23,,15.86,11.84,19.65,19.65,,9.43,,,,,23.09,3.39,,,24.92,22.97,16.59,,,13.14,1.44,22.9,794.68,22.38,69.5,,64.25,,2.71,,,,2,92399740712.0,Other Consumer Services,Consumer Services
ABT,,51.47,0.7,6.3,12.3,6.8,21.3,,5.8,61.84,3.77,,54.48,5.01,0.47,0.46,104.22,1.6,135.43,83.91,57.68,1.4,0.38,,0.47,2.02,26.41,18.18,38.43,20.42,17.71,4.52,4.69,3.79,0.54,12.21,2.72,2.11,22.45,14.79,8.71,6.26,107.58,55.1,10.17,,13.96,,15.76,4.67,32.47,23.74,2.06,4.55,,0.87,1.92,,37.03,5.18,1.09,,,25.49,41.61,2.07,1.74,25.42,1.11,7.71,67.68,12.14,14.89,,10.32,,3.26,38.74,,,10,176555322492.0,Medical Specialties,Health Technology
ACA,11.25,58.58,,6.9,,13.2,4.1,,5.9,79.26,0.23,7.64,65.82,3.2,0.41,0.29,86.7,2.28,70.68,47.28,58.62,1.66,0.26,,0.07,0.23,22.57,12.49,45.42,,,1.72,1.94,4.43,0.65,4.27,2.39,0.23,25.5,22.84,,,68.59,18.95,6.11,,6.05,,7.6,1.77,29.69,31.76,1.57,1.76,,,,,40.56,2.3,,,,12.98,18.47,1.6,1.17,3.75,1.36,4.04,12.16,6.5,6.18,,4.91,,2.62,,,,9,3644941042.999999,Trucks/Construction/Farm Machinery,Producer Manufacturing
ACAD,,71.76,,,,38.8,40.9,46.1,16.4,87.58,,,78.9,2.01,1.42,7.89,17.76,2.04,155.25,99.1,38.89,9.83,0.13,,,,,412.8,39.32,27.68,45.25,2.67,3.08,,0.54,7.83,2.17,,37.03,,,18.05,32.98,92.27,,,,,,6.32,,,,3.58,,,,,46.3,,,37.02,10.33,46.3,1615.43,,,8.27,1.86,,,,,,0.28,,,,,,,4047377469.0,Pharmaceuticals: Major,Health Technology
ACHC,,50.22,,12.2,,,16.9,,10.9,60.57,,,53.2,2.14,0.16,0.04,67.19,1.27,18.65,504.43,43.97,9.27,0.69,,,,105.41,37.96,,13.66,10.85,2.53,2.72,0.95,0.52,,,,18.4,1.06,15.48,9.87,86.37,96.44,5.93,,,,17.7,2.15,,18.77,,2.03,,,,,,3.11,0.9,,,61.1,,,2.04,11.57,1.25,,3.32,1.65,,,3.15,,,231.76,,,7,6460318360.000001,Medical/Nursing Services,Health Services
ACHR,,70.02,,100.9,,,,,,78.07,,,74.46,,5.78,,,6.01,,,,,,,,,,,,,,237.24,,,,,,,,,16.47,,,,,,,,,4.24,,,,,,,,,,,,5.87,5.55,,,,,4.28,6.01,,,,,,,,,,,,,1649497955.0,Aerospace & Defense,Electronic Technology
ACI,,40.51,,18.8,33.9,6,,,4.2,45.75,2.47,,41.64,3.56,0.03,0.01,19.5,0.84,31.65,26.39,3.35,3.15,5.18,,0.18,2.47,12.2,5.61,40.42,10.98,6.01,0.32,0.32,8.2,0.11,0.79,5.56,2.47,8.02,22.06,,1.6,21.91,27.82,4.29,,1.64,,2.67,4.09,8.74,7.17,0.53,0.14,,,,,18.09,,,,,4.27,13.79,0.61,0.8,,0.18,4.95,13.56,11.36,58.13,,7.76,,2.78,33.62,,,7,13551493187.000002,Food Retail,Retail Trade
ACIW,48.05,73.66,2.6,5.9,,7,21.8,,6.8,80.81,,16.76,77.24,2.67,0.19,0.17,40.15,1.37,,22.6,71.62,2.69,0.84,,,,19.49,13.03,24.91,,13.13,3.27,3.45,5.13,0.38,13.85,4.84,,22.92,14.73,,,31.72,50.52,3.24,,9.88,,17.2,3.39,29.74,23.21,1.93,2.96,,1.18,1.83,,21.24,,1.16,,,17.25,23.2,2.08,1.26,,1.37,4.54,120.19,11.23,11.91,,6.74,,2.05,44.61,,,10,2556336665.0,Packaged Software,Technology Services
ACLS,,58.97,0.9,22.7,,62.7,72,31,34.8,47.74,,19.67,55.04,9.71,1.92,11.83,148.74,4,174.18,32.12,62.57,0.15,0.05,,,,14.54,13.88,29.19,,11.25,2.98,3.74,6.88,0.69,12.8,2.99,,,22.2,,,116.74,44.58,50.74,,22.16,,24,5.38,19.65,19.65,0.4,4.35,,,,,34.01,2.17,2.1,38.73,6.92,29.83,36,0.79,2.27,5.38,2.87,20.88,79.89,31.17,31.17,,36.43,,1.2,53.7,,,9,5489377800.999999,Industrial Machinery,Producer Manufacturing
ACLX,64.21,65.78,,,,2.6,0.1,,,83.22,,,72.6,6.72,5.32,6.57,62.55,5.46,,,75.9,,0.18,,,,,,,,,17.19,20.41,,0.64,,,,,,,8.1,0.0,,,,,,,6.7,,,,23.23,,,,,,,,11.43,10.88,,,,,6.7,5.46,,,,,,,,,,,,,1598748014.0,Biotechnology,Health Technology
ACN,,47.87,0.3,15.1,11.9,7.8,16.1,6.2,13.6,40.92,2.81,,46.04,6.79,0.3,1.2,310.63,1.16,,20.04,71.1,0.43,0.17,,0.42,1.69,19.8,17.21,21.43,16.6,14.4,2.73,2.88,5.05,0.51,13.44,4.45,1.69,23.96,14.63,6.44,4.64,324.8,32.58,171.01,,10.79,,14.2,7.02,28.45,26.15,2.33,3.05,,1.33,0.89,,22.83,6.63,1.1,,,21.66,32.85,2.53,1.54,37.79,1.16,13.46,227.4,27.32,26.23,,19.64,,3.38,34.55,,,10,207617355910.0,Information Technology Services,Technology Services
ACVA,5.59,40.17,,,,,,,30.6,29.9,,34.9,35.99,2.82,0.79,2.73,17.36,1.62,,502.91,127.4,,0.27,,,,,,,,,4.2,5.08,,0.44,,,,570.03,,,28.62,16.79,50.08,,,,,,6.25,,,,5.69,,,,,,,,,25.93,,,,,18.88,1.62,,,,,,,,,,,,,2506975976.0,Internet Retail,Retail Trade
ADBE,,63.63,1.7,9.4,,17.7,14.1,11.4,16.8,41.18,,,58.95,12.89,0.85,1.32,559.26,1.16,,49.57,33.69,0.82,0.41,,,,37.32,32.98,38.52,24.86,22.92,11.43,12.01,2.68,0.5,31.17,2.57,,30.83,20.58,13.83,11.16,577.77,88.24,58.8,,24.86,,35.4,16.91,50.23,32.28,1.51,12.5,,1.03,1.28,,40.03,18.04,0.97,,,38.72,56.99,1.77,2.56,226.34,1.16,17.46,275.62,32.26,32.8,,22.15,,2.41,73.85,,,10,241068062221.0,Packaged Software,Technology Services
ADC,,68.44,,5.9,6.7,5.7,1.7,14.6,5.9,79.01,6.29,,72.56,1.54,0.05,,64.16,0.81,,533.39,51.33,5.22,0.49,,1.65,4.59,34.38,18.9,22.72,29.92,18.15,15.85,16.24,2.91,0.66,71.49,6.2,4.67,35.44,12.3,2.98,9.42,75.21,87.76,3.11,,30.91,,48.58,1.29,37.74,36.09,5.82,11.2,,3.13,1.23,15.95,15.67,1.58,0.9,,,15.67,,5.48,0.96,1.55,0.81,2.31,,3.58,3.41,,3.6,,,29.3,,,10,5725111028.0,Real Estate Investment Trusts,Finance
ADEA,0.96,54.63,,,,,,,,67,0.32,1.95,58.56,1.72,0.96,0.16,11.32,2.23,,,36.57,2.76,1.59,,0.26,1.76,15.91,8.42,11.99,,,4.24,4.78,6.29,0.32,39.85,11.51,1.76,8.88,19.93,,,7.88,,1.81,,11.06,,31.03,3.5,33.29,14.63,4.72,3.58,,,,,9.03,,1.7,,,8.2,11.53,,0.59,,2.23,3.51,616.28,10.4,11.57,,9.33,,15.99,29.79,,,5,1062196184.9999998,Packaged Software,Technology Services
ADM,,64.03,2.6,9.4,7.7,25.1,24.8,,15,74.42,3.94,,68.65,3.34,0.04,0.07,64.28,1.47,53.05,24.6,21.4,2.04,0.49,,0.29,3,9.49,7.64,8,12.33,9.14,0.47,0.46,10.54,0.42,5.75,16.6,3.15,11.71,20.88,,,81.04,7.73,5.35,,3.32,,3.89,1.39,11.24,10.19,0.56,0.37,,,,,6.57,0.95,0.92,,,5.1,5.97,0.44,3.84,2,0.88,5.45,20.57,12.3,12.43,,6.06,,17.57,13.76,,,10,42539663009.00001,Agricultural Commodities/Milling,Process Industries
ADP,9.4,39.58,1.4,,10.8,13.1,11.6,16.2,8.7,45,4.13,4.31,39.17,2.06,0.06,1,238.07,1.01,,2.83,61.8,0.58,0.71,,0.59,2.3,18.72,16.87,27.69,18.13,14.41,4.79,5.1,5.34,0.07,18.43,3.58,2.37,23.71,14.92,9.57,5.88,267.02,45.38,13.25,,19.56,,25.65,21.08,26.56,26.51,2.01,5.21,,1.31,1.66,,28.18,10.85,1.11,,,24.28,43.37,2.2,2.41,100.01,1.01,6.57,490.28,60.08,94.27,,7.17,,3.43,37.66,,,10,101064499899.00002,Data Processing Services,Technology Services
ADSK,3.58,65.99,0.9,25.4,,21.7,23.3,,14.2,65.3,,,66.51,4.81,0.49,0.76,253.45,0.69,,89.81,32.86,1.93,1.21,,,,44.82,40,54.4,41.88,37.97,8.96,9.61,2.23,0.22,17.66,1.82,,31.32,22.75,11.07,11.1,254.82,90.77,1210,,17.66,,21.44,25.28,54.87,31.93,0.58,9.66,,,,,55,,0.93,,,50.55,159.68,1.28,2.72,,0.69,10.57,330.24,22.42,65.58,,9.75,,0.71,230.47,,,6,45606470933.0,Packaged Software,Technology Services
ADT,17.27,49.08,,3.7,,,,,,47.56,2.44,18.38,46.5,0.47,,,7.39,0.71,87.19,98.69,33.05,3.76,2.12,,0.32,2.44,19.15,6.92,15.41,,5.23,3.02,2.77,5.22,0.23,17.97,14.05,2.98,11.37,9.43,31.18,3.2,6.89,77.47,2.28,,12.8,,21.23,1.8,9.99,14.87,,1.3,,,,,7.19,,,,,3.95,6.4,,0.6,,0.56,4,22.76,5.09,19.36,,6.01,,19.87,,,,3,5285531149.0,Miscellaneous Commercial Services,Commercial Services
ADUS,36.86,60.31,,9.9,,22.2,30.1,,10.6,67.07,,36.17,61.37,6.4,0.54,0.51,120.86,1.35,,11.08,38.32,1.34,0.21,,,,22.92,20.03,18.36,19.43,17.04,1.97,2.06,4.36,0.72,11.22,5.58,,24.02,23.76,12.12,11.93,107.94,32.14,8.42,,6.04,,8.83,2.73,30,25.45,1.36,1.81,,1.05,0.52,,16.11,,1.21,,,14.87,17.15,1.23,1.27,,1.35,6.66,133.37,11.51,9.57,,8.9,,1.41,52.79,,,10,1355869330.0,Medical/Nursing Services,Health Services
AEE,,62.37,,6.5,8,7.3,6.3,10.2,6.9,84.06,4.9,,70.92,0.83,0.02,0.01,73.88,0.59,68.97,80.91,27.22,4.96,1.5,,0.61,3.54,18.89,10.56,,17.99,10.4,4.49,5.05,5.29,0.28,,,3.66,16.03,,8,4.43,86.1,48.75,3.18,,15.84,,25.99,1.72,16.98,17.69,3.22,2.68,,1.29,,,,1.18,1.05,,,7.58,,2.81,,1.79,0.4,2.89,5.86,5.32,10.42,,4.03,,,18.99,,,10,21222279644.0,Electric Utilities,Utilities
AEHR,,69.47,,63.2,,,,,31.7,82.03,,,75.27,18.96,5.18,7.55,15.75,10.06,299.51,63.69,51.98,0.45,0.07,,,,30.03,27.93,87.66,,,,5.5,3.33,0.85,6.28,0.99,,,,20,,24.2,49.49,,,21.43,,18.33,5.27,30.29,26.69,,6.51,,,,,105.68,2.5,2.78,14.06,5.9,73.58,116.68,,6.76,5.27,5.91,15.69,34.84,15.37,19.35,,32.71,,,,,,4,1353850723.0,Electronic Production Equipment,Electronic Technology
AEIS,,66,0.9,13,,,,,6.1,79.67,0.35,7.22,71.27,3.81,3.42,0.99,113.87,5.61,134.35,54.68,63.28,5.73,0.9,,0.1,0.35,37.98,23.82,34.23,,12.08,2.93,2.75,2.63,0.45,8.02,2.93,0.35,37.98,22.47,,,87.94,35.3,7.02,,6.58,,6.45,3.73,41.86,27.05,2.02,2.77,,1.38,2.24,,34.3,2.69,0.97,,14.67,23.04,37.75,1.25,1.67,6.02,4.4,4.45,17.02,5.69,9.14,,9.37,,,39.81,,,9,3937546139.0,Electronic Production Equipment,Electronic Technology
AEM,24.6,74.94,,20.5,20.8,11.4,7.9,4,3.1,94.46,9.11,24.86,83.98,2.91,0.52,0.27,75.12,2.21,105.92,52.01,0.42,0.79,0.1,,0.67,2.14,38.43,15.16,36.88,13.27,8.21,4.88,5.57,2.6,0.68,15.31,2.84,2.14,22.06,21.8,,5.4,54.51,33.66,17.59,,6.8,,26.36,1.92,79.07,31.42,1.23,5.47,,,,,35.61,1.86,1.29,,,13.91,43.91,1.27,1.94,2.44,0.88,1.61,4.53,3.57,2.38,,3.43,,1.45,54.04,,,9,24264092594.047283,Precious Metals,Non-Energy Minerals
AEO,71.62,56.04,,10.5,45.5,,,66.4,5.8,84.04,1.84,0.14,66.9,4.23,0.39,0.23,21.17,1.7,75.33,27.97,17.12,2.06,0.75,,0.3,2.11,12.92,8.17,13.4,10.71,7.36,0.96,0.97,7.74,0.49,7.25,9.28,2.37,11.45,0.51,11.53,3.69,17.78,38.98,418.66,,4.12,,7.48,2.37,19.07,13.93,,0.79,,,,,10.76,1.32,0.96,,,7.51,18.86,,1.39,2.81,0.81,6.29,17.29,14.86,12.87,,10.26,,12.1,19.6,,,9,3043221255.9999995,Apparel/Footwear Retail,Retail Trade
AEP,0.83,65.76,,5.1,5.9,3.4,,1.3,6.7,84.55,5.06,7.94,73.47,0.88,0.04,0.01,90.96,0.54,80.42,103.82,18.7,5.75,1.71,,0.66,3.82,20.43,11.93,,17.57,11.08,4.33,4.74,4.89,0.26,,,3.87,16.21,0.98,14.91,4.55,95.34,60.01,2.25,,14.57,,21.27,1.86,16.97,17.56,3.19,2.46,,,,,,1.21,1.09,,,8.27,,3.26,24,1.86,0.37,2.93,5.88,5.33,11.35,,4.4,,,19.56,,,10,41234689544.0,Electric Utilities,Utilities
AER,39.17,61.59,,6.4,,,5.5,,,74.85,0.26,22.56,65.37,0.78,0.78,0.03,95.83,3.52,5.31,60.32,4.14,9.72,2.7,,,0.26,28.73,13.47,,15.95,9.39,7.73,8.22,3.48,0.24,,,1.03,,,9.98,2.49,72.4,34.73,,,42.81,,28.61,1.12,6.33,9.82,,2.69,,,,,,0.76,1.56,,,3.89,5.51,,1.77,1.34,3.48,4.68,3.68,3.2,20.12,,2.94,,16.36,15.38,,,8,14432429370.0,Finance/Rental/Leasing,Finance
AES,,50.16,,,5,,6.9,,7.2,71.62,4.58,6.62,56.28,0.48,0.26,0.08,18.89,0.78,27.69,79.26,48.64,11.26,10.21,,0.33,3.59,27.68,15.39,,20.68,12.44,3.18,3.23,3.61,0.06,,,3.59,9.91,,6.88,2.72,24.25,20.21,1.66,,4.24,,17.9,4.63,26.24,9.26,,1.06,,,,,,4.33,1.16,,,4.91,,,,46.07,0.71,1.23,5.18,4.21,20.35,,,,,,,,6,11544405347.0,Electric Utilities,Utilities
AESC,,35.72,,,5,,6.9,,7.2,31.65,,,33.54,0.48,0.26,0.08,62.61,0.78,27.69,79.26,48.64,11.26,10.21,,,,27.68,15.39,,,,,3.23,3.61,0.06,,,,9.78,,6.88,2.72,0.0,20.21,1.66,,4.24,,17.9,4.57,25.9,9.14,,1.04,,,,,,,,,,4.86,,,,,0.71,1.23,5.18,4.21,20.35,,,,,,,,6,11544405347.0,Electric Utilities,Utilities
AESI,21.93,53.16,,14.3,,129.9,,,64.1,70.53,3.92,32.74,59.7,2.45,0.98,0.39,20.99,2.24,22.42,62.54,60.37,1.7,0.45,,0.42,3.92,11.25,9.19,,,7.23,2.35,3.98,8.89,0.55,,,4.16,12.04,,39.77,33.93,0.0,45.95,25.04,,19.98,,35.36,2.16,11.68,11.68,,2.32,,,,,,1.18,,,,5.27,,,,2.67,2.05,9.67,25.04,18.9,32.76,,20.13,,,,,,3,2304000047.0,Construction Materials,Non-Energy Minerals
AFRM,118.52,47.01,,,,,,5.8,30.4,57.5,,,48.5,1.48,14.67,0.32,29.54,56.68,,15.45,40.55,,2.44,,,,,,48.38,23.4,26.4,4.91,6.4,,0.29,13.24,3.06,,,,33.48,26.93,40.13,59.46,,,,,,3.48,,,,4.28,,,,,32.66,,,,6.7,21.39,,,,4.4,56.68,,,,,,,,,,,,,7293861260.0,Finance/Rental/Leasing,Finance
AFYA,8.27,57.41,1.2,12.1,,32.7,10.6,54.7,37.5,68.9,,,62.41,2.32,0.62,0.23,17.8,1.28,1.55,144.86,62,2.26,0.7,,,,10.96,8.13,11.45,13.17,10.07,3.85,3.22,9.12,0.5,28.12,10.82,,,25.71,40.85,8.4,20.5,61.88,2.28,,16.04,,27.76,2.09,16.69,19.05,0.46,2.72,,,,,9.72,,,,,7.17,15.19,0.76,0.96,,1.28,6.21,64.41,13.31,13.65,,11.44,,,,,,7,1469574000.0000002,Other Consumer Services,Consumer Services
AG,,57.82,,9.1,,,,,8,73.75,0.28,10.54,65.02,1.72,1.28,0.6,6.59,2.33,47.7,39.24,5.43,4.46,0.19,,,0.28,,35.17,,,,4.08,3.89,,0.69,,,0.22,,18.8,,5.53,5.96,6.05,,,,,,1.42,,,,3.65,,,,,,,0.92,,,26.24,,,6.28,1.42,1.77,,,,,,,,,,,,2,1664184423.375635,Precious Metals,Non-Energy Minerals
AGCO,,42.28,0.2,16.3,20.1,25.7,36.4,,16.7,61.66,2.22,,48.25,2.9,0.58,0.64,98.05,1.99,130.37,46.5,41.84,2.44,0.81,,0.08,1.19,6.72,5.46,10.79,6.68,5.08,0.64,0.62,14.88,0.35,5.73,10.97,1.19,8.19,25.23,,,138.97,26.36,22.8,,7.9,,11.43,1.54,6.63,6.86,0.27,0.53,,,,,9.12,0.84,0.83,,,5.67,7.29,0.27,0.77,2.33,1.09,9.47,33.15,17.19,25.11,,18.59,,,13.73,,,10,9201222919.0,Trucks/Construction/Farm Machinery,Producer Manufacturing
AGI,25.61,72.27,,2,17.3,10.3,15.9,23.9,12.4,92.33,2.74,23.95,81.45,4.31,1.26,641.77,17.63,2.79,146.7,93.11,14.73,,,,0.19,0.57,22.53,13.65,49.57,,,5.81,6.4,4.44,0.74,13.12,1.96,0.57,20.77,17.3,22.89,12.56,12.65,37.48,271.05,,19.37,,30.91,2.38,33.9,33.26,1.91,6.76,,,,,51.81,1.89,1.74,,,14.68,30.1,2.01,2.64,2.38,1.55,5.19,8.77,8.06,7.05,,6.36,,0.58,,,,5,4919131767.945206,Precious Metals,Non-Energy Minerals
AGIO,70.59,58.12,6.9,36,,,,,,68.93,,110.95,59.85,12.33,11.57,8.75,45.9,12.84,2136.75,1346.67,28.47,,0.09,,,,,,,,,36.62,67.7,,0.88,,,,,,,109.35,0.0,89.95,,,,,,3.5,,,,83,,,,,,,,5.29,4.67,,,,,3.5,12.39,,,,,,,,0.53,,,,1,1454238439.0,Pharmaceuticals: Major,Health Technology
