Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
COKE,65.14,66.38,,40.9,26,25.5,39,22,10.1,75.68,0.3,26.34,69.14,4.95,0.64,0.8,1112.42,1.87,30.12,41.66,33.66,0.75,0.46,,0.04,0.18,12.63,10.3,19.54,,,,1.5,7.92,0.37,7.7,5.27,0.18,,22.93,,,636.84,39.19,,,6.83,,10.95,6.51,22.91,23.12,0.68,1.57,,0.74,0.65,,20.35,4.17,2.68,,,12.74,27.39,0.92,1.99,16.89,1.47,11.11,51.76,24.98,31.78,,18.91,,0.67,59.49,,,9,6040592380.0,Beverages: Non-Alcoholic,Consumer Non-Durables
COLD,,75.96,,,1.6,,,,0.3,77.43,3.68,,78.29,1.02,0.06,0.02,29.47,0.47,5.86,40.68,58.5,18.88,0.98,,5.91,2.98,,63.7,147.79,61.53,19.72,4.2,4.44,,0.46,3,0.95,2.98,208.34,,20.06,6.01,27.01,29.82,1.46,,,,7.62,2.34,,197.79,,3.1,,,,23.89,106.38,6.22,,,,21.4,,,3.53,4.39,0.47,,,,,,2.54,,3.16,,,,4,8921115243.0,Real Estate Investment Trusts,Finance
COLM,2.07,40,3.3,5.3,66.5,21,39.6,36.7,14.9,29.02,2.57,,37.19,5.04,1.31,1.73,78.99,3.39,180.73,45.5,44.04,1.06,0.23,,0.32,1.56,14.37,10.87,6.24,16.44,10.47,1.25,1.25,6.96,0.66,19.96,14.47,1.56,21.97,11.71,,2.26,84.92,49.6,,,6.72,,8.67,2.56,21.01,21.01,2.96,1.37,,1.15,0.23,,7.06,1.59,0.77,,5.13,6.46,7.81,3.14,1.2,2.72,1.88,8.09,19.47,12.9,12.04,,12.48,,5.5,19.85,,,10,4401059129.0,Apparel/Footwear,Consumer Non-Durables
COMP,,62.1,,,,5.7,0.8,32.1,3.8,58.59,,,62.18,1.82,0.46,0.32,4.47,0.81,,1.85,5.96,,1.57,,,,,,91.62,26.16,17.1,0.46,0.51,,0.29,0.56,1.26,,,,,11.54,3.33,18.14,,,,,,6.67,,,,0.41,,,,,70.96,,,,,51.95,,,,49.67,0.81,,,,,,,,5.47,,,,,1560443712.0,Packaged Software,Technology Services
COO,,62.44,,25.1,,14.3,177.2,6.7,13.8,76.97,0.01,,69.17,4,0.12,0.04,92.61,1.95,213.27,67.44,61.51,2.8,0.35,,,0.01,36.04,21.83,173.02,27.88,17.84,5.11,5.67,2.77,0.65,3.28,0.66,,23.25,6.86,,7.23,101.75,66.23,5.38,,9.11,,16.14,2.36,54.38,16.89,3.25,4.95,,0.54,13.1,,151.07,2.48,0.94,,,33.58,183.35,3.37,1.75,8.21,1.14,2.88,25.35,5.42,4.48,,3.76,,0.8,27.56,,,10,16955086253.000002,Medical Specialties,Health Technology
COOP,36.73,73.01,10.3,33.3,,13.7,24.6,,4,80.33,,19.47,76.45,0.9,0.1,0.07,91.47,0.5,,617.04,131.44,9.92,1.97,,,,16.39,15.75,,,,6.45,5.19,6.1,0.29,,,,8.68,39.28,33.06,6.09,40.95,58.86,,,25.23,,31.67,1.28,8.65,9.66,,2.17,,,,,,,,,,8.07,,,0.62,,0.5,4.95,211.05,10.75,16.29,,4.31,,,19.26,,,8,3620517398.0,Finance/Rental/Leasing,Finance
COP,,39.81,,14.4,32.3,88.2,,346.9,38.8,27.3,10.99,2.49,36.07,3.78,0.6,0.33,109.12,1.35,12.92,48.73,34.97,0.73,0.37,,0.42,2.96,8.51,5.62,17.08,8.53,5.38,2.36,2.56,11.75,0.52,15.01,6.52,2.96,12.48,26.19,5.18,3.84,113.16,31.79,13.18,,19.19,,26.08,2.59,12.36,12.66,0.74,2.39,,,,,15.75,1.21,1.11,,,6.68,11.24,0.57,0.8,2.59,1.21,11.36,24.74,20.06,21.91,,12.28,,5.7,26.75,,,6,147973913149.0,Oil & Gas Production,Energy Minerals
COR,20.77,55.06,0.6,,5.3,,26.7,23.4,11.4,77.79,1.14,3.14,62.8,4.9,0.04,0.39,227.18,0.89,23.93,61.89,27.83,1.42,4.85,,0.16,0.89,18.58,12.97,22.73,14.08,11.32,0.16,0.17,5.38,0.02,0.76,4.72,0.9,15.42,20.37,10.22,7.73,202.14,3.44,10.6,,0.67,,1.07,41.84,24.86,18.6,,0.17,,,,,21.96,,1.27,,,17.95,24.87,,1.85,,0.53,2.98,121.42,18.5,265.8,,11.64,,4.1,63.99,,,8,35810259008.0,Medical Distributors,Distribution Services
CORT,28.17,73.23,4,3,,,3.4,,14.9,92.28,,45.5,81.66,23.76,4.23,5404.75,36.53,5.18,342.06,629.98,28.22,,,,,,27.06,26.69,26.42,,,5.15,6.3,3.7,0.84,23.85,3.28,,51,6.6,41.4,24.15,37.23,98.54,,,22.54,,23.29,6.93,34.46,34.46,6.38,7.71,,,,,32.29,3.26,0.91,12.55,9.61,32.29,48.03,,1.65,6.93,5.1,19.58,22858.83,24.21,23.92,,69.46,,0.04,51.45,,,8,3432235094.0000005,Pharmaceuticals: Major,Health Technology
COST,50.89,37.27,,10.9,12.5,14.3,16.1,3.6,13.2,24.53,0.94,22.48,31.09,9.22,0.33,1.24,815.56,0.94,28.11,29.94,3.65,0.78,0.43,,0.26,0.53,36.9,30.07,48.58,35.56,28.42,1.32,1.42,2.71,0.32,2.92,2.05,0.57,46.16,15.72,11.32,6.59,610.5,12.5,51.27,,2.83,,3.56,16.61,50.53,50.96,3.89,1.44,,2.62,1.87,,48.91,6.13,1.77,,,29.92,49.42,3.6,3.92,16.61,0.45,10.43,32.77,28.46,30.57,,15.62,,0.68,75.65,,,10,246550075175.00003,Specialty Stores,Retail Trade
